Time,CycE,E2F,miR449,Myc,CycD,RE,RB,S,PRB,ksE1,JM,JE,ksE2,kP1,JCD,kP2,JCE,kdE,kRE,ksmiR,kdmiR,ksM,JS,kdM1,kdM2,ksCD1,ksCD2,kdCD1,kdCD2,ksCE,kdCE1,kdCE2,ksR,kP,JP,kdR,kdP,kdRE,compartment,reaction,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,reaction_15,reaction_16,reaction_17,reaction_18,reaction_19,reaction_20,reaction_21,reaction_22,reaction_23,reaction_24
0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.55,3.0,0.0,0.4,0.15,0.15,0.003,18.0,0.92,18.0,0.92,0.25,180.0,2.5,0.02,1.0,0.5,0.7,0.6,0.45,0.03,1.5,1.0,0.35,1.5,0.7,0.18,3.6,0.01,0.06,0.06,0.03,1.0,0.0,0.0,0.0,0.0,0.3,118.80000000000001,2.2222222222222223,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.38571428571428573,0.0,0.0,0.3111111111111111,0.0,0.18,0.0,0.033,0.0,0.0,0.0,0.0
0.2,0.04808219518204982,0.6139491684208908,0.3921477091261426,0.15081609161834353,0.06660534348127839,0.5712926017994338,0.008344359981628007,3.0,0.0028266972359227973,0.4,0.15,0.15,0.003,18.0,0.92,18.0,0.92,0.25,180.0,2.5,0.02,1.0,0.5,0.7,0.6,0.45,0.03,1.5,1.0,0.35,1.5,0.7,0.18,3.6,0.01,0.06,0.06,0.03,1.0,0.16116642105708195,0.0015040693881132807,0.45927976753490035,0.3315526693738431,0.1534872921052227,0.9221423169105134,2.009129644351681,0.007842954182522852,0.11796347298307641,0.026473739509235494,0.013633889714081327,0.8571428571428571,0.10557126413284046,0.38571428571428573,0.015040693881132806,0.09990801522191758,0.28127815020923536,0.07212329277307473,0.18,0.7933538823090469,0.0005006615988976804,0.010776196592542222,0.007779303593388066,0.00016960183415536784,0.017138778053983013
0.4,0.07930119922748907,0.5939823087806039,0.7349589007744906,0.2537217402871517,0.10983185093082332,0.5948258999991306,0.013807929331803394,3.0,0.0061437392420816824,0.4,0.15,0.15,0.003,18.0,0.92,18.0,0.92,0.25,180.0,2.5,0.02,1.0,0.5,0.7,0.6,0.45,0.03,1.5,1.0,0.35,1.5,0.7,0.18,3.6,0.01,0.06,0.06,0.03,1.0,0.2006995680608844,0.001885370900066139,0.7762970862946209,0.560504893418785,0.14849557719515097,1.47629983391712,1.9959557565090094,0.014699178015489811,0.2771340248529643,0.07838356947028231,0.040826715290217856,0.8571428571428571,0.1776052182010062,0.38571428571428573,0.018853709000661387,0.16474777639623497,0.27943380591126127,0.11895179884123361,0.18,1.3700333571940229,0.0008284757599082036,0.029232893608158627,0.021106841962234436,0.00036862435452490093,0.017844776999973916
0.6000000000000001,0.09725692050858083,0.5779891866000254,1.027646922003034,0.31502554908376046,0.13309855739744786,0.6200900058033216,0.01748652846828513,3.0,0.009274818138178854,0.4,0.15,0.15,0.003,18.0,0.92,18.0,0.92,0.25,180.0,2.5,0.02,1.0,0.5,0.7,0.6,0.45,0.03,1.5,1.0,0.35,1.5,0.7,0.18,3.6,0.01,0.06,0.06,0.03,1.0,0.21514127560689866,0.0020323112334652694,0.9646160474543515,0.7048580246322653,0.14449729665000635,1.819264385851616,1.9848824585549318,0.02055293844006068,0.41769967672455466,0.12988178729496655,0.06877519443949129,0.8571428571428571,0.22051788435863232,0.38571428571428573,0.020323112334652692,0.1996478360961718,0.27788354419769046,0.14588538076287125,0.18,1.7322780976754057,0.0010491917080971077,0.04468733103053228,0.032653638677683006,0.0005564890882907312,0.018602700174099648
0.8,0.10583399703991869,0.5624807495686523,1.276850027316628,0.3444289047789415,0.14246056797113102,0.6473179891376748,0.0198152002801464,3.0,0.01156588765146666,0.4,0.15,0.15,0.003,18.0,0.92,18.0,0.92,0.25,180.0,2.5,0.02,1.0,0.5,0.7,0.6,0.45,0.03,1.5,1.0,0.35,1.5,0.7,0.18,3.6,0.01,0.06,0.06,0.03,1.0,0.21998357668885388,0.0020898590360505028,1.0590774830205154,0.7867889676373575,0.1406201873921631,2.0062203671573493,1.9736699900635473,0.02553700054633256,0.5336873134537972,0.1712070881395982,0.09221170255710749,0.8571428571428571,0.24110023334525904,0.38571428571428573,0.020898590360505027,0.21369085195669651,0.2763137986088966,0.15875099555987804,0.18,1.9306970442484104,0.001188912016808784,0.054065867778621074,0.040165548768574026,0.0006939532590879996,0.019419539674130244
1.0,0.10837043097568325,0.5462342472802515,1.490741746313448,0.3506003641299993,0.1433698935551146,0.6763339331588173,0.021245285579227422,3.0,0.012755619475757794,0.4,0.15,0.15,0.003,18.0,0.92,18.0,0.92,0.25,180.0,2.5,0.02,1.0,0.5,0.7,0.6,0.45,0.03,1.5,1.0,0.35,1.5,0.7,0.18,3.6,0.01,0.06,0.06,0.03,1.0,0.21978838431658929,0.0021010793594166445,1.0933718790470657,0.8264579041727003,0.13655856182006287,2.0888824637921894,1.9613881729247178,0.029814834926268963,0.6264333426799817,0.20099072465986378,0.10996682173923351,0.8571428571428571,0.24542025489099947,0.38571428571428573,0.021010793594166445,0.2150548403326719,0.2745943442094605,0.16255564646352488,0.18,2.0179731939026393,0.0012747171347536454,0.058249235153420904,0.04402943017568384,0.0007653371685454676,0.020290017994764518
1.2000000000000002,0.10734256343619225,0.5289989768281078,1.6768226820367953,0.34066948942019754,0.13979600629393157,0.7066151322083523,0.02212969172282508,3.0,0.013025557783526586,0.4,0.15,0.15,0.003,18.0,0.92,18.0,0.92,0.25,180.0,2.5,0.02,1.0,0.5,0.7,0.6,0.45,0.03,1.5,1.0,0.35,1.5,0.7,0.18,3.6,0.01,0.06,0.06,0.03,1.0,0.21636643499988717,0.0020828857108442897,1.0931138455834781,0.8393490302277548,0.13224974420702695,2.1071851702012645,1.9477163989969704,0.03353645364073591,0.6985260008068076,0.2211870141231776,0.12264274455934392,0.8571428571428571,0.23846864259413825,0.38571428571428573,0.020828857108442893,0.20969400944089736,0.27268029585957587,0.16101384515428838,0.18,2.036519960191546,0.0013277815033695048,0.059106050801533895,0.045384665669822265,0.0007815334670115951,0.021198453966250568
1.4000000000000001,0.10441625454659549,0.5108704676903475,1.8413307383292281,0.3203515836876259,0.1342692942491962,0.737554783624796,0.022720710011118004,3.0,0.01273831071107101,0.4,0.15,0.15,0.003,18.0,0.92,18.0,0.92,0.25,180.0,2.5,0.02,1.0,0.5,0.7,0.6,0.45,0.03,1.5,1.0,0.35,1.5,0.7,0.18,3.6,0.01,0.06,0.06,0.03,1.0,0.21060016581400517,0.002043268874589656,1.075413797736087,0.8363094591003589,0.12771761692258687,2.0893211549345905,1.9325665643517493,0.03682661476658456,0.7524667570906605,0.23450761590366345,0.13137765118151692,0.8571428571428571,0.22424610858133812,0.38571428571428573,0.020432688745896557,0.2014039413737943,0.2705593190092449,0.15662438181989324,0.18,2.0167689298716445,0.0013632426006670803,0.05824894476324244,0.045298045822607824,0.0007642986426642606,0.02212664350874388
1.6,0.10062401444955371,0.4919490943996137,1.9892427242250925,0.2941750640422948,0.12822630373450872,0.7686754281086972,0.02319160908032313,3.0,0.012202769825226611,0.4,0.15,0.15,0.003,18.0,0.92,18.0,0.92,0.25,180.0,2.5,0.02,1.0,0.5,0.7,0.6,0.45,0.03,1.5,1.0,0.35,1.5,0.7,0.18,3.6,0.01,0.06,0.06,0.03,1.0,0.20301645932889484,0.001986885945589349,1.0506218844610014,0.8244625993579974,0.12298727359990343,2.053636395252268,1.915841531249887,0.03978485448450185,0.7904796822257409,0.24333795178522094,0.13728455342473445,0.8571428571428571,0.20592254482960637,0.38571428571428573,0.019868859455893485,0.19233945560176308,0.2682178143749842,0.15093602167433057,0.18,1.9785806778442079,0.0013914965448193876,0.05675192300814943,0.04453537343348632,0.0007321661895135967,0.023060262843260914
1.8,0.09655450814964389,0.4722470076925293,2.124442646950866,0.2656754634575352,0.12238331427359751,0.7996792111265831,0.02365738639015252,3.0,0.01160413471112712,0.4,0.15,0.15,0.003,18.0,0.92,18.0,0.92,0.25,180.0,2.5,0.02,1.0,0.5,0.7,0.6,0.45,0.03,1.5,1.0,0.35,1.5,0.7,0.18,3.6,0.01,0.06,0.06,0.03,1.0,0.19402757082856437,0.0019174246748726576,1.0243846924721236,0.8081899131817215,0.11806175192313233,2.010983387863589,1.897345434587773,0.04248885293901732,0.8146917503230744,0.24942487908030647,0.1412488550852906,0.8571428571428571,0.1859728244202746,0.38571428571428573,0.019174246748726576,0.18357497141039628,0.26562836084228825,0.14483176222446584,0.18,1.933652308626906,0.0014194431834091512,0.0552264509494939,0.04357099527765608,0.0006962480826676271,0.023990376333797494
