Time,The_FOD_in_the_circulation__X1,The_FOD_in_the_metabolizing_tissues__X4,The_cumulative_FOD_excreted_in_the_non_urinary_pool__X3,The_FOD_in_the_gallbladder___intestinal_lumen__X5,The_cumulative_FOD_excreted_in_the_urine__X2,K1,K2,K3,K4,K5,compartment,R1,R2,R3,R4
0.0,1.0,0.0,0.0,0.0,0.0,3.6,1.2,26.6,1.2,1.2,1.0,26.6,0.0,0.0,0.0
0.003,0.9233009865347728,0.07614229845966267,1.6807385998466388e-07,0.0001388846222055485,0.0004176623097765554,3.6,1.2,26.6,1.2,1.2,1.0,24.55980624182496,0.09120409660494853,0.00016666154664665822,0.2741122744547856
0.006,0.8524847105939504,0.14535694884938,1.311314120628124e-06,0.0005372903404766578,0.001619738906153772,3.6,1.2,26.6,1.2,1.2,1.0,22.67609330179908,0.173783590210684,0.0006447484085719893,0.523285015857768
0.009000000000000001,0.7870999769753655,0.20819179346407343,4.317052207760794e-06,0.0011695025459216787,0.0035344099510115265,3.6,1.2,26.6,1.2,1.2,1.0,20.93685938754472,0.24842674910178209,0.0014034030551060145,0.7494904564706644
0.012,0.7267301876414535,0.2651524101962856,9.983846406480085e-06,0.002011878816262946,0.006095539527227894,3.6,1.2,26.6,1.2,1.2,1.0,19.331022991262664,0.31576863765602714,0.002414254579515535,0.9545486767066282
0.015,0.6709907198637783,0.3167053197370609,1.9028570834150803e-05,0.0030426902327198467,0.009242242123167835,3.6,1.2,26.6,1.2,1.2,1.0,17.848353148376503,0.37639515540520924,0.003651228279263816,1.1401391510534193
0.018000000000000002,0.619526416651481,0.36328105379411746,3.209319019974069e-05,0.004241969541911465,0.012918467766938842,3.6,1.2,26.6,1.2,1.2,1.0,16.479402682929397,0.43084690110264723,0.0050903634502937585,1.307811793658823
0.021,0.5720093594971359,0.40527687944350665,4.975076001547521e-05,0.005591376450780297,0.017072633912433386,3.6,1.2,26.6,1.2,1.2,1.0,15.215448962623817,0.4796226035912716,0.006709651740936356,1.458996765996624
0.024,0.5281368097333348,0.44305932018499494,7.251096588281985e-05,0.007074073154906789,0.02165728526001152,3.6,1.2,26.6,1.2,1.2,1.0,14.048439138906705,0.5231822964361057,0.008488887785888147,1.5950135526659819
0.027,0.48762926472282314,0.47696653002453115,0.00010082535790181625,0.0086746067934819,0.026628772527851785,3.6,1.2,26.6,1.2,1.2,1.0,12.970938441627096,0.5619503078772591,0.01040952815217828,1.7170795080883121
0.03,0.4502286414424626,0.5073105144350928,0.00013509223493124532,0.010378799634523293,0.03194695231315684,3.6,1.2,26.6,1.2,1.2,1.0,11.976081862369506,0.5963180577606834,0.012454559561427951,1.8263178519663341
0.033,0.4156966228508741,0.5343791535762225,0.00017566108188225675,0.012173649140038828,0.037574913911412794,3.6,1.2,26.6,1.2,1.2,1.0,11.057530167833251,0.6266466053234203,0.014608378968046593,1.923764952874401
0.036000000000000004,0.38381316752621886,0.5584380255271549,0.00022283656246097468,0.014047237928471432,0.04347873316018367,3.6,1.2,26.6,1.2,1.2,1.0,10.209430256197422,0.6532689451184202,0.016856685514165717,2.010376891897758
0.039,0.35437512241405117,0.5797321026055028,0.00027688223186604887,0.015988649986341044,0.04962724335022196,3.6,1.2,26.6,1.2,1.2,1.0,9.426378256213761,0.676492143142994,0.019186379983609253,2.08703556937981
0.042,0.32719493075070333,0.598487331167597,0.0003380239904234324,0.017987892648286433,0.055991821887401365,3.6,1.2,26.6,1.2,1.2,1.0,8.70338515796871,0.6965993262231727,0.02158547117794372,2.1545543922033494
0.045,0.30209943334991773,0.6149120971652792,0.0004064532830394443,0.02003582423468406,0.06254619240229023,3.6,1.2,26.6,1.2,1.2,1.0,8.035844927107812,0.7138515275167141,0.024042989081620874,2.213683549795005
0.048,0.2789287388245352,0.629198607451718,0.0004823301108715532,0.022124085866862493,0.06926623826581874,3.6,1.2,26.6,1.2,1.2,1.0,7.419504452732637,0.7284894259018266,0.02654890304023499,2.265114986826185
0.051000000000000004,0.2575352130741616,0.6415241254305784,0.0005657857179628337,0.024245040510569763,0.07612983583948854,3.6,1.2,26.6,1.2,1.2,1.0,6.850436667772699,0.7407349019040103,0.029094048612683714,2.309486851550082
0.054,0.23778254519569175,0.652052113276236,0.0006569250697253521,0.026391716652077464,0.08311670037458666,3.6,1.2,26.6,1.2,1.2,1.0,6.325015702205401,0.7507924759489902,0.031670059982492955,2.3473876077944498
0.057,0.21954488246987852,0.6609332894205262,0.0007558291439233151,0.028557756159712695,0.09020824334267984,3.6,1.2,26.6,1.2,1.2,1.0,5.839893873698769,0.7588506399129762,0.034269307391655235,2.3793598419138946
0.06,0.20270602721117068,0.6683066103552546,0.0008625570535408541,0.030737365893211153,0.09738744000088025,3.6,1.2,26.6,1.2,1.2,1.0,5.39198032381714,0.7650830933544521,0.03688483907185338,2.4059037972789166
0.063,0.18715869444565159,0.6743001780476642,0.0009771480043273026,0.03292527299800571,0.1046387070199826,3.6,1.2,26.6,1.2,1.2,1.0,4.978421272254333,0.7696498860595902,0.03951032759760685,2.427480640971591
0.066,0.17280382909983133,0.6790320745796633,0.0010996230906648446,0.03511668380446329,0.11194778995738068,3.6,1.2,26.6,1.2,1.2,1.0,4.596581854055514,0.77269846893024,0.04214002056535595,2.444515468486788
0.069,0.15954996595744853,0.6826111444844444,0.0012299869753020982,0.03730724531772807,0.11930165780499852,3.6,1.2,26.6,1.2,1.2,1.0,4.244029094468131,0.7743646790000595,0.044768694381273684,2.457400120144
