Time,I,U,V,m,K,xi,gamma,compartment,Tumor_Growth,Conversion_Uninfected_to_Infected,Tumor_Cell_Death,Viral_Decay
0.0,100.0,75.0,10.0,0.1,100.0,0.01,0.1,1.0,2.1576155433883564,4.285714285714286,1.0,1.0
1.0,103.19949977526994,73.01336406658378,10.015596803176653,0.1,100.0,0.01,0.1,1.0,2.296472489886179,4.149937750235685,1.0319949977526994,1.0015596803176654
2.0,106.24474831336177,71.27734358853267,10.05940340967796,0.1,100.0,0.01,0.1,1.0,2.413391485557443,4.0389764758040325,1.0624474831336177,1.005940340967796
3.0,109.15961395914515,69.7498407742487,10.127387997335932,0.1,100.0,0.01,0.1,1.0,2.512773224279385,3.9482748484469594,1.0915961395914515,1.0127387997335933
4.0,111.96379355453278,68.39648641335583,10.216088355928463,0.1,100.0,0.01,0.1,1.0,2.598031856245863,3.8741598125613264,1.1196379355453279,1.0216088355928463
5.0,114.6733581424267,67.18950042046964,10.322562107814397,0.1,100.0,0.01,0.1,1.0,2.6718119472966366,3.8136857441039975,1.146733581424267,1.0322562107814397
6.0,117.30158587226552,66.10608794462512,10.444283990158358,0.1,100.0,0.01,0.1,1.0,2.736192731938638,3.764459477640812,1.1730158587226551,1.0444283990158358
7.0,119.85946991530716,65.12747018896253,10.579083882199216,0.1,100.0,0.01,0.1,1.0,2.7928206428779716,3.724527633010785,1.1985946991530716,1.0579083882199216
8.0,122.3561322110217,64.23811153947194,10.725093462757565,0.1,100.0,0.01,0.1,1.0,2.8430086739971983,3.6922883379678697,1.223561322110217,1.0725093462757564
9.0,124.79914405260693,63.425130442802704,10.880703398660899,0.1,100.0,0.01,0.1,1.0,2.8878097655133694,3.6664241858259596,1.2479914405260695,1.0880703398660898
10.0,127.19484139887601,62.6777335530617,11.044517839836535,0.1,100.0,0.01,0.1,1.0,2.928077621525786,3.6458416733566628,1.27194841398876,1.1044517839836536
11.0,129.54850337124645,61.986902525475834,11.215328571005218,0.1,100.0,0.01,0.1,1.0,2.9645054687750183,3.629634300077892,1.2954850337124646,1.1215328571005219
12.0,131.86451724061763,61.34509871992163,11.392091624533835,0.1,100.0,0.01,0.1,1.0,2.997658360119574,3.6170507449078104,1.3186451724061763,1.1392091624533836
13.0,134.14652611629387,60.74601199097867,11.573903252990888,0.1,100.0,0.01,0.1,1.0,3.027998879591707,3.607467338752751,1.3414652611629387,1.157390325299089
14.0,136.3975602477997,60.1843417397965,11.75997851562879,0.1,100.0,0.01,0.1,1.0,3.0559079277640198,3.600364828507591,1.363975602477997,1.175997851562879
15.0,138.62016296758378,59.65558254659859,11.949630876514526,0.1,100.0,0.01,0.1,1.0,3.0817027193778745,3.5953070775583367,1.386201629675838,1.1949630876514525
16.0,140.8164695031463,59.1558860956357,12.142259342660708,0.1,100.0,0.01,0.1,1.0,3.105649054022117,3.5919270364512332,1.408164695031463,1.2142259342660708
17.0,142.98826019390447,58.68198425892417,12.337338343644776,0.1,100.0,0.01,0.1,1.0,3.1279693394495225,3.589917275317855,1.4298826019390447,1.2337338343644777
18.0,145.13701432486002,58.23110277848018,12.534408206535613,0.1,100.0,0.01,0.1,1.0,3.148850155314262,3.589020850162617,1.4513701432486001,1.2534408206535614
19.0,147.26396115335314,57.80087730363859,12.73306593537301,0.1,100.0,0.01,0.1,1.0,3.168448912715345,3.589022805506431,1.4726396115335314,1.273306593537301
20.0,149.3701351192224,57.389262852963924,12.932955109053259,0.1,100.0,0.01,0.1,1.0,3.1869001339343037,3.5897413491157684,1.493701351192224,1.293295510905326
21.0,151.45636377642077,56.99455571549279,13.133767867476443,0.1,100.0,0.01,0.1,1.0,3.2043162023931426,3.5910288441125044,1.5145636377642078,1.3133767867476445
22.0,153.52335466839156,56.615254906611796,13.335228590464599,0.1,100.0,0.01,0.1,1.0,3.2207949502865345,3.592758929042127,1.5352335466839158,1.33352285904646
23.0,155.5716651632033,56.250112860229486,13.537099124810224,0.1,100.0,0.01,0.1,1.0,3.2364185226212077,3.594830336503228,1.555716651632033,1.3537099124810226
24.0,157.60177164060698,55.89802604288576,13.73916563962784,0.1,100.0,0.01,0.1,1.0,3.251259040307468,3.5971567517359637,1.5760177164060698,1.3739165639627842
25.0,159.6140709725132,55.55802282295419,13.941238728664214,0.1,100.0,0.01,0.1,1.0,3.2653797621475555,3.5996659501934687,1.596140709725132,1.3941238728664214
26.0,161.60890306553128,55.22923717945061,14.143148339279996,0.1,100.0,0.01,0.1,1.0,3.278836726785949,3.602296594186569,1.6160890306553128,1.4143148339279996
27.0,163.58653631594368,54.91093294132012,14.344745196809317,0.1,100.0,0.01,0.1,1.0,3.29167823604061,3.6049998393111107,1.6358653631594369,1.4344745196809319
28.0,165.5472092903699,54.60243619428208,14.545893785838711,0.1,100.0,0.01,0.1,1.0,3.303948013772322,3.6077334377785046,1.655472092903699,1.4545893785838713
29.0,167.491099929766,54.30319313692553,14.746476853784603,0.1,100.0,0.01,0.1,1.0,3.3156832221666965,3.610466119790917,1.67491099929766,1.4746476853784605
30.0,169.41836265809462,54.012700243290205,14.946388846245465,0.1,100.0,0.01,0.1,1.0,3.3269175506112574,3.6131718212710022,1.6941836265809462,1.4946388846245466
31.0,171.32912028918682,53.730523311482266,15.145536800403972,0.1,100.0,0.01,0.1,1.0,3.3376806909792696,3.6158309197491274,1.7132912028918683,1.5145536800403974
32.0,173.22348017267382,53.45626211877065,15.34383724094351,0.1,100.0,0.01,0.1,1.0,3.347999892131081,3.618427377621862,1.7322348017267382,1.534383724094351
33.0,175.10153517528556,53.18955596188848,15.541215526090383,0.1,100.0,0.01,0.1,1.0,3.357899886616647,3.6209488019138436,1.7510153517528557,1.5541215526090384
34.0,176.96336737188187,52.9300752353171,15.737604766995231,0.1,100.0,0.01,0.1,1.0,3.3674033342586727,3.623385664653394,1.7696336737188187,1.5737604766995232
35.0,178.80905332490906,52.67751410231299,15.932944641512632,0.1,100.0,0.01,0.1,1.0,3.3765311945989893,3.625730535351807,1.7880905332490906,1.5932944641512634
36.0,180.63866051866407,52.431600518396245,16.12718155189782,0.1,100.0,0.01,0.1,1.0,3.385302457981501,3.627978691293876,1.8063866051866406,1.612718155189782
37.0,182.45225192072834,52.19208395208286,16.32026768163862,0.1,100.0,0.01,0.1,1.0,3.393734679773942,3.6301271786175096,1.8245225192072834,1.632026768163862
38.0,184.2498872617707,51.95873694212689,16.51216030667022,0.1,100.0,0.01,0.1,1.0,3.401843998148024,3.632174721020836,1.8424988726177072,1.6512160306670223
39.0,186.03162389008727,51.73134647238361,16.702821598687365,0.1,100.0,0.01,0.1,1.0,3.409645499458083,3.6341212000794125,1.8603162389008727,1.6702821598687365
40.0,187.79751858600088,51.509716146696505,16.892217845749602,0.1,100.0,0.01,0.1,1.0,3.417153194224971,3.6359675765533237,1.8779751858600089,1.6892217845749604
41.0,189.54762960474156,51.29365729487572,17.080319024001298,0.1,100.0,0.01,0.1,1.0,3.4243803642301716,3.637715284545181,1.8954762960474156,1.7080319024001298
42.0,191.28201513978067,51.08299729467097,17.267098798078877,0.1,100.0,0.01,0.1,1.0,3.4313393199875994,3.6393667234771936,1.9128201513978067,1.7267098798078877
43.0,193.00073654650143,50.877569968146744,17.452533703134993,0.1,100.0,0.01,0.1,1.0,3.4380417583383855,3.640924513920868,1.9300073654650143,1.7452533703134994
44.0,194.70386169060203,50.6772058289585,17.636602200526156,0.1,100.0,0.01,0.1,1.0,3.4444990998396325,3.6423907063175496,1.9470386169060203,1.7636602200526157
45.0,196.39144954484985,50.481772431146865,17.81928768733758,0.1,100.0,0.01,0.1,1.0,3.450721217148407,3.643769942795884,1.9639144954484986,1.7819287687337582
46.0,198.06357372690385,50.291114420812654,18.00057339705675,0.1,100.0,0.01,0.1,1.0,3.4567183911109773,3.6450646577413557,1.9806357372690386,1.8000573397056752
47.0,199.72031217824116,50.105079386965784,18.18044435069589,0.1,100.0,0.01,0.1,1.0,3.462500478233514,3.646277112885736,1.9972031217824116,1.818044435069589
48.0,201.3617283134793,49.92356017540524,18.358891349671214,0.1,100.0,0.01,0.1,1.0,3.4680756343424948,3.647412956646606,2.013617283134793,1.8358891349671216
49.0,202.9879069779445,49.74641272825443,18.535902832738383,0.1,100.0,0.01,0.1,1.0,3.4734528842343226,3.64847430962344,2.029879069779445,1.8535902832738385
50.0,204.59893033358293,49.573510087837725,18.71147011012747,0.1,100.0,0.01,0.1,1.0,3.4786404529664527,3.649464319281502,2.0459893033358294,1.8711470110127468
51.0,206.19487479160642,49.40474754422182,18.88558815761052,0.1,100.0,0.01,0.1,1.0,3.483645652229559,3.6503876908119595,2.0619487479160643,1.8885588157610522
52.0,207.77582846315758,49.24000552534331,19.05825097131942,0.1,100.0,0.01,0.1,1.0,3.48847600704039,3.651247351449692,2.077758284631576,1.9058250971319421
53.0,209.3418787176843,49.07917524859459,19.229454794918635,0.1,100.0,0.01,0.1,1.0,3.4931384980003317,3.6520467946775357,2.093418787176843,1.9229454794918635
54.0,210.8931146176911,48.92215311545516,19.39919751223645,0.1,100.0,0.01,0.1,1.0,3.4976397453268167,3.652789611984424,2.108931146176911,1.9399197512236452
55.0,212.42962811071183,48.76883793021448,19.567477579789973,0.1,100.0,0.01,0.1,1.0,3.5019861015433613,3.6534791235809148,2.124296281107118,1.9567477579789974
56.0,213.95151377883886,48.619130510911226,19.734294673123664,0.1,100.0,0.01,0.1,1.0,3.5061836717518786,3.654118497704559,2.1395151377883885,1.9734294673123665
57.0,215.45886874489398,48.472933584170924,19.899649366824022,0.1,100.0,0.01,0.1,1.0,3.5102383250710907,3.654710700242606,2.15458868744894,1.9899649366824024
58.0,216.95179184717574,48.33015338916175,20.063542971640754,0.1,100.0,0.01,0.1,1.0,3.514155658990536,3.655258590951454,2.1695179184717577,2.0063542971640755
59.0,218.43038355821656,48.19069909073747,20.225977848731294,0.1,100.0,0.01,0.1,1.0,3.5179410254106447,3.655764962921079,2.1843038355821656,2.0225977848731294
60.0,219.89474667575578,48.05448087939231,20.38695687757354,0.1,100.0,0.01,0.1,1.0,3.5215995903855433,3.6562323332718654,2.198947466757558,2.038695687757354
61.0,221.34498613311047,47.921409911198296,20.54648341074498,0.1,100.0,0.01,0.1,1.0,3.5251363417340715,3.656662948754748,2.213449861331105,2.0546483410744982
62.0,222.781206205004,47.79140473814759,20.7045621302655,0.1,100.0,0.01,0.1,1.0,3.5285559265610695,3.657059394313713,2.22781206205004,2.0704562130265503
63.0,224.20351414925202,47.66438169602446,20.861197677329596,0.1,100.0,0.01,0.1,1.0,3.5318629144209166,3.657423711751336,2.2420351414925204,2.0861197677329595
64.0,225.61201783122067,47.540260473737554,21.01639536839714,0.1,100.0,0.01,0.1,1.0,3.535061655511208,3.6577579225503967,2.256120178312207,2.101639536839714
65.0,227.00682551164556,47.41896504518126,21.170161412184708,0.1,100.0,0.01,0.1,1.0,3.53815626524529,3.658064141742376,2.2700682551164557,2.1170161412184707
66.0,228.38804645409348,47.30042013390309,21.322502133745207,0.1,100.0,0.01,0.1,1.0,3.5411507221819565,3.6583442235160444,2.283880464540935,2.1322502133745207
67.0,229.75579052255702,47.18455312738774,21.473424414812726,0.1,100.0,0.01,0.1,1.0,3.544048824728615,3.6585999777930085,2.2975579052255704,2.1473424414812725
68.0,231.11016884877725,47.07129260007374,21.62293557619715,0.1,100.0,0.01,0.1,1.0,3.546854234087665,3.658833058387918,2.3111016884877724,2.1622935576197153
69.0,232.451292080144,46.960570397637106,21.771043263069743,0.1,100.0,0.01,0.1,1.0,3.5495704279237317,3.6590451125413104,2.32451292080144,2.1771043263069743
70.0,233.77927210895152,46.852319219546,21.91775548387895,0.1,100.0,0.01,0.1,1.0,3.552200765646332,3.6592376205592654,2.337792721089515,2.191775548387895
71.0,235.09422162553287,46.74647297773376,22.063080555812874,0.1,100.0,0.01,0.1,1.0,3.5547484836265952,3.6594119258032642,2.3509422162553286,2.2063080555812875
72.0,236.39625233371444,46.64296872313064,22.20702700226528,0.1,100.0,0.01,0.1,1.0,3.5572166535723024,3.659569377108866,2.3639625233371446,2.220702700226528
