Time,H,I,N,V,T,g,an,av,ut,ui,at,ai,uv,beta,un,gamma,delta,rho,tumor,tumor_death,tumor_growth,immune_stimulation,immune_inhibition,vasc_increase,vasc_decrease,necrotise,de_necrotise,hypoxia,normoxia
0.0,0.18,0.071,0.1,0.12,0.2,0.044,0.2,0.199,0.187,0.722,0.101,0.045,1.723,0.027,0.911,0.743,0.284,1.523,1.0,0.0026554,0.011212432000000001,0.04388,0.01336788,0.023395000000000003,0.0441594,0.027324,0.0124081,0.04087094399999999,0.022885588799999995
0.07,0.18126806600981887,0.07311801778144902,0.10103521189514454,0.11856574697471409,0.2005976846959479,0.044,0.2,0.199,0.187,0.722,0.101,0.045,1.723,0.027,0.911,0.743,0.284,1.523,1.0,0.0027427860493084593,0.011262985411583007,0.04380162602699701,0.013792482335942772,0.023550676954455948,0.04377216029092934,0.027323441514965602,0.012659233306016584,0.0411443511422154,0.022902148328926564
0.14,0.1825539598994625,0.07520138058186573,0.10205288890391184,0.11716881673779826,0.20119284934627021,0.044,0.2,0.199,0.187,0.722,0.101,0.045,1.723,0.027,0.911,0.743,0.284,1.523,1.0,0.002829306266365264,0.01131373905441049,0.04372717231160422,0.014212189311349814,0.023704539910157252,0.04339462179856384,0.027322850238413722,0.012910472075991277,0.04142231429735595,0.022924671181258016
0.21000000000000002,0.18385767611255258,0.07725050214996584,0.10305294231938082,0.11580862141350157,0.2017855534839513,0.044,0.2,0.199,0.187,0.722,0.101,0.045,1.723,0.027,0.911,0.743,0.284,1.523,1.0,0.0029149626073166333,0.011364697687924277,0.043656504125162976,0.014627048376383083,0.023856613498627544,0.043026738685816475,0.02732222931793054,0.013161634415735335,0.0417048378274663,0.022953156629678433
0.28,0.18517912486947005,0.07926593659301974,0.104035380230921,0.11448441940431961,0.2023758668252781,0.044,0.2,0.199,0.187,0.722,0.101,0.045,1.723,0.027,0.911,0.743,0.284,1.523,1.0,0.0029997628613854916,0.011415865505941359,0.043589475507643805,0.01503713271893287,0.02400692969603898,0.0426684058764693,0.027321581612787603,0.013412561338065855,0.04199190214324241,0.022987570119531245
0.35000000000000003,0.1865182131223611,0.08124824670609462,0.10500022151087653,0.11319544906555544,0.2029638615020433,0.044,0.2,0.199,0.187,0.722,0.101,0.045,1.723,0.027,0.911,0.743,0.284,1.523,1.0,0.0030837156257553116,0.011467246787548173,0.04352593866622084,0.01544251680070347,0.024155521113480634,0.0423195057846945,0.027320909775099475,0.013663100539839528,0.042283486536170714,0.023027874295602508
0.42000000000000004,0.18787484791332426,0.08319798495220805,0.10594749573881679,0.11194095330488775,0.20354960986300655,0.044,0.2,0.199,0.187,0.722,0.101,0.045,1.723,0.027,0.911,0.743,0.284,1.523,1.0,0.003166829549762715,0.011518845819916768,0.043465748855436026,0.015843273066423212,0.024302419919013024,0.04197991694686177,0.027320216319178255,0.013913105264480233,0.04257957056725143,0.02307403275848493
0.49000000000000005,0.189248938511867,0.08511568145613986,0.10687724186718986,0.11072019647169005,0.20413318287063584,0.044,0.2,0.199,0.187,0.722,0.101,0.045,1.723,0.027,0.911,0.743,0.284,1.523,1.0,0.0032491128389870124,0.011570666837778272,0.043408767471304295,0.01623946987127526,0.024447657135460515,0.04164952011543676,0.027319503668882965,0.014162433403470913,0.04288013500617995,0.023126012678499848
0.56,0.19064038812278045,0.08700189424817097,0.10778951095816727,0.10953239563959949,0.20471465676080036,0.044,0.2,0.199,0.187,0.722,0.101,0.045,1.723,0.027,0.911,0.743,0.284,1.523,1.0,0.003330575265769555,0.011622714288547798,0.04335484892391375,0.016631180408419596,0.02459126557400853,0.04132817414784734,0.02731877397072186,0.014410950756207673,0.04318515797272919,0.02318377369887766
0.6300000000000001,0.19204910167585326,0.08885716299708075,0.10868436381305337,0.1083767841411233,0.20529410704047069,0.044,0.2,0.199,0.187,0.722,0.101,0.045,1.723,0.027,0.911,0.743,0.284,1.523,1.0,0.0034112263112157913,0.011674992600410161,0.043303852806694215,0.017018474601886668,0.024733277145956176,0.04101573839729435,0.02731802926958503,0.014658528028812502,0.043494618435099976,0.02324727789654712
