Time,Mpl,Mrbc,Vin,Vout,Summary_flux_to_RBC,A,B,d,Kin,c,Kout,ModelValue_1,ModelValue_2,ModelValue_5,ModelValue_3,RBC
0.0,0.0,0.0,0.0,0.0,0.0,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
0.04,30.74755039251977,0.027227997996195463,2974.0908885208783,2.392678971388225,2971.69820954949,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
0.08,60.28296639440873,0.10742064040033716,5830.936734727266,9.43966234369698,5821.4970723835695,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
0.12,88.6458913779893,0.23839631678560427,8574.37208774289,20.949239606563186,8553.422848136326,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
0.16,115.87472684678255,0.41804533417544953,11208.11137555533,36.73602004482022,11171.37535551051,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
0.2,142.0066708955735,0.6443286194196888,13735.752625108462,56.62081870890809,13679.131806399553,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
0.24,167.07775548313066,0.9152744601019329,16160.781067547563,80.43037001988198,16080.350697527681,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
0.28,191.12288255419617,1.2289761030460726,18486.57263215884,107.99711673652486,18378.575515422315,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
0.32,214.1758590462564,1.5835904635788633,20716.397332438115,139.15909653091327,20577.238235907203,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
0.36,236.26943081547824,1.9773357740668553,22853.422547614617,173.75973535198946,22679.662812262628,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
0.4,257.43531551515764,2.408490233067521,24900.716202855332,211.64772871879174,24689.06847413654,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
0.44,277.7042344589911,2.87538931953639,26861.249851275294,252.6768057045669,26608.573045570727,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
0.48,297.10594350048336,3.376425147732935,28737.901660782467,296.70567224868324,28441.195988533782,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
0.52,315.66926295884093,3.910043796854393,30533.459308693007,343.5977764963737,30189.86153219663,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
0.56,333.42210662076457,4.474743152874658,32250.622786961747,393.22111914885056,31857.401667812897,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
0.6,350.391509846645,5.069072374612008,33892.00712078516,445.4482065436413,33446.55891424152,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
0.64,366.6036568087942,5.691629094737915,35460.145003249425,500.1558046913207,34959.989198558105,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
0.68,382.0839068884792,6.341059032598862,36957.489348612835,557.2249052519632,36400.26444336087,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
0.72,396.85682025771496,7.016055031205529,38386.41576673299,616.5406409099074,37769.875125823084,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
0.76,410.94618267096166,7.715352026129185,39749.22496107127,677.991843262082,39071.233117809184,1382.06142698431,1382.06142698431,-0.783006790599975,0.0440064186883752,-0.215608884195034,0.0399798384276102,1382.06142698431,1382.06142698431,-0.215608884195034,-0.783006790599975,2198.0
