Time,x_Cancer,y_Immune_System,a,b,c,d,e,f,compartment,Tumor_Growth,Tumor_Killing,Tumor_Competition,Immune_Growth,Immune_Loss_Tumor,Immune_Growth_Control
0.0,0.0005,0.05,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.125e-05,3.125e-06,7.8125e-09,0.0015625,2.1484375e-06,7.812500000000002e-05
0.3,0.0005085031760012215,0.050446560121338226,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.1781448500076344e-05,3.206529505004632e-06,8.08048375010404e-09,0.0015764550037918195,2.2044890346906843e-06,7.95267321273685e-05
0.6,0.0005171416297371828,0.05089686566367221,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.2321351858573925e-05,3.290111007228238e-06,8.35735828772592e-09,0.0015905270519897565,2.261951317469414e-06,8.095284169955922e-05
0.8999999999999999,0.0005259178856252336,0.051350961564217874,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.28698678515771e-05,3.3757986413345128e-06,8.643425700641135e-09,0.0016047175488818086,2.3208615659174776e-06,8.240378917405567e-05
1.2,0.0005348337887396887,0.05180887409842746,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.342711179623054e-05,3.463642053049935e-06,8.93897442430156e-09,0.001619027315575858,2.38125391147183e-06,8.387998235458461e-05
1.5,0.0005438913577750091,0.052270631691540025,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.399320986093807e-05,3.5536931053086404e-06,9.244306533198216e-09,0.0016334572403606258,2.4431640098996904e-06,8.538184179476963e-05
1.7999999999999998,0.0005530926381867084,0.05273626281345913,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.4568289886669274e-05,3.6460048409504642e-06,9.559733325510409e-09,0.0016480082129205979,2.5066283281534444e-06,8.690979423531977e-05
2.1,0.0005624396778823505,0.05320579585159285,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.5152479867646905e-05,3.740631335030498e-06,9.885574726762569e-09,0.0016626811203622766,2.5716840428334675e-06,8.846427225629298e-05
2.4,0.000571934653292801,0.05367925874262839,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.574591583080006e-05,3.837628529747466e-06,1.022216398866114e-08,0.0016774768357071372,2.6383696142013826e-06,9.004571309868895e-05
2.6999999999999997,0.0005815795764757798,0.05415668020422013,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.634872352973624e-05,3.937052392063074e-06,1.0569837617929607e-08,0.0016923962563818791,2.7067235195433637e-06,9.165456283569278e-05
3.0,0.0005913764956261543,0.05463808877881451,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.696103097663464e-05,4.038960183715754e-06,1.0928942486845965e-08,0.0017074402743379534,2.7767851263045806e-06,9.32912732938005e-05
3.3,0.0006013274589387917,0.055123513008857976,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.758296618367448e-05,4.1434102506745e-06,1.1299834777305758e-08,0.0017226097815268117,2.8485945473387183e-06,9.49563027011792e-05
3.5999999999999996,0.0006114345146085594,0.055612981436796965,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.8214657163034965e-05,4.250462038842848e-06,1.1682880176706396e-08,0.0017379056698999052,2.9221926517044573e-06,9.665011575904762e-05
3.9,0.0006217000195150636,0.05610652324398151,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.8856251219691475e-05,4.360178324463209e-06,1.2078466070782201e-08,0.001753328851374422,2.9976225980684563e-06,9.837318595398241e-05
4.2,0.0006321260565246714,0.05660416704461974,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.9507878532791965e-05,4.472621112097405e-06,1.2486979729294753e-08,0.001768880220144367,3.074927014566966e-06,0.00010012599146297549
4.5,0.0006427147257131793,0.05710594148853924,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,4.0169670357073705e-05,4.58785369004992e-06,1.2908819332767728e-08,0.0017845606715168512,3.15414941190932e-06,0.0001019090172903896
4.8,0.0006534684340083829,0.05761187645582281,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,4.084177712552393e-05,4.705942835983869e-06,1.3344406070167758e-08,0.0018003711392444628,3.2353356997389102e-06,0.00010372275964878095
