Time,Susceptible,Exposed,Infected,Recovered,Total_population,beta_o,k,gamma,omega,beta,Wuhan,Susceptible_to_Exposed,Exposed_to_Infected,Infected_to_Recovered
137.0,360.06009288568714,207.25606733140503,17123.415402649225,9982309.26843711,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.6165458540398085,29.60798001076253,1670.577530097861
138.0,359.47265495347017,180.21253288396963,15558.03895275292,9983902.275859386,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.55926895682156,25.744621810205253,1517.8578382695275
139.0,358.93976919077704,156.71830435877564,14134.739166698768,9985349.602759728,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.5073520014066691,22.388306805781614,1378.9992878422984
140.0,358.4563350106407,136.3056452160242,12840.759626503426,9986664.478393245,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.4602851634469022,19.47221555862557,1252.7573499213006
141.0,358.0177360852798,118.56862403951817,11664.470308195909,9987858.943331655,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.41760872523742654,16.93835792441345,1137.997387737901
142.0,357.61979297699105,103.15494615744187,10595.270810328893,9988943.954450512,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.3789078553724975,14.736406143213674,1033.6852155264971
143.0,357.25872059110156,89.75884873552906,9623.50142138992,9989929.48100926,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.343807980541241,12.822679853811476,938.8784221722219
144.0,356.93108998327375,78.11493605441817,8740.36152645014,9990824.59244749,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.3119706766483719,11.159265419926017,852.7184108820021
145.0,356.6337941278723,67.99284901263458,7937.834963543344,9991637.538393293,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.28309002002093436,9.713254431397939,774.4231168782521
146.0,356.3640170177793,59.192618076924866,7208.621445926838,9992375.821918955,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.2568893295631,8.456079840615256,703.2803168860681
147.0,356.11920594594733,51.540652485175706,6546.073951434065,9993046.266190112,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.2331182657648149,7.362942992074746,638.6415207758588
148.0,355.89704646284446,44.886247404145536,5944.141301947735,9993655.075404162,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.2115502333121006,6.412314645414019,579.9163695593229
149.0,355.6954398142359,39.098558221356406,5397.315674272459,9994207.89032767,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.19198005725766112,5.585502731828313,526.5675144976954
150.0,355.51248260093206,34.063979137070476,4900.584652009367,9994709.838886231,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.17422190158318748,4.866277867584477,478.1059392346859
151.0,355.346448362309,29.683860380945944,4449.387301114983,9995165.582390124,10000000.0,0.1,10.0,0.097561,0.142857,1.0,1.0,0.15810739748395686,4.240547242440795,434.0866744840788
