task_fig2a.time/60,task_fig2a.MAPK_PP,task_fig2a.MAPK
0.0,10.0,280.0
0.15,9.110917301418679,279.8741724814522
0.3,8.293545317258147,279.98273607860506
0.45,7.633311002389718,280.0681624393826
0.6,7.219076329224244,279.8908745909392
0.75,7.141411998739286,279.2202791318025
0.9,7.498879451120166,277.8292032239291
1.05,8.407037315000055,275.4936225061886
1.2,10.005557287615485,271.9977793258281
1.35,12.459255262187217,267.1427020629187
1.5,15.951819112465632,260.7551132981307
1.65,20.673710643860765,252.69392593612903
1.8,26.808011284869476,242.85297145458424
1.95,34.51804712864251,231.16055447031707
2.1,43.9392196472659,217.57756660521466
2.25,55.1754556757294,202.09590976472703
2.4,68.29923489145875,184.73860715410143
2.55,83.35353540970584,165.5629846622251
2.7,100.35411478076396,144.66886238445187
2.85,119.29081355871064,122.21687622749532
3.0,140.12630516918955,98.46690081978018
3.15,162.7893116372096,73.86464162887496
3.3,187.15358105223723,49.25868762492883
3.45,212.97426182645134,26.476917120869786
3.6,239.6615708827875,9.542468937150556
3.75,265.50532769633,2.531239376265176
3.9,286.1698886993164,1.0404442952106006
4.05,295.94693150175914,0.44449105544157314
4.2,298.0251836341108,0.191343534338143
4.35,298.3575166797549,0.13557525584293761
4.5,298.4464562753273,0.12160031590503365
4.65,298.4996227038483,0.1142274048264473
4.8,298.5432569202221,0.10844478862613208
4.95,298.5809818236629,0.10355104190057632
5.1,298.61370794957105,0.09937468707523842
5.25,298.64198221554625,0.09581723369234585
5.4,298.66625668789976,0.09280055859594392
5.55,298.68693157524734,0.09025839205648377
5.7,298.7043676568712,0.08813361270585256
5.85,298.7188947399341,0.08637627603104947
6.0,298.730815871775,0.08494242447988441
6.15,298.74041003925083,0.08379311939512767
6.3,298.7479305517386,0.0828942715402964
6.45,298.7536062779963,0.0822159486978835
6.6,298.7576405960184,0.08173219497612745
6.75,298.7602107927037,0.08142087273084879
6.9,298.7614681639123,0.0812634453143751
7.05,298.76153926889094,0.08124468573867875
7.2,298.7605279441961,0.08135227900123007
7.35,298.75851676429323,0.08157662166047744
7.5,298.75556924374337,0.08191056300527119
7.65,298.7517322394389,0.08234896435600267
7.8,298.7470376714486,0.0828885852778853
7.95,298.7415045072133,0.08352788225529016
8.1,298.7351400355965,0.08426667767713364
8.25,298.7279414250902,0.08510620430644744
8.4,298.7198968495628,0.08604891063056486
8.55,298.71098581954146,0.08709830361697593
8.7,298.70118063061483,0.08825906815816627
8.85,298.6904463179097,0.0895368958277288
9.0,298.678740974718,0.09093850397916983
9.15,298.6660164680252,0.09247171576107051
9.3,298.6522179667066,0.09414541082448152
9.45,298.63728421946956,0.09596962302635036
9.6,298.6211473679374,0.0979556038242078
9.75,298.6037325930964,0.10011590120920158
9.9,298.58495793951965,0.10246449389204151
10.05,298.56473377650696,0.1050169213894399
10.2,298.5429622389859,0.10779044631786633
10.35,298.5195364189195,0.11080424580543101
10.5,298.49433960540085,0.11407963661338295
10.65,298.4672444049418,0.11764034216871976
10.8,298.4381115676535,0.12151278925817699
10.95,298.40678861166646,0.12572646065477214
11.1,298.3731083342933,0.13031430663973353
11.25,298.3368871151875,0.13531321995408183
11.4,298.29792296871886,0.14076459151449736
11.55,298.2559931371423,0.14671493954745346
11.7,298.2108512701662,0.15321667563616256
11.85,298.16222436813837,0.16032901298199528
12.0,298.10980924976553,0.16811900802009352
12.15,298.0532683221511,0.17666274872642418
12.3,297.99222433074954,0.18604681889781338
12.45,297.9262539921192,0.19637014008099118
12.6,297.8548810472148,0.20774623702106199
12.75,297.7775698003979,0.22030510668100123
12.9,297.69371422235076,0.23419646640847014
13.05,297.6026223766249,0.24959468135880342
13.2,297.503506067758,0.26670193753039484
13.35,297.3954667140522,0.2857528806455597
13.5,297.27747224203557,0.30702244607035306
13.65,297.1483316934837,0.3308341715403077
13.8,297.0066656763938,0.35757044572771435
13.95,296.850874191837,0.3876839358640125
14.1,296.6790966184623,0.4217123497170011
14.25,296.4891624208049,0.4602972306004467
14.4,296.278526930023,0.5042091968228097
14.55,296.04419791793725,0.5543776433672377
14.7,295.78265375938474,0.6119254115224756
14.85,295.48974653967866,0.6782125059532089
15.0,295.1605781506506,0.7549008878846126
15.15,294.78936090539963,0.8440178037683833
15.3,294.3692675242783,0.9480333725824978
15.45,293.8922532266847,1.0699989297504116
15.6,293.3488764158203,1.21366666481947
15.75,292.72809617328306,1.38362868723086
15.9,292.0171182705826,1.5855374725211717
16.05,291.2013207742034,1.826337332504077
16.2,290.2642395171902,2.1144727327596473
16.35,289.1876276050849,2.4601106998267035
16.5,287.9519047673494,2.8754460289751096
16.65,286.53690279635526,3.374841478588452
16.8,284.9226767419442,3.974669582363331
16.95,283.0908447384759,4.693044124288718
17.1,281.0265207213089,5.54926243058867
17.25,278.7199370411807,6.562364283064587
17.4,276.1677523028997,7.749389908116792
17.55,273.3748997154844,9.123589012301082
17.7,270.3541201284115,10.691873291601837
17.85,267.1256043193905,12.454126653562371
18.0,263.7156065523452,14.402506090025826
18.15,260.1526958458655,16.52252967263105
18.3,256.46699070412683,18.79608094211527
18.45,252.68504857832178,21.202237364032513
18.6,248.83039942630742,23.721194651668345
18.75,244.92202115045103,26.33471921397698
18.9,240.97544590940518,29.028006805383818
19.05,237.00102872458106,31.78845732504828
19.2,233.0073396601305,34.60689641050488
19.35,228.9991344244827,37.476105972103625
19.5,224.97988121167376,40.39076594099422
19.65,220.9520506768413,43.3476649609992
19.8,216.91624700765132,46.343647060319675
19.95,212.87335126731327,49.377139418878635
20.1,208.8236362186236,52.44648452725047
20.25,204.76756881307875,55.550241050659764
20.4,200.70576824576162,58.68676581496392
20.55,196.63919665381044,61.854203294001884
20.7,192.56910409829374,65.05041724347787
20.85,188.4969970110436,68.2730770025876
21.0,184.42454465767756,71.51975311900054
21.15,180.35347301360605,74.78800303917896
21.3,176.28549449273,78.0754588120642
21.45,172.22225672257707,81.37988424964391
21.6,168.16531357016532,84.69920186002496
21.75,164.11611946019295,88.03150107724713
21.9,160.0760364355232,91.37502974841578
22.05,156.04634960646854,94.7281758031615
22.2,152.02828761305398,98.08944448540686
22.35,148.0230445648135,101.4574334343734
22.5,144.03180200222644,104.83080787030565
22.65,140.0557502210784,108.20827684057099
22.8,136.09610853060548,111.5885707679458
22.95,132.15414468061235,114.97042017181154
23.1,128.23119370770925,118.35253530203497
23.25,124.32867641829728,121.73358648579136
23.4,120.44811822899894,125.11218424876147
23.55,116.59116855336136,128.4868591809261
23.7,112.75962146999697,131.85604044159422
23.85,108.95543786873388,135.21803284861116
24.0,105.18076985191863,138.57099147316507
24.15,101.43798765642438,141.91289350429722
24.3,97.72970978199379,145.2415063225313
24.45,94.05883680428468,148.55435116967362
24.6,90.42858945249303,151.84866151369658
24.75,86.84255174725938,155.1213349276398
24.9,83.30471983393022,158.36887733122296
25.05,79.81955715049526,161.58733833498988
25.2,76.3920567129409,164.77223610468553
25.35,73.0278112340113,167.91847001783086
25.5,69.73309173355827,171.02021912728412
25.65,66.51493507084437,174.0708245588465
25.8,63.38124067327824,177.06265360817562
25.95,60.340876146607805,179.98694348943053
26.1,57.40379156437765,182.8336221948789
26.25,54.58114048784774,185.59110578834967
26.4,51.885405260857176,188.2460715841066
26.55,49.3305228958096,190.78320815930905
26.7,46.93200625340534,193.18494603875783
26.85,44.70705368865404,195.43117640050883
