task_fig2b.time/60,task_fig2b.MAPK_PP,task_fig2b.MAPK
0.0,10.0,280.0
0.2,8.989965825895357,279.3040320909407
0.4,8.135448063098114,278.7816803074341
0.6,7.442520106752427,278.2179572318551
0.8,6.936347654031632,277.37194579883294
1.0,6.659526806230775,275.99596796773807
1.2,6.671769589785503,273.8590070191249
1.4,7.050008871863171,270.76511189906483
1.6,7.886607682279498,266.5631860912967
1.8,9.284188441155555,261.1488476166475
2.0,11.347983306966595,254.46123522380734
2.2,14.177910101296835,246.4780015225292
2.4,17.862301698846274,237.21095260944233
2.6,22.473951318904916,226.70330428205222
2.8,28.0680762647543,215.0284519621393
3.0,34.68139523154063,202.28968624067613
3.2,42.331588485210325,188.62033929651392
3.4,51.01666423715422,174.18402022029562
3.6,60.713997054127596,159.1746208769634
3.8,71.37907600679998,143.81575429157837
4.0,82.9440232622615,128.35902203881776
4.2,95.3158406402588,113.08032300445367
4.4,108.37441984994702,98.27089847839167
4.6,121.97141099535446,84.2246850609202
4.8,135.92963962022776,71.21891784238073
5.0,150.04387074366787,59.48872380697175
5.2,164.08441791882328,49.199493790719785
5.4,177.80465688651967,40.42424989206712
5.6,190.95363635730712,33.13618679259769
5.8,203.2927708148286,27.21935923891297
6.0,214.615743922933,22.496295818837115
6.2,224.76790529767686,18.764010500344078
6.4,233.66027495183423,15.825420499859295
6.6,241.27456775496722,13.509375005512517
6.8,247.65769561818138,11.678370320405202
7.0,252.9074408487939,10.226983786456449
7.2,257.1535625654221,9.075756421216372
7.4,260.5391841022103,8.164370722867977
7.6,263.20583326349976,7.4459979933984055
7.8,265.28357225752677,6.883388130650834
8.0,266.8858316956656,6.4464005299018865
8.2,268.10787212105856,6.110489841533272
8.4,269.0274844120192,5.855694413845876
8.6,269.70694112554696,5.665940076458521
8.8,270.19532896484856,5.528407122280294
9.0,270.5308906951982,5.4329684756221335
9.2,270.7431666886379,5.371712969556326
9.4,270.8548139618824,5.338521072374692
9.6,270.88310064907927,5.328697947752624
9.8,270.8411220960214,5.338690485810765
10.0,270.7387292816865,5.36582645359331
10.2,270.58326766903343,5.4081094803460115
10.4,270.38017669102385,5.46411225613138
10.6,270.1333936092275,5.532824526828999
10.8,269.84569757254417,5.613566797149576
11.0,269.5189719817624,5.705926197024109
11.2,269.1543866370819,5.809713394480953
11.4,268.7525322033589,5.9249182449444024
11.6,268.31352902571484,6.05167750028995
11.8,267.8371223744493,6.190250587177915
12.0,267.322743608417,6.341008731000317
12.2,266.76954281545034,6.504431996457116
12.4,266.1764417954418,6.681090693423718
12.6,265.54213081078854,6.871651318265658
12.8,264.86509060474725,7.076871835069108
13.0,264.1436204048495,7.297598640291747
13.2,263.3758457948531,7.534768072267057
13.4,262.5597307175201,7.789408857909667
13.6,261.6930724996222,8.062647606082637
13.8,260.7735044046512,8.355712533659558
14.0,259.79849975390147,8.669938072222013
14.2,258.76537514054314,9.006770471196047
14.4,257.6712991341637,9.367773031733316
14.6,256.51328623236026,9.754631179870263
14.8,255.28821863659738,10.169165770536114
15.0,253.9928234646149,10.613327082369599
15.2,252.62370843401092,11.089216031171226
15.4,251.17733595542552,11.599076810386704
15.6,249.65008017120792,12.145321321242566
15.8,248.03819488804206,12.730524204059344
16.0,246.33786590050124,13.35743178701818
16.2,244.54522095919395,14.028970739260185
16.4,242.65633355457646,14.748246495404446
16.6,240.66728548905064,15.518537624531424
16.8,238.57414177669872,16.343317884358864
17.0,236.37304625618728,17.226221055111942
17.2,234.0601786892358,18.171080348903292
17.4,231.63191019637532,19.18188781289343
17.6,229.08471121234936,20.26282484894433
17.8,226.41536175951828,21.41821594616536
18.0,223.62087544492204,22.65255795192992
18.2,220.69863270597472,23.97043864215934
18.4,217.64642694466386,25.376539748059457
18.6,214.46246037725635,26.87563270318186
18.8,211.14540938417176,28.472480466340727
19.0,207.6945196212473,30.17189185242484
19.2,204.10966430289645,31.978587133174912
19.4,200.3913510150623,33.897249388366916
19.6,196.5408698449711,35.93227703032204
19.8,192.56027070835358,38.087960993910876
20.0,188.45235464232638,40.368274098342
20.2,184.22082713791673,42.776885236227535
20.4,179.87020524384837,45.317061940141826
20.6,175.40588348526694,47.991622874103456
20.8,170.83415759943486,50.802869891763216
21.0,166.16213379823446,53.7524856629451
21.2,161.39787605658373,56.84153170289471
21.4,156.5501747327235,60.070329339636004
21.6,151.62867163585918,63.43845451753032
21.8,146.64377311366988,66.94469874305894
22.0,141.6066606547273,70.58709044528608
22.2,136.5292319038586,74.362822129753
22.4,131.42403473968344,78.26826945813329
22.6,126.30415216866656,82.29888056194827
22.8,121.18314410386148,86.44917717656668
23.0,116.07484528935068,90.71269490393121
23.2,110.9934120430877,95.08205487631068
23.4,105.9532203942103,99.54900433379854
23.6,100.96899067329653,104.10456450602553
23.8,96.05559177467254,108.73893926934745
24.0,91.2280470182846,113.44156065918419
24.2,86.50098357827561,118.20070322623866
24.4,81.88846370970984,123.00342541132403
24.6,77.4042255000684,127.83590363100082
24.8,73.0619228413675,132.6836348812866
25.0,68.87483486568894,137.53119878279753
25.2,64.8553268658498,142.36174590904744
25.4,61.014994949717426,147.15714743701383
25.6,57.36460297771941,151.89788594443965
25.8,53.91442410006259,156.5632588242323
26.0,50.67429534605216,161.13118259120012
26.2,47.652830361691855,165.57737505951448
26.4,44.85789987167764,169.87553786102248
26.6,42.29690900892846,173.9973313651483
26.8,39.97689757525766,177.91217811665783
27.0,37.90453807854826,181.58702292965492
27.2,36.0862994432472,184.98632045390477
27.4,34.52867535405257,188.07220002789933
27.6,33.23835112302095,190.80475965684613
27.8,32.222332159637894,193.14255477554184
28.0,31.48806062601507,195.04336596283474
28.2,31.043531601959984,196.4652408208889
28.4,30.897379551545786,197.36776387660393
28.6,31.058920684152607,197.71348722981224
28.8,31.538146266968276,197.46943740354286
29.0,32.345650761288084,196.6085860311133
29.2,33.49246949353616,195.11117591061586
29.4,34.989799528317526,192.96579805831473
29.6,36.84859370360517,190.17016170408053
29.8,39.07904354984527,186.7315259943951
30.0,41.68998917660251,182.66681580310154
30.2,44.68826720476429,178.0024474422367
30.4,48.07806981878634,172.77392844301895
30.6,51.86035158831701,167.02525747079508
30.8,56.03232174787296,160.80819571918866
31.0,60.58703698985137,154.181435830276
31.2,65.51310642665591,147.20968508549186
31.4,70.79451104554529,139.96266595505622
31.6,76.41053054949911,132.51402621539597
31.8,82.33576731948177,124.94014527014878
32.0,88.54026884379132,117.31880999467126
32.2,94.98973675539709,109.72775073543328
32.4,101.6458262805303,102.24303047039277
32.6,108.46653802817721,94.93730454932363
32.8,115.40670906040322,87.8779966927072
33.0,122.41860505677413,81.12547518422384
33.2,129.45262566222252,74.73133658685062
33.4,136.45812023594095,68.73694921307185
33.6,143.38430345244487,63.17240375553313
33.8,150.18126460673187,58.0560235700038
34.0,156.8010429257995,53.39453479964427
34.2,163.1986594352442,49.183824134894685
34.4,169.33315606425262,45.41033135557304
34.6,175.16851017080717,42.0529030331581
34.8,180.67436906877478,39.0848536132033
35.0,185.82655641980705,36.476052267817636
35.2,190.60731429002067,34.1948412255279
35.4,195.00527012755472,32.20965042130423
35.6,199.01514588308615,30.490242823687534
35.8,202.63723034870296,29.00856454788991
36.0,205.87667093300257,27.73923306968073
36.2,208.74265635408096,26.659744353135164
36.4,211.24754596623276,25.750460983334865
36.6,213.40598902324382,24.99442576628662
36.8,215.2341416323291,24.377161806920487
37.0,216.74894458672705,23.886401981834815
37.2,217.96750927292067,23.511802516671864
37.4,218.90662226093374,23.24468323155569
37.6,219.58237272512557,23.077807814020574
37.8,220.00988397908895,23.005194157878837
38.0,220.20313441254297,23.02195053420953
38.2,220.1748544750812,23.124139766909863
38.4,219.9364881127117,23.30866934399137
38.6,219.49820366633816,23.57320151923589
38.8,218.86894138740482,23.916078065199954
39.0,218.05647894793097,24.33625318615179
39.2,217.06752220146186,24.833239671072253
39.4,215.90779395167993,25.40705628661495
39.6,214.58214370489267,26.05818549429359
39.8,213.0946831353955,26.78754733392231
40.0,211.4488733318653,27.596451595702995
40.2,209.6476359770747,28.48656290074449
40.4,207.69345498260438,29.45986428014332
40.6,205.58847666462364,30.518623172163863
40.8,203.33461624043846,31.665362239389278
41.0,200.93365522251577,32.902812549172694
41.2,198.38732009783226,34.23389245203296
41.4,195.69740745671078,35.66165484097314
41.6,192.86581951522996,37.18925068835535
41.8,189.89466727910425,38.81989137992308
42.0,186.7863720617602,40.55679970179251
42.2,183.54363952530466,42.40313749791992
42.4,180.16967481998643,44.36201226193192
42.6,176.66805111867143,46.43634710980674
42.8,173.04296653159,48.62891204179997
43.0,169.29906484816593,50.94217197434917
43.2,165.44165265569595,53.37830094822369
43.4,161.47663510372283,55.939097742206116
43.6,157.41052800506097,58.62591981517823
43.8,153.25057189629888,61.43965518427125
44.0,149.00457752788125,64.3806726807533
44.2,144.68114344220623,67.44873778013043
44.4,140.28940096398853,70.6430269194887
44.6,135.83915814659156,73.96203964701196
44.8,131.34079727495242,77.40357178147235
45.0,126.8052659215199,80.96467688140707
45.2,122.24403680701992,84.6416249973658
45.4,117.66903946447943,88.42992003499857
45.6,113.09264519415264,92.32423260418656
45.8,108.52755717016416,96.31843156130883
46.0,103.98678244827188,100.40553909483867
46.2,99.48353243707872,104.57773970964092
46.4,95.03114808062949,108.82634974869521
46.6,90.64303708915278,113.14181038257904
46.8,86.33255953948499,117.51366111871036
47.0,82.11296757404648,121.93052881809969
47.2,77.99730063871938,126.38010144855143
47.4,73.9983093109724,130.84909168999826
47.6,70.12836604534434,135.32321886115406
47.8,66.39938455406481,139.7871040888959
48.0,62.822758771136165,144.224253298576
48.2,59.409307486342456,148.61696926624688
48.4,56.169236103747856,152.94626943114523
48.6,53.11211308095901,157.19177239482866
48.8,50.24687000285603,161.33158589285975
49.0,47.58183084253892,165.34221137266843
49.2,45.1247676727465,169.19845158710135
49.4,42.88297353793167,172.87333084305035
49.6,40.86335084526911,176.33804410019684
49.8,39.0725199255747,179.56196818514763
50.0,37.51693686108919,182.51277764117185
50.2,36.20302021073144,185.15668289794462
50.4,35.13728301433925,187.45886732874558
50.6,34.32639085465298,189.3839179809797
50.8,33.77725087082815,190.89655385042533
51.0,33.49710222237919,191.96258766022333
51.2,33.493554889785415,192.54994680784387
51.4,33.7745806294403,192.62974187118238
51.6,34.34845833455425,192.1773794687562
51.8,35.22367021046162,191.17363520080045
52.0,36.40872361028042,189.60558407338863
52.2,37.91188659827165,187.4673296660628
52.4,39.740845143715866,184.76051208420589
52.6,41.902297351883476,181.49458352269482
52.8,44.401500132906946,177.6868363121649
53.0,47.24180068984245,173.362220918616
53.2,50.4241810469343,168.5529809057906
53.4,53.94684651864098,163.2981392477577
53.6,57.80487655056642,157.6428732044061
53.8,61.98995563601367,151.63778946973187
54.0,66.49018976734523,145.33812601332926
54.2,71.29000939704738,138.80288620164447
54.4,76.37015715791006,132.0939053465701
54.6,81.70775540046166,125.27484676376943
54.8,87.27644590748316,118.41012660369549
55.0,93.0466049560016,111.56376017716545
55.2,98.98562417913351,104.7981424261717
55.4,105.0582593428855,98.17277803962806
55.6,111.2270620830801,91.74299830020155
55.8,117.45283442228585,85.55871605871216
56.0,123.69517215040118,79.66326444685097
56.2,129.91309088685873,74.09243495484067
56.4,136.06570793442737,68.87385308246874
56.6,142.11289154556349,64.02639189148874
56.8,148.01600852027326,59.5603474755949
57.0,153.73858545409243,55.47776960930285
57.2,159.24709471211975,51.77327190288572
57.4,164.51152674804052,48.43550665162329
57.6,169.50579566136906,45.448088930017526
57.8,174.20810079266622,42.79084516543624
58.0,178.60114302523195,40.44123478695594
58.2,182.6721971793213,38.375715543952204
58.4,186.41299354285565,36.570789477181826
58.6,189.81944212822785,35.00376752057611
58.8,192.8912277029887,33.65331673138655
59.0,195.63133005088258,32.49984645687255
59.2,198.0454971236033,31.52572651298957
59.4,200.1416945202779,30.715351183841868
59.6,201.92955518204434,30.05508654896178
59.8,203.41986107139087,29.53315267950672
60.0,204.62407805706727,29.139477601538086
60.2,205.5539590502178,28.865537506076915
60.4,206.2212145961554,28.70419713157814
60.6,206.63724981146146,28.64955443338545
60.8,206.8129652860706,28.69679836308231
61.0,206.75861725196512,28.84208353131667
61.2,206.48373193144778,29.082425461489972
61.4,205.9970604306948,29.41560555430582
61.6,205.3065690432105,29.84008870057234
61.8,204.4194641310015,30.354954948372278
62.0,203.34222297009666,30.959833476794287
62.2,202.08065914268283,31.65485086547581
62.4,200.63998362624406,32.44057684311377
62.6,199.02487769623406,33.31797573991258
62.8,197.23961488228363,34.288378264175144
63.0,195.28811799080762,35.35342469100491
63.2,193.1740548713841,36.51502525802836
63.4,190.9009194950217,37.77531325702847
63.6,188.47211784752406,39.136602045012
63.8,185.89105545873443,40.601342009370214
64.0,183.16121743470427,42.17207351266372
64.2,180.28624570768434,43.85137881911449
64.4,177.26999417673468,45.6418248641977
64.6,174.11665807679137,47.545937465166475
64.8,170.83074753633426,49.56611250929142
65.0,167.4171674143159,51.704569468498086
65.2,163.88140982159547,53.9633478326581
65.4,160.22933452212214,56.34416121936984
65.6,156.46738102766867,58.848392197676425
65.8,152.60250455626797,61.4770323804079
66.0,148.64225105506762,64.23061003147997
66.2,144.59472931322554,67.10917563640339
66.4,140.46866832857157,70.11221579837063
66.6,136.27334224998393,73.23865009467053
66.8,132.01864927547297,76.48674940118369
67.0,127.71495195662216,79.8541199379595
67.2,123.37319288030307,83.3376486421304
67.4,119.0047246069564,86.93349699413086
67.6,114.62137048241745,90.63704386616857
67.8,110.23528934955938,94.44290618444955
68.0,105.85898947551733,98.344880384999
68.2,101.50521900797347,102.33597105525875
68.4,97.18692942525188,106.40833390885946
68.6,92.91718262123133,110.55328820431319
68.8,88.70907629578606,114.76127507100107
69.0,84.5756631395539,119.02185015492093
69.2,80.52986010793235,123.3236518160522
69.4,76.58437560759043,127.65438702676337
69.6,72.75162543489932,132.00078095099465
69.8,69.04365398256125,136.3485555734842
70.0,65.47207251200359,140.68239090054684
70.2,62.047995580931776,144.9858392351352
70.4,58.78197852500926,149.2412656470793
70.6,55.683992411412994,153.429730776183
70.8,52.763414570197725,157.53094843345963
71.0,50.02903067189577,161.52320226299378
71.2,47.48905447764817,165.38323928054618
