Time,H,T,I,E,alpha1,alpha2,beta1,beta2,delta1,gamma2,s,rho,omega,mu,alpha3,gamma3,sigma1,sigma2,sigma3,v,theta,pi,Tissue
1.1500000000000001,0.6532031125801734,0.38591131981999166,1.245142446331856,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
1.2000000000000002,0.6375710094572589,0.39569483509063486,1.2417196779286197,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
1.25,0.6221614321639688,0.404967079292473,1.238383807496539,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
1.3,0.6069896586714713,0.41374225580988405,1.2351300086462507,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
1.35,0.5920688031578697,0.4220349573594128,1.2319540510237375,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
1.4000000000000001,0.577410154870399,0.42985993168029807,1.2288520791175637,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
1.4500000000000002,0.5630231636023991,0.4372320837016207,1.2258205761540897,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
1.5,0.5489156348127425,0.44416642347739826,1.2228564648081435,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
1.55,0.5350938402170363,0.45067794354722474,1.219956884049431,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
1.6,0.5215626188693365,0.4567816473702479,1.217119321854901,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
1.6500000000000001,0.5083255226477207,0.4624924188992047,1.2143414608977203,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
1.7000000000000002,0.49538490675620567,0.46782502835492445,1.2116211986706518,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
1.75,0.48274205587346697,0.4727940505612126,1.2089566089998933,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
1.8,0.4703972840477913,0.4774138364490194,1.2063459013584783,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
1.85,0.45835003038853506,0.48169847995312565,1.203787427615965,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
1.9000000000000001,0.44659895873962846,0.4856617804112238,1.2012796507483352,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
1.9500000000000002,0.43514203263401424,0.4893172321598176,1.1988211398961601,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
2.0,0.4239766045753102,0.49267799800467166,1.1964105641805192,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
2.0500000000000003,0.4130994774426183,0.4957569019550143,1.1940466722213732,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
2.1,0.4025069835389817,0.4985664153954009,1.1917282940192617,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
2.15,0.3921950332694897,0.5011186490545722,1.1894543226469056,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
2.2,0.38215918842152913,0.5034253447280459,1.1872237106071284,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
2.25,0.372394696449661,0.5054978726241068,1.1850354633915166,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
2.3000000000000003,0.36289656145762034,0.507347222088522,1.1828886289961025,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
2.35,0.3536595628164961,0.5089840106193257,1.1807823005156282,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
2.4000000000000004,0.3446783253571508,0.5104184710446691,1.1787156035242417,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
2.45,0.3359473224465431,0.5116604720230438,1.1766877008281607,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
2.5,0.32746094554240984,0.51271950350807,1.1746977819078517,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
2.5500000000000003,0.31921349387723763,0.5136047022232237,1.1727450661611805,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
2.6,0.311199242306704,0.5143248399104197,1.1708287952803837,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
2.6500000000000004,0.3034124216717786,0.5148883466892018,1.1689482354943181,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
2.7,0.29584728293306634,0.5153033053122604,1.1671026713551709,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
2.75,0.28849807262255234,0.5155774701509626,1.1652914084719457,0.499999999999999,0.7,0.98,0.3,0.4,1.0,0.9,0.4,0.2,0.3,0.29,1.0,0.085,1.2,0.94,0.3,0.4,0.8,0.0,1.0
