Time,x_Normal_Hematopoietic_Stem_Cell,y_Leukemic_Cell,a,b,c,A,B,C,compartment,Normal_Cells_Growth,Normal_Cells_Removal,Leukemic_Cells_Growth,Leukemic_Cells_Removal
0.0,2.5,0.7,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.28846153846153844,0.25,0.08076923076923076,0.06999999999999999
1.0,2.5374040194798675,0.7104731254543633,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.2901063362654235,0.25374040194798675,0.08122977415431862,0.07104731254543632
2.0,2.572761834141965,0.7203733135597497,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.2916337968728111,0.2572761834141965,0.08165746312438704,0.07203733135597497
3.0,2.606154395835297,0.7297232308338826,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.293052567338821,0.26061543958352973,0.08205471885486981,0.07297232308338826
4.0,2.63766810538123,0.7385470695067429,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.29437081882826904,0.263766810538123,0.08242382927191515,0.0738547069506743
5.0,2.6673911443481764,0.7468695204174878,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.29559616459252513,0.2667391144348176,0.08276692608590686,0.07468695204174879
6.0,2.695409124731601,0.7547145549248464,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.29673555498852544,0.26954091247316014,0.08308595539678691,0.07547145549248464
7.0,2.7218050565065863,0.7621054158218415,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.29779534916633255,0.27218050565065866,0.08338269776657282,0.07621054158218415
8.0,2.746661329668826,0.7690651723072678,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.2987814564791919,0.27466613296688264,0.08365880781417336,0.07690651723072678
9.0,2.7700577999606124,0.7756161839889675,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.2996993124346413,0.27700577999606124,0.08391580748169915,0.07756161839889675
10.0,2.7920704818926394,0.7817797349299368,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.300553876399386,0.27920704818926395,0.08415508539182785,0.07817797349299369
11.0,2.812773703232362,0.7875766369050626,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3013497583970799,0.28127737032323624,0.0843779323511825,0.07875766369050627
12.0,2.8322377947139348,0.7930265825199055,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3020911663646986,0.2832237794713935,0.08458552658211602,0.07930265825199057
13.0,2.850530627727185,0.7981485757636175,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3027819982376338,0.2850530627727185,0.08477895950653808,0.07981485757636175
14.0,2.8677172501397443,0.8029608300391351,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.30342585591273236,0.28677172501397447,0.08495923965556577,0.08029608300391351
15.0,2.883859956055919,0.8074807876956651,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.30402607250905384,0.2883859956055919,0.08512730030253589,0.08074807876956652
16.0,2.8990177206068792,0.8117249617699348,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3045857131213245,0.28990177206068796,0.08528399967397177,0.08117249617699349
17.0,2.9132472832466862,0.8157092393090815,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.30510763401084906,0.29132472832466866,0.08543013752303871,0.08157092393090815
18.0,2.9266026147634414,0.819448732133774,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3055944792081015,0.29266026147634416,0.08556645417826951,0.0819448732133774
19.0,2.9391341113921583,0.8229575511898156,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.30604866602297076,0.2939134111392158,0.08569362648643299,0.08229575511898157
20.0,2.9508905334787516,0.8262493493740616,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.30647246838221653,0.29508905334787516,0.08581229114702178,0.08262493493740616
21.0,2.9619182236364567,0.8293371026182177,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.30686799908910156,0.29619182236364566,0.08592303974494944,0.08293371026182178
22.0,2.9722597038955123,0.8322327170907494,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3072371695911856,0.29722597038955123,0.08602640748553257,0.08322327170907495
23.0,2.9819563981386263,0.8349477914788157,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3075817961857893,0.29819563981386266,0.08612290293202102,0.08349477914788157
24.0,2.9910478054499006,0.8374933855259663,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.30790357732197265,0.29910478054499007,0.08621300165015174,0.08374933855259664
25.0,2.999569439591548,0.8398794430856201,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3082040274543537,0.29995694395915484,0.08629712768721766,0.08398794430856202
26.0,3.007556204605767,0.8421157372895928,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.30848460233118147,0.30075562046057674,0.08637568865272854,0.08421157372895928
27.0,3.0150416546622334,0.8442116633053939,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.30874667720030036,0.3015041654662234,0.08644906961608088,0.0844211663305394
28.0,3.022055247450775,0.8461754692861754,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3089914551755592,0.3022055247450775,0.08651760744915232,0.08461754692861755
29.0,3.0286261848294727,0.8480153317522,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.30922010569647596,0.30286261848294727,0.08658162959500791,0.08480153317522
30.0,3.034782833570667,0.8497391933997236,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.30943374700559384,0.3034782833570667,0.08664144916155983,0.08497391933997236
31.0,3.0405495605676767,0.8513538769588752,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.30963333932479853,0.3040549560567677,0.08669733501093604,0.08513538769588752
32.0,3.04595066350322,0.8528661857808164,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3098198240082249,0.304595066350322,0.08674955072229432,0.08528661857808165
33.0,3.051010004588198,0.8542828012845993,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.30999411255820986,0.3051010004588198,0.086798351516289,0.08542828012845993
34.0,3.055747710062905,0.8556093588175067,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.31015697490001076,0.30557477100629055,0.08684395297199217,0.08556093588175068
35.0,3.060183911564711,0.856851495238002,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.31030917016786524,0.3060183911564711,0.08688656764699038,0.0856851495238002
36.0,3.0643385915969885,0.8580148056470297,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3104514424643743,0.3064338591596989,0.08692640389001194,0.08580148056470298
37.0,3.068228349644797,0.8591039379004063,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3105844114147513,0.3068228349644797,0.08696363519611648,0.08591039379004063
38.0,3.071869809718603,0.8601235467210627,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3107086901623552,0.3071869809718603,0.08699843324544469,0.08601235467210627
39.0,3.0752796473075303,0.8610783012459535,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.31082488697200805,0.30752796473075306,0.08703096835214659,0.08610783012459536
40.0,3.078471529900283,0.8619720283719158,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.31093350182042656,0.30784715299002835,0.08706138050970291,0.08619720283719158
41.0,3.08145914818764,0.8628085614923674,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.3110350305895144,0.308145914818764,0.0870898085650467,0.08628085614923675
42.0,3.084256382331349,0.8635917870525982,0.3,0.5,0.1,0.3,0.5,0.1,1.0,0.31112997115904556,0.30842563823313496,0.08711639192451463,0.08635917870525983
