Time,Susceptible,Exposed,Infected,Recovered,Total_Population,r_1,r_2,beta_1,beta_2,alpha,gamma,Wuhan,Susceptible_to_Exposed,Exposed_to_Infected,Infected_to_Recovered
0.0,11080778.0,193.0,27.0,2.0,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,75.95847819510875,27.020000000000003,1.296
0.03571428571428571,11080688.80038881,251.3266509381568,55.910131173930914,3.962829080810216,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,103.89310799592248,35.18573113134195,2.683686296348684
0.07142857142857142,11080566.801370004,332.75213324726934,92.94943444819151,7.497062304286548,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,142.09307705809638,46.58529865461771,4.461572853513193
0.10714285714285714,11080399.948048148,445.5485185475318,141.43486076744324,13.068572538025782,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,194.3313093738892,62.376792596654454,6.788873316837275
0.14285714285714285,11080171.755838742,601.0558705878831,205.85911795610681,21.329172715096963,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,265.76643564831744,84.14782188230365,9.881237661893127
0.17857142857142858,11079859.690149201,814.8005182389624,292.3265844585922,33.18274810559383,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,363.44916160977357,114.07207255345475,14.031676054012426
0.21428571428571427,11079432.931325456,1108.0379163660118,409.1539782961558,49.87677988741584,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,497.02030641418276,155.12530829124168,19.63939095821548
0.25,11078849.345114307,1509.8440285343415,567.6841590476944,73.12669811516636,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,679.6561118417321,211.37816399480784,27.248839634289332
0.2857142857142857,11078051.331205027,2059.9809348110502,783.4012473446965,105.28661282284324,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,929.3620655910202,288.39733087354705,37.60325987254543
0.32142857142857145,11076960.15914114,2812.805697890514,1077.452475047473,149.58268592729098,11081000.0,6.0,18.0,0.04,0.02,0.14,0.048,1.0,1270.7351996941031,393.79279770467195,51.7177188022787
