Time,H,T,b1,u1,b2,u2,bone_marrow,HSC_growth,HSC_death,Tumor_growth,Tumor_death,Tumor_inhibition
0.0,0.85,0.01,0.2,0.1,0.8,0.1,1.0,0.00198,0.001,0.09520000000000002,0.085,0.0017
1.0,0.8558333622644596,0.011028530351854903,0.2,0.1,0.8,0.1,1.0,0.0021813803740266236,0.0011028530351854904,0.09115522727016498,0.08558333622644597,0.0018877168423727252
2.0,0.8581155570743836,0.01216020444146291,0.2,0.1,0.8,0.1,1.0,0.0024024667738809474,0.001216020444146291,0.08905470973830366,0.08581155570743837,0.002086972121684868
3.0,0.8585264645662791,0.013404820139011875,0.2,0.1,0.8,0.1,1.0,0.0026450261872105235,0.0013404820139011875,0.0879603050908095,0.08585264645662792,0.0023016785684185446
4.0,0.8579190281603888,0.014772966615742698,0.2,0.1,0.8,0.1,1.0,0.00291094521462257,0.0014772966615742699,0.08737596809495919,0.08579190281603888,0.002534801832404769
5.0,0.8567193082208145,0.01627608026803272,0.2,0.1,0.8,0.1,1.0,0.0032022338958282554,0.001627608026803272,0.08704584233175046,0.08567193082208147,0.0027888064455550885
6.0,0.8551347318171326,0.017926478481896522,0.2,0.1,0.8,0.1,1.0,0.0035210239702269247,0.0017926478481896523,0.08683981431050487,0.08551347318171326,0.0030659108738084364
7.0,0.8532611011081641,0.019737399426848448,0.2,0.1,0.8,0.1,1.0,0.0038695668981426983,0.001973739942684845,0.08669235142070646,0.08532611011081642,0.0033682310335928713
8.0,0.8511387734708726,0.021723014934871103,0.2,0.1,0.8,0.1,1.0,0.004250225111402094,0.0021723014934871103,0.08656980918209248,0.08511387734708727,0.003697860057551128
9.0,0.8487786130949733,0.023898446134593944,0.2,0.1,0.8,0.1,1.0,0.004665462081389172,0.0023898446134593947,0.08645519126584113,0.08487786130949733,0.0040568979930491154
10.0,0.8461770780565454,0.026279762597651704,0.2,0.1,0.8,0.1,1.0,0.005117827335092554,0.0026279762597651705,0.08633927832106546,0.08461770780565454,0.004447466545380122
11.0,0.8433223809953091,0.028883963754771213,0.2,0.1,0.8,0.1,1.0,0.005609936078516856,0.0028883963754771213,0.08621699969716477,0.08433223809953092,0.004871698617251174
12.0,0.8401977902439818,0.031728942635961266,0.2,0.1,0.8,0.1,1.0,0.006144443367033029,0.0031728942635961266,0.08608550081887925,0.08401977902439818,0.005331717497902543
13.0,0.836784046896397,0.03483342110185421,0.2,0.1,0.8,0.1,1.0,0.006724010775239022,0.003483342110185421,0.0859427637433837,0.0836784046896397,0.005829610215371183
14.0,0.8330601953741504,0.038216861085356185,0.2,0.1,0.8,0.1,1.0,0.0073512665228277554,0.0038216861085356188,0.08578716839598334,0.08330601953741505,0.0063673891524707186
15.0,0.8290040184541764,0.04189933778447495,0.2,0.1,0.8,0.1,1.0,0.008028756655539485,0.0041899337784474956,0.08561730915768426,0.08290040184541764,0.006946943878779729
16.0,0.8245923519445725,0.0459013762966335,0.2,0.1,0.8,0.1,1.0,0.008758887990141672,0.00459013762966335,0.08543190497692554,0.08245923519445725,0.007569984767586774
17.0,0.819801499992588,0.050243740757652235,0.2,0.1,0.8,0.1,1.0,0.009543861454466014,0.005024374075765224,0.08522968525130295,0.0819801499992588,0.008237978807672406
18.0,0.814607557815716,0.054947178156407574,0.2,0.1,0.8,0.1,1.0,0.010385597153811117,0.005494717815640758,0.08500935836669972,0.08146075578157161,0.008952077321371247
19.0,0.8089867672961533,0.060032101480065,0.2,0.1,0.8,0.1,1.0,0.011285649654390436,0.0060032101480065,0.08476960154041635,0.08089867672961533,0.00971303514207048
20.0,0.8029158677381342,0.06551826235946007,0.2,0.1,0.8,0.1,1.0,0.012245123931371404,0.006551826235946007,0.08450905967793006,0.08029158677381343,0.010521130495008123
21.0,0.7963723802879851,0.07142446712856677,0.2,0.1,0.8,0.1,1.0,0.013264602524793412,0.0071424467128566775,0.08422635144356505,0.07963723802879852,0.011376094579595535
22.0,0.7893353631022756,0.0777678114336113,0.2,0.1,0.8,0.1,1.0,0.014343995787687516,0.007776781143361131,0.08392013118628436,0.07893353631022756,0.012276976735123776
23.0,0.7817858408671565,0.0845633431137595,0.2,0.1,0.8,0.1,1.0,0.015482476823036818,0.00845633431137595,0.08358905246724899,0.07817858408671566,0.01322208486054567
24.0,0.7737073626330326,0.09182351663609209,0.2,0.1,0.8,0.1,1.0,0.01667839168573468,0.00918235166360921,0.08323179900501468,0.07737073626330326,0.014208906176840242
25.0,0.7650866103116506,0.09955761647020724,0.2,0.1,0.8,0.1,1.0,0.017929179494595673,0.009955761647020724,0.08284711177406473,0.07650866103116506,0.015234039863179642
26.0,0.7559140666711585,0.1077711348670566,0.2,0.1,0.8,0.1,1.0,0.01923130347130466,0.01077711348670566,0.0824338189221658,0.07559140666711585,0.016293143365424527
27.0,0.7461846637000021,0.11646518048842705,0.2,0.1,0.8,0.1,1.0,0.020580208444445035,0.011646518048842706,0.08199086385871991,0.07461846637000022,0.0173809063071034
28.0,0.7358984003318564,0.1256359217194911,0.2,0.1,0.8,0.1,1.0,0.021970307378636998,0.01256359217194911,0.0815173367226235,0.07358984003318564,0.018491054763518366
29.0,0.7250609353284149,0.13527406390769742,0.2,0.1,0.8,0.1,1.0,0.02339499830831872,0.013527406390769742,0.08101250886920654,0.07250609353284149,0.019616387860518173
30.0,0.7136841029150542,0.14536441265036742,0.2,0.1,0.8,0.1,1.0,0.024846720037036224,0.014536441265036743,0.08047586697858979,0.07136841029150542,0.020748854087630247
31.0,0.7017860607183645,0.1558857947715966,0.2,0.1,0.8,0.1,1.0,0.026317082752004853,0.015588579477159659,0.07990712629204347,0.07017860607183644,0.021879695566942036
32.0,0.6893915595166955,0.16681085070366503,0.2,0.1,0.8,0.1,1.0,0.027796998158236923,0.016681085070366503,0.07930627573834217,0.06893915595166955,0.022999598502181258
33.0,0.6765328356876559,0.17810530583811293,0.2,0.1,0.8,0.1,1.0,0.029276761174085036,0.017810530583811292,0.07867365625151948,0.06765328356876558,0.02409881752193515
34.0,0.6632486195087908,0.18972900045296465,0.2,0.1,0.8,0.1,1.0,0.03074638136801672,0.018972900045296465,0.07800991247781004,0.06632486195087908,0.02516749952624231
35.0,0.6495839044121503,0.20163620535224802,0.2,0.1,0.8,0.1,1.0,0.032195809208678816,0.020163620535224802,0.07731601759780263,0.06495839044121503,0.026195926708712677
36.0,0.6355895434392982,0.21377609242796985,0.2,0.1,0.8,0.1,1.0,0.03361517494683959,0.021377609242796986,0.07659330138031364,0.06355895434392982,0.027174769796906115
37.0,0.6213220793559263,0.2260928923322235,0.2,0.1,0.8,0.1,1.0,0.03499497927381462,0.02260928923322235,0.0758435576554413,0.06213220793559263,0.028095301198290533
38.0,0.6068420249221548,0.2385278794805886,0.2,0.1,0.8,0.1,1.0,0.03632646603821648,0.02385278794805886,0.07506883226091646,0.06068420249221548,0.028949748276877615
39.0,0.5922131099069542,0.25102003679276136,0.2,0.1,0.8,0.1,1.0,0.03760179558426442,0.025102003679276137,0.074271508578631,0.05922131099069542,0.029731471327599856
40.0,0.5775011806827056,0.26350714320268215,0.2,0.1,0.8,0.1,1.0,0.03881422573676867,0.026350714320268216,0.07345430453992874,0.057750118068270566,0.030435137263575145
41.0,0.5627729302935741,0.2759270555195875,0.2,0.1,0.8,0.1,1.0,0.0399582631103756,0.02759270555195875,0.07262022531225769,0.05627729302935741,0.031056855516407196
42.0,0.5480946720342629,0.2882189420571351,0.2,0.1,0.8,0.1,1.0,0.041029756699320186,0.028821894205713513,0.07177250880083924,0.05480946720342629,0.031594253304173536
43.0,0.5335311019198575,0.3003244821348098,0.2,0.1,0.8,0.1,1.0,0.04202593751305362,0.03003244821348098,0.0709145706537156,0.053353110191985756,0.032046490377379125
44.0,0.5191441440633557,0.31218894231311795,0.2,0.1,0.8,0.1,1.0,0.04294540132210694,0.031218894231311797,0.07004995240391484,0.051914414406335575,0.032414212248637594
45.0,0.504991932929311,0.32376210160458885,0.2,0.1,0.8,0.1,1.0,0.04378804063383375,0.032376210160458885,0.06918226488565757,0.0504991932929311,0.032699449899711464
46.0,0.4911279733185248,0.3349989939383019,0.2,0.1,0.8,0.1,1.0,0.044554933599725496,0.03349989939383019,0.06831512814872016,0.04911279733185248,0.0329054753913326
47.0,0.4776004540809702,0.3458604815514518,0.2,0.1,0.8,0.1,1.0,0.04524820177048993,0.03458604815514518,0.06745210984398788,0.04776004540809702,0.03303662460752728
48.0,0.46445176557584916,0.3563136104227862,0.2,0.1,0.8,0.1,1.0,0.045870844290053024,0.03563136104227862,0.06659667005580583,0.04644517655758492,0.033098097091913664
49.0,0.45171820049492883,0.36633177255793575,0.2,0.1,0.8,0.1,1.0,0.046426560994499315,0.03663317725579358,0.06575211100205103,0.04517182004949288,0.03309574581679766
50.0,0.4394298438314348,0.37589467282839134,0.2,0.1,0.8,0.1,1.0,0.04691957355352559,0.037589467282839135,0.06492153504293385,0.04394298438314348,0.03303586747560966
51.0,0.4276106553452925,0.38498807894628173,0.2,0.1,0.8,0.1,1.0,0.047354451603106654,0.03849880789462817,0.06410782243369378,0.042761065534529255,0.032925000947668946
52.0,0.41627864479025867,0.3936036433856163,0.2,0.1,0.8,0.1,1.0,0.04773596305983698,0.03936036433856163,0.06331355474301738,0.04162786447902587,0.032769758250614525
53.0,0.4054461072881482,0.40173848831163544,0.2,0.1,0.8,0.1,1.0,0.048068935064143475,0.040173848831163546,0.06254100411140621,0.04054461072881482,0.03257666124675557
54.0,0.3951203312435579,0.4093942362185551,0.2,0.1,0.8,0.1,1.0,0.04835811911391621,0.040939423621855514,0.061792215086128095,0.03951203312435579,0.032351997244775776
55.0,0.3853031699467069,0.4165776764248163,0.2,0.1,0.8,0.1,1.0,0.04860814318586347,0.041657767642481636,0.06106875033616857,0.03853031699467069,0.03210173985110306
56.0,0.37599279730640867,0.42329841834927495,0.2,0.1,0.8,0.1,1.0,0.04882337347445543,0.042329841834927495,0.06037204581567059,0.03759927973064087,0.031831431282104465
57.0,0.3671836874593339,0.4295692204794635,0.2,0.1,0.8,0.1,1.0,0.04900790105922592,0.04295692204794635,0.059703213382735286,0.03671836874593339,0.0315461620789362
58.0,0.35886702318510943,0.4354055441687643,0.2,0.1,0.8,0.1,1.0,0.04916551125517331,0.04354055441687643,0.05906303307298435,0.035886702318510946,0.031250538302827424
59.0,0.35103136710993565,0.4408247921103942,0.2,0.1,0.8,0.1,1.0,0.04929965895424438,0.04408247921103942,0.05845201358752029,0.03510313671099357,0.030948665886092974
60.0,0.34366297620754277,0.4458459110166467,0.2,0.1,0.8,0.1,1.0,0.04941346692927662,0.044584591101664676,0.057870401825418055,0.03436629762075428,0.030644146541988822
61.0,0.33674633565181294,0.4504888293393737,0.2,0.1,0.8,0.1,1.0,0.049509728795962875,0.04504888293393737,0.05731822283582439,0.03367463356518129,0.030340092506421803
62.0,0.330264586951948,0.4547740791468543,0.2,0.1,0.8,0.1,1.0,0.049590923216597006,0.045477407914685436,0.05679529292121507,0.0330264586951948,0.030039154681177672
