Time,Amyloid,n,a,omega,e,k,ka,C,t1,Brain
0.0,0.0,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
0.08,0.0,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
0.16,0.0,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
0.24,0.0,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
0.32,0.0,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
0.4,0.0,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
0.48,0.0,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
0.56,0.0,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
0.64,0.0,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
0.72,0.0,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
0.8,0.0,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
0.88,1.1102230246251565e-16,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
0.96,2.220446049250313e-16,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
1.04,4.440892098500626e-16,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
1.12,9.992007221626409e-16,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
1.2,2.1094237467877974e-15,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
1.28,3.885780586188048e-15,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
1.36,7.216449660063518e-15,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
1.44,1.27675647831893e-14,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
1.52,2.1871393585115584e-14,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
1.6,3.6637359812630166e-14,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
1.68,5.96189764223709e-14,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
1.76,9.492406860545088e-14,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
1.84,1.4810375148499588e-13,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
1.92,2.2659651932599445e-13,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
2.0,3.4083846855992306e-13,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
2.08,5.044853423896711e-13,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
2.16,7.358558207215538e-13,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
2.24,1.0585976539800868e-12,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
2.32,1.5035750422498495e-12,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
2.4,2.11042294750996e-12,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
2.48,2.9293234504734755e-12,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
2.56,4.02400335275388e-12,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
2.64,5.473843600611872e-12,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
2.72,7.37809813244894e-12,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
2.8000000000000003,9.859002503276315e-12,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
2.88,1.3067102955233167e-11,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
2.96,1.7185808331987573e-11,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
3.04,2.243827346148919e-11,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
3.12,2.9093727427209615e-11,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
3.2,3.7475911263129547e-11,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
3.2800000000000002,4.7972403827145627e-11,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
3.36,6.104439176368714e-11,10.0,3.0656965974059913,35.3,2.718,0.205,0.07542310522442973,0.00069,27.125946148160825,1.0
