Time,N,T,I,u,a1,a2,a3,b1,b2,alpha,c1,c2,c3,c4,d1,d2,r1,r2,s,p,v,compartment,Presence_of_Normal_Cell,Normal_cells_attacked_and_removed,Induction_of_tumor_cell,Tumor_cells_removed_by_immune_system,Initiation_immune_response_against_tumor,Removal_of_immune_response_components,Increase_in_amount_of_drug_at_tumor_site,Decrease_of_chemotherapeutic_drug_at_tumor_site
0.0,1.0,0.25,0.1,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.0,0.25,0.28125,0.2625,0.33045454545454545,0.045000000000000005,0.0,0.0
0.15,0.9655419118974017,0.25301913401730103,0.14139141293206706,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.03327072826691189,0.24430057840568975,0.28350067775765414,0.26218794483446684,0.33064689864521823,0.06405301544396763,0.0,0.0
0.3,0.936277352039891,0.2563432919870255,0.1800251725801543,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.05966207209706098,0.24000841863480085,0.2859471129604202,0.2630825413246654,0.33082949225854613,0.08215327989576002,0.0,0.0
0.44999999999999996,0.9111362587125169,0.2598415555742576,0.21603920500955748,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.08096697677187437,0.2367510628039696,0.2884858823565114,0.26481904435132425,0.3310027116160952,0.09934380409662086,0.0,0.0
0.6,0.8893196330173619,0.26341646323712875,0.24956630657119935,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.09843022334722662,0.23426143241677475,0.2910423451991567,0.2671313693268439,0.3311668078252884,0.11565313513437821,0.0,0.0
0.75,0.8702159536033612,0.2669949532002554,0.2807357905459754,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.11294014769755388,0.23234326780644507,0.2935629722487733,0.2698207874356748,0.3313219701310461,0.1311021973676545,0.0,0.0
0.8999999999999999,0.8533607586144927,0.27052386944535023,0.3096739261748494,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.12513617427139023,0.23085445445321204,0.296011058258498,0.27274154884078905,0.33146837307362087,0.14570897401012387,0.0,0.0
1.05,0.838390711538365,0.27396459704745374,0.3365044032395594,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.13549172634455905,0.22968937345493617,0.29836199491812004,0.2757845200740461,0.331606201736352,0.15949117388613165,0.0,0.0
1.2,0.8250147196310247,0.2772893903267528,0.36134827206941755,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.14436543202316643,0.22876782861708375,0.3005999765084558,0.278866849645961,0.3317356640142138,0.1724676964716379,0.0,0.0
1.3499999999999999,0.812999401101723,0.2804793908591912,0.384323587892307,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.15203137490996274,0.22802957678989852,0.30271605324367246,0.28192699970232504,0.3318569969498022,0.1846595634033145,0.0,0.0
