Time,MPF,Wee1,Cdc25_active_total,Cdc25_active,Cdc25Ps216_active,Cdc25_inactive,Cdc25Ps216_inactive,Chk1P,protein_14_3_3,Cdc25Ps216_14_3_3_inactive,p53,p21,p21_MPF,preMPF,Chk1,Rad3_ATM,Wee1_phosphorylated,k1,k1_0,k2,k2_0,k2_1,k_ctak1,k_ctak1_0,k3,k_3,k4,k5,k6,k7,k_Plk1,k7_0,k8,k8_0,k8_1,k9,k9_0,k9_1,k10,k11,k12,k13,k14,k14_0,k15,k16,k17,k18,k_Plk1_0,k18_0,k20,k21,k22,k23,k_23,kex,kin,nucleus,R2_Cdc25_Phosphorylation,R2__Cdc25_Dephosphorylation,R7__Cdc25_inactivation,R7_Cdc25_Activation,R18_Cdc25Ps216_activation,R18__Cdc25Ps216_inactivation,R2__Cdc25_Phosphorylation,R3___Cdc25_protein_14_3_3_unbinding,R12_14_3_3_degradation,R13_14_3_3_synthesis,R6_14_3_3_synthesis_mediated_by_p53,R3___protein_14_3_3_Cdc25_binding,R20_p21_synthesis_mediated_by_p53,R21_p21_natural_synthesis,R22_p21_degradation,R23_p21_MPF_complex_formation,R23__p21_MPF_unbinding,R9_MPF_activation,R9__MPF_inactivation,R15_MPF_degradation,R14_preMPF_synthesis,R1_Chk1_Phosphorylation,R1__Chk1_Dephosphorylation,R4_Rad3_ATM_natural_synthesis,R5_Rad3_ATM_degradation,R10_p53_synthesis,R11_p53_degradation,R16_Wee1_synthesis,R8_Wee1_Phosphorylation,R8__Wee1_Dephosphorylation,R17_Wee1P_degradation,Rex_Nuclear_export_of_iCdc25Ps216_14_3_3,Rin_nuclear_import_of_iCdc25
0.0,1e-08,0.001,1e-06,1e-06,0.0,1e-06,2e-05,1e-06,2.0,0.03,0.0,0.0,0.0,1e-06,0.999999,0.0,0.0,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.2,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,9.999999999999999e-14,0.0,1e-08,1e-14,2.0000000000000003e-13,0.0,9.999999999999999e-14,0.0,0.2,1.0,0.0,0.004,0.0,0.01,0.0,0.0,0.0,1e-12,1.0000000000000001e-11,1e-18,0.0005,0.0,9.999999999999999e-06,0.2,0.0,0.0,0.0,0.0002,1.0000000000000002e-12,0.0,0.0,0.03,1e-05
10.0,3.2838284493118485e-08,0.0029999999616386135,9.048480404402863e-07,8.898595799047487e-07,1.498846053553768e-08,0.00010012323679095021,2.784361221495038e-10,0.01960687554127342,7.056956387419802,1.5400111988591983e-06,0.0,0.06321205572358932,1.7213532988228635e-10,0.005000976989580142,0.980393124458728,0.1999909200893635,2.8639956750176325e-11,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.2,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,1.7447366032402258e-09,1.498846053553768e-10,8.898595799047488e-09,3.2878753341130905e-12,9.143364592306095e-18,1.498846053553768e-10,1.963103842549609e-07,0.0,0.7056956387419802,1.0,0.0,1.9649115706913408e-07,0.0,0.01,0.006321205572358932,2.0757754692460847e-10,1.7213532988228635e-10,4.525124229308553e-09,9.851485221963333e-11,1.078352928450986e-17,0.0005,0.19606972300978687,0.19606875541273422,0.2,0.1999909200893635,0.0,0.0,0.0002,9.851485221963333e-12,2.863995675017633e-13,2.8639956750176328e-12,1.5400111988591983e-06,1e-05
20.0,9.397641190036206e-08,0.00499999971755581,8.188322772281136e-07,7.916676621172608e-07,2.7164615110852772e-08,0.0001972881915087046,4.310706059590914e-10,0.019607843093063224,8.917312806088756,3.682472247923637e-07,0.0,0.08646647112436216,7.370532718595317e-10,0.010000915286534419,0.9803921569069387,0.19999999958530496,1.8345721307615893e-10,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.2,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,1.5522895300647443e-09,2.7164615110852775e-10,7.916676621172608e-09,1.8540436348299536e-11,4.051046882375024e-17,2.7164615110852775e-10,3.868395903216888e-07,0.0,0.8917312806088756,1.0,0.0,3.8439914348474456e-07,0.0,0.01,0.008646647112436217,8.125808705953822e-10,7.370532718595317e-10,8.18907223843843e-09,4.698820329587187e-10,8.831565993666512e-17,0.0005,0.19607843097482397,0.19607843093063224,0.2,0.19999999958530496,0.0,0.0,0.0002,4.6988203295871875e-11,1.834572130761589e-12,1.8345721307615893e-11,3.682472247923637e-07,1e-05
30.0,1.8187156959224051e-07,0.00699999892270169,7.412370730522213e-07,7.05733419020585e-07,3.550365403163628e-08,0.0002925571531489897,5.992015520109369e-10,0.01960784313724775,9.601701097900701,5.554386549882966e-07,0.0,0.09502132481366027,1.62817333420729e-09,0.015000826500254746,0.9803921568627543,0.19999999999993254,6.096880761742232e-10,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.2,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,1.3837910176869168e-09,3.5503654031636276e-10,7.05733419020585e-09,5.320782863864424e-11,1.0897772676633563e-16,3.5503654031636276e-10,5.736414767625156e-07,0.0,0.9601701097900701,1.0,0.0,5.753354199807217e-07,0.0,0.01,0.009502132481366027,1.7281677488594504e-09,1.62817333420729e-09,1.1119168728413023e-08,1.273100791215749e-09,3.3077267825945184e-16,0.0005,0.1960784313724847,0.19607843137247752,0.2,0.19999999999993254,0.0,0.0,0.0002,1.273100791215749e-10,6.096880761742232e-12,6.096880761742232e-11,5.554386549882966e-07,1e-05
40.0,2.852344420134636e-07,0.008999997141381423,6.71462812065968e-07,6.305580182806941e-07,4.090479378527395e-08,0.0003859678793024717,7.68449990120042e-10,0.019607843137254943,9.853490896860219,7.390153131030094e-07,0.0,0.09816871180902936,2.6897906242805963e-09,0.020000722075759578,0.980392156862747,0.2,1.4135595999744921e-09,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.2,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,1.2363882711386187e-09,4.090479378527395e-10,6.3055801828069415e-09,1.1009133268796036e-10,2.1918840414714178e-16,4.090479378527395e-10,7.567997633381814e-07,0.0,0.985349089686022,1.0,0.0,7.571914982340159e-07,0.0,0.01,0.009816871180902936,2.8001097736029003e-09,2.6897906242805963e-09,1.342974108833941e-08,2.5671091627446976e-09,8.135868691073192e-16,0.0005,0.19607843137254943,0.19607843137254943,0.2,0.2,0.0,0.0,0.0002,2.5671091627446977e-10,1.4135595999744921e-11,1.4135595999744922e-10,7.390153131030094e-07,1e-05
50.0,3.9366339894960836e-07,0.010999993928112921,6.089738674525663e-07,5.648941221936576e-07,4.407974525890864e-08,0.0004775572231492043,9.418901783199998e-10,0.019607843137254947,9.946058552962187,9.189901331996275e-07,0.0,0.09932582713514389,3.799892896452367e-09,0.02500061253668867,0.980392156862747,0.2,2.636643340393571e-09,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.2,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,1.1076355337130569e-09,4.407974525890864e-10,5.648941221936576e-09,1.8799679965785234e-10,3.707876890347038e-16,4.407974525890864e-10,9.363867120572656e-07,0.0,0.9946058552962187,1.0,0.0,9.368094864030714e-07,0.0,0.01,0.009932582713514389,3.9100942713501985e-09,3.799892896452367e-09,1.5224719705150414e-08,4.330294998165986e-09,1.549708716725585e-15,0.0005,0.19607843137254943,0.19607843137254946,0.2,0.2,0.0,0.0,0.0002,4.330294998165987e-10,2.636643340393571e-11,2.6366433403935713e-10,9.189901331996275e-07,1e-05
60.0,4.98258377089344e-07,0.012999988893077971,5.532583834075088e-07,5.076671605244655e-07,4.559122288304338e-08,0.0005673612559485842,1.115126127121746e-09,0.019607843137254943,9.98014289035489,1.0954404290698073e-06,0.0,0.09975190263201308,4.867937162292384e-09,0.03000050687364603,0.980392156862747,0.2,4.255964338140364e-09,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.2,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,9.954258049499345e-10,4.559122288304338e-10,5.076671605244654e-09,2.8269249861231354e-10,5.556209343496067e-16,4.559122288304338e-10,1.1124730508795793e-06,0.0,0.9980142890354889,1.0,0.0,1.1129118089443075e-06,0.0,0.01,0.00997519026320131,4.970222111700111e-09,4.867937162292384e-09,1.659803193431926e-08,6.477353368044528e-09,2.4826141033970697e-15,0.0005,0.19607843137254943,0.19607843137254943,0.2,0.2,0.0,0.0,0.0002,6.477353368044528e-10,4.2559643381403636e-11,4.255964338140364e-10,1.0954404290698073e-06,1e-05
70.0,5.920683078349761e-07,0.014999981749652985,5.03802979812164e-07,4.579211788910899e-07,4.5881800921074125e-08,0.0006554152927529709,1.2865109981488846e-09,0.019607843137254943,9.992693572011456,1.268440004901593e-06,0.0,0.09990880780847812,5.826605602782071e-09,0.03500041210501691,0.980392156862747,0.2,6.195955772434833e-09,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.2,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,8.978846644923351e-10,4.588180092107413e-10,4.579211788910899e-09,3.880506233094169e-10,7.617023896850962e-16,4.588180092107413e-10,1.2851280250058281e-06,0.0,0.9992693572011456,1.0,0.0,1.28557101815244e-06,0.0,0.01,0.009990880780847812,5.915283877697549e-09,5.826605602782071e-09,1.763331191316126e-08,8.881013812072567e-09,3.5054488114257206e-15,0.0005,0.19607843137254943,0.19607843137254943,0.2,0.2,0.0,0.0,0.0002,8.881013812072568e-10,6.195955772434833e-11,6.195955772434833e-10,1.268440004901593e-06,1e-05
80.0,6.702922187414208e-07,0.016999972340526564,4.6008030458200827e-07,4.147826970210959e-07,4.5297607560912394e-08,0.0007417539379089884,1.4552516560570268e-09,0.01960784313725494,9.997324200529873,1.4380603315155786e-06,0.0,0.09996671221873599,6.629253905430392e-09,0.040000333078417605,0.980392156862747,0.2,8.346371867634456e-09,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.2,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,8.13299405923719e-10,4.52976075609124e-10,4.147826970210959e-09,4.971918928012018e-10,9.754438613655914e-16,4.52976075609124e-10,1.4544194860960586e-06,0.0,0.9997324200529873,1.0,0.0,1.4548622598960086e-06,0.0,0.01,0.0099966712218736,6.7006909333381645e-09,6.629253905430392e-09,1.8403365426100152e-08,1.1394949178674333e-08,4.492916585052967e-15,0.0005,0.19607843137254943,0.1960784313725494,0.2,0.2,0.0,0.0,0.0002,1.1394949178674336e-09,8.346371867634457e-11,8.346371867634457e-10,1.4380603315155786e-06,1e-05
90.0,7.30248728336549e-07,0.01899996064326678,4.2154827368287753e-07,3.774410826297168e-07,4.410719105316073e-08,0.000826411108609326,1.6209956318696015e-09,0.019607843137254943,9.999052791105695,1.6043707718904809e-06,0.0,0.09998834086939146,7.2491982036602994e-09,0.04500027250191447,0.980392156862747,0.2,1.0581526740386292e-08,1.0,10.0,0.1,0.01,0.1,0.0,0.0,100.0,0.0,0.2,1.0,0.01,1.0,0.0,0.01,0.1,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.1,1.0,0.0005,1.0,0.01,0.0002,0.1,1.0,0.0,0.01,0.1,0.01,0.1,0.1,1.0,1.0,1e-05,1.0,7.400805541759169e-10,4.410719105316073e-10,3.7744108262971675e-09,6.03485661145158e-10,1.1837299988118773e-15,4.410719105316073e-10,1.6204139384496624e-06,0.0,0.9999052791105696,1.0,0.0,1.620842089721588e-06,0.0,0.01,0.009998834086939147,7.301635876835451e-09,7.2491982036602994e-09,1.896978718844111e-08,1.3874697098190046e-08,5.332632052371469e-15,0.0005,0.19607843137254943,0.19607843137254943,0.2,0.2,0.0,0.0,0.0002,1.3874697098190045e-09,1.0581526740386292e-10,1.0581526740386293e-09,1.6043707718904809e-06,1e-05
