Time,M,N,Z,q,r,alpha,k1,beta,d1,s,k2,d2,compartment,Increase_in_the_density_of_tumor_cel,Removal_of_tumor_cell_from_the_system,Activation_and_transfer_of_predator_cells_like_CTL_NK_and_macrophage,Removal_of_hunting_predator_cell,Converstion_of_hunting_to_resting_predator_cell,Removal_of_resting_predator_cells
0.0,2.5,1.5,0.5,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,5.21875,1.125,0.07500000000000001,0.03,0.11428571428571428,0.09000000000000001
0.25,3.0459338987740616,1.5114012585178456,0.5056198403923219,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,2.3039130287330805,1.3810884983907854,0.07641944631005476,0.03022802517035691,0.11232281745859228,0.09158804152182441
0.5,3.158968275100165,1.5230868309829164,0.5103976939800253,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,1.6166058141146724,1.443414893789364,0.07773800062650252,0.030461736619658328,0.11059723401816013,0.09304993144590328
0.75,3.1791284501605035,1.5350313666664928,0.514422278994773,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,1.491000689697037,1.464018566897462,0.07896543339690382,0.030700627333329854,0.10910321619447429,0.09439810176674701
1.0,3.181504867228699,1.5472120280358497,0.5177771085246518,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,1.476134507780941,1.4767387793492524,0.08011109701509647,0.030944240560716995,0.10782953354869397,0.09564441027083602
1.25,3.1805193215068663,1.5596083557815419,0.5205395393143134,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,1.4823013405678704,1.4881093528640246,0.08118378150292778,0.031192167115630838,0.1067614463205277,0.09679996768235719
1.5,3.1788948439997418,1.5722021050697543,0.5227802960344121,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,1.4924613767406072,1.4993595496595344,0.08219162819142921,0.031444042101395085,0.10588225063115532,0.09787503707246158
1.75,3.1771206616712035,1.5849770666448935,0.524563352911674,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,1.5035509343337594,1.5106990160137521,0.08314208843673553,0.03169954133289787,0.10517444093741068,0.09887898902408575
2.0,3.175307477836557,1.5979188830733861,0.5259460667199476,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,1.5148769538975486,1.5221651335197486,0.08404191514899793,0.031958377661467724,0.10462055040660544,0.09982029715059636
2.25,3.1734703655227703,1.6110148667848705,0.5269794851659901,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,1.5263448980128658,1.53375238144752,0.08489717850930473,0.03222029733569741,0.10420372780614977,0.10070656306428444
2.5,3.1716075513237025,1.6242538252710008,0.5277087666370361,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,1.5379655291261098,1.5454487092487745,0.0857132982839248,0.03248507650542002,0.10390810772610674,0.10154456128303588
2.75,3.1697298256860544,1.6376258967360757,0.5281736534776088,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,1.5496712792932374,1.557249494460063,0.08649508529086385,0.03275251793472152,0.10371902766450397,0.10234029489519211
3.0,3.16783293168768,1.6511223972092777,0.5284089734848274,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,1.5614884700483298,1.5691439712379969,0.08724678910071619,0.03302244794418555,0.10362312934867443,0.103099058305261
3.25,3.165914357119757,1.6647356798630408,0.5284451389032342,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,1.5734324902136496,1.5811231769063763,0.08797214775823946,0.033294713597260814,0.10360837988777766,0.10382550192533649
3.5,3.1639839783534183,1.6784590104526063,0.5283086275169193,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,1.5854416383313126,1.5931852252184935,0.0886744376155623,0.03356918020905213,0.10366403811775142,0.10452369644106989
3.75,3.1620415179082477,1.6922864529356068,0.5280224353409578,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,1.597517485019992,1.605324007312821,0.08935652141735703,0.03384572905871214,0.10378058573174224,0.10519719447758577
4.0,3.1600861559065323,1.706212757610236,0.5276065367489902,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,1.60966496346974,1.6175337943065644,0.09002090039996807,0.03412425515220472,0.10394962069031952,0.10584909650243778
4.25,3.158116924489039,1.7202332869916137,0.527078195442026,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,1.6218899097030164,1.6298093573152874,0.09066974566468447,0.03440466573983227,0.10416378594170929,0.10648209152794524
4.5,3.1561345525179623,1.7343439456368572,0.5264522662345351,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,1.6341876194686886,1.642146855832446,0.0913049300610669,0.03468687891273715,0.10441668313222482,0.10709849804810295
4.75,3.1541408050661937,1.7485410903670284,0.5257415796015307,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,1.6465469791030056,1.6545434407384736,0.09192807548477443,0.03497082180734057,0.10470273965618153,0.10770032287282034
5.0,3.1521367042967734,1.7628214719976767,0.5249572102988284,10.0,0.9,0.3,0.8,0.1,0.02,0.8,0.7,0.03,1.0,1.6589615059703053,1.6669962795019029,0.09254058421947746,0.03525642943995354,0.10501711378794461,0.10828930052844231
