Time,YT,M,EmptySet,C2,CP,pM,Y,YP,CT,cell,Reaction1,Reaction2,Reaction3,Reaction4,Reaction5,Reaction6,Reaction7,Reaction8,Reaction9
87.2,0.16386670296085568,0.02815170413471587,0.0,0.0009524190905025795,0.9523909519107865,0.01850492370554241,7.875493251416396e-05,0.11713132018808324,0.9999999988415473,1.0,0.02815170413471587,952.4190905025795,952.3909519107865,0.015001097028966872,0.0,0.015,0.0,0.07027879211284994,0.0029728774399023004
87.30000000000001,0.15846512526681159,0.025742579915208324,0.0,0.0009536083091243679,0.9535825772524172,0.01972123336473689,7.865545964956836e-05,0.11292265652721682,0.9999999988414868,1.0,0.025742579915208324,953.6083091243679,953.5825772524172,0.015000895185521784,0.0,0.015,0.0,0.0677535939163301,0.0027073797460994914
87.4,0.1533155208544076,0.023538722901279674,0.0,0.0009545674831510605,0.9545439529366142,0.020962755520319197,7.857527915397505e-05,0.10873546715365474,0.9999999988413641,1.0,0.023538722901279674,954.5674831510605,954.5439529366142,0.015000711513346657,0.0,0.015,0.0,0.06524128029219284,0.00246800528413407
87.5,0.14841605608834282,0.021523017934301728,0.0,0.0009553162353193056,0.955294718798102,0.022226945873403178,7.851265055928899e-05,0.10458757963007863,0.9999999988411262,1.0,0.021523017934301728,955.3162353193056,955.294718798102,0.015000544087625923,0.0,0.015,0.0,0.06275254777804717,0.0022534401074250413
87.60000000000001,0.14376390170837755,0.01967985443143077,0.0,0.0009558725510565216,0.9558528758592966,0.023511395999085076,7.846600862848363e-05,0.10049418526923322,0.9999999988408689,1.0,0.01967985443143077,955.8725510565216,955.8528758592965,0.015000392000947292,0.0,0.015,0.0,0.06029651116153993,0.0020622645016046145
87.7,0.13935538947299653,0.01799496900206553,0.0,0.0009562529269392375,0.9562349349458922,0.024813841965752294,7.843392637311872e-05,0.09646814457880559,0.9999999988406493,1.0,0.01799496900206553,956.2529269392375,956.2349349458922,0.015000252096590014,0.0,0.015,0.0,0.05788088674728335,0.0018929835824787937
87.80000000000001,0.13518614436583767,0.016455309754729593,0.0,0.0009564724987721523,0.9564560449014481,0.02613217168552006,7.841513572873061e-05,0.09252024778985928,0.99999999884047,1.0,0.016455309754729593,956.4724987721522,956.4560449014481,0.015000126115902382,0.0,0.015,0.0,0.055512148673915566,0.0017440585134552548
87.9,0.13125120041699273,0.015048919007271285,0.0,0.0009565451553651654,0.9565301064816119,0.02746442819606677,7.840845605756748e-05,0.0886594447575971,0.999999998840315,1.0,0.015048919007271285,956.5451553651654,956.5301064816118,0.015000009764360762,0.0,0.015,0.0,0.05319566685455826,0.0016139359582750489
88.0,0.1275451062451581,0.013764827353790029,0.0,0.0009564836437930767,0.9564698777196418,0.028808810122931856,7.841283924513971e-05,0.08489305592919107,0.9999999988401568,1.0,0.013764827353790029,956.4836437930767,956.4698777196418,0.014999903752889742,0.0,0.015,0.0,0.05093583355751464,0.001501073978219963
88.10000000000001,0.12406201461774362,0.01259296454431434,0.0,0.0009562996611887422,0.9562870658085945,0.030163668825899437,7.842733391514868e-05,0.08122695391361469,0.999999998839997,1.0,0.01259296454431434,956.2996611887422,956.2870658085944,0.014999809005781678,0.0,0.015,0.0,0.048736172348168814,0.00140396483296855
88.2,0.12079576362440152,0.011524079894913216,0.0,0.0009560039397157167,0.9559924121534719,0.031527502851756053,7.845102952490888e-05,0.07766572984820734,0.9999999988398569,1.0,0.011524079894913216,956.0039397157167,955.9924121534718,0.014999717790288178,0.0,0.015,0.0,0.0465994379089244,0.001321153549913232
88.30000000000001,0.11773995088012397,0.01054966750981058,0.0,0.0009556063264248928,0.9555957723025789,0.03289895270093346,7.848319055305806e-05,0.07421284747882687,0.9999999988397478,1.0,0.01054966750981058,955.6063264248928,955.5957723025789,0.014999641017863996,0.0,0.015,0.0,0.04452770848729612,0.00125125202901695
88.4,0.11488799683826696,0.009661902132500007,0.0,0.0009551158539365384,0.955106186693623,0.034276794159601734,7.852301628423879e-05,0.07087077752988098,0.9999999988396612,1.0,0.009661902132500007,955.1158539365384,955.106186693623,0.014999563730184115,0.0,0.015,0.0,0.04252246651792859,0.0011929497849437953
88.5,0.11223320041421429,0.008853582250470195,0.0,0.0009545408055439404,0.9545319458142207,0.03565992996935305,7.856990378600125e-05,0.06764111829060504,0.9999999988395879,1.0,0.008853582250470195,954.5408055439405,954.5319458142208,0.014999496628657575,0.0,0.015,0.0,0.040584670974363024,0.0011450212872533723
88.60000000000001,0.10976878947865584,0.008118077760666644,0.0,0.0009538887758654688,0.9538806509062288,0.03704738139675514,7.862325788656326e-05,0.06452470706334751,0.999999998839516,1.0,0.008118077760666644,953.8887758654688,953.8806509062288,0.014999440881840648,0.0,0.015,0.0,0.038714824238008504,0.0011063301537447172
88.7,0.10748796064837965,0.007449287376291977,0.0,0.0009531667231739164,0.9531592663376268,0.038438278402353546,7.868240949116792e-05,0.061521712460242954,0.9999999988394463,1.0,0.007449287376291977,953.1667231739165,953.1592663376268,0.01499937354085567,0.0,0.015,0.0,0.03691302747614577,0.0010758312486915686
88.80000000000001,0.10538391826272292,0.006841595433820648,0.0,0.0009523810217353628,0.9523741719845717,0.039831850399262354,7.874708145736646e-05,0.058631725348182555,0.9999999988393902,1.0,0.006841595433820648,952.3810217353629,952.3741719845717,0.0149993372998322,0.0,0.015,0.0,0.03517903520890953,0.0010525700730804803
88.9,0.10344990664974706,0.006289834057089121,0.0,0.0009515375075667776,0.9515312090267276,0.04122741824798557,7.881656227854053e-05,0.05585383778239383,0.9999999988393692,1.0,0.006289834057089121,951.5375075667775,951.5312090267277,0.014999283759246007,0.0,0.015,0.0,0.03351230266943629,0.0010356806633833456
89.0,0.10167923756896095,0.005789249036267115,0.0,0.0009506415220150019,0.9506357235604198,0.04262438472065975,7.889058296629645e-05,0.05318671322906779,0.9999999988393616,1.0,0.005789249036267115,950.6415220150019,950.6357235604198,0.014999241284053713,0.0,0.015,0.0,0.03191202793744067,0.0010243821540173862
89.10000000000001,0.1000653151087012,0.005335467490469092,0.0,0.0009496979517972547,0.9496926066713822,0.04402222672569457,7.896874119416536e-05,0.050628652151343365,0.9999999988393431,1.0,0.005335467490469092,949.6979517972547,949.6926066713822,0.014999205934048934,0.0,0.015,0.0,0.030377191290806016,0.001017974303183206
89.2,0.09860165429196935,0.004924470080501123,0.0,0.0009487112644942805,0.9487063299556655,0.04542048753865199,7.905054566534602e-05,0.04817764612715089,0.9999999988393129,1.0,0.004924470080501123,948.7112644942805,948.7063299556655,0.014999150611832634,0.0,0.015,0.0,0.028906587676290535,0.0010158325201065444
89.30000000000001,0.09728189849548315,0.004552563830360407,0.0,0.0009476855434384814,0.9476809804349994,0.04681876903048015,7.913604321250288e-05,0.045831429591430085,0.9999999988392784,1.0,0.004552563830360407,947.6855434384813,947.6809804349994,0.014999144603874241,0.0,0.015,0.0,0.02749885775485805,0.0010174023181576727
89.4,0.09609983363062705,0.004216357719364911,0.0,0.0009466245178551824,0.9466202907222999,0.04821672587973926,7.922449072441462e-05,0.04358752554079846,0.9999999988392593,1.0,0.004216357719364911,946.6245178551824,946.6202907223,0.014999102088374305,0.0,0.015,0.0,0.026152515324479073,0.0010221936745869712
89.5,0.09504939946222997,0.003912739866435638,0.0,0.0009455315932261939,0.9455276694081909,0.04961405797140268,7.931585670612428e-05,0.04144328576768553,0.9999999988392554,1.0,0.003912739866435638,945.5315932261939,945.5276694081908,0.014999067427691143,0.0,0.015,0.0,0.024865971460611317,0.0010297752965458503
89.60000000000001,0.09412469914214183,0.003638856112726215,0.0,0.0009444098775102631,0.9444062273027208,0.05101050554629993,7.940990708182969e-05,0.039395927576033864,0.9999999988392572,1.0,0.003638856112726215,944.4098775102632,944.4062273027208,0.014999042151522078,0.0,0.015,0.0,0.023637556545620317,0.0010397690329101246
89.7,0.09332000601971131,0.0033920902394606505,0.0,0.0009432622057930302,0.9432588021051126,0.052405844288884944,7.950637156177997e-05,0.037442565119803935,0.9999999988392512,1.0,0.0033920902394606505,943.2622057930303,943.2588021051126,0.014999016959817712,0.0,0.015,0.0,0.02246553907188236,0.0010518444987812937
