Time,Cdc14x2,cdc20,cdh1,clb2,men,net1p,pp2a,securin_total,separase,separase_total,securin_separase,net1,cdc14,net1cdc14,polo_total,cdk,polo,tem1,cdc15,pp2a_total,cdh1_total,net1_total,tem1_total,cdc15_total,securin,Inh,cdc14_total,ks_clb2,kd_clb2,kd_clb2_p,kd_clb2_pp,ks_cdc20,kd_cdc20,kd_cdc20_p,kd_cdh,kd_cdh_p,kp_cdh_p,J_cdh,ks_securin,kd_securin,kd_securin_p,ks_separase,kd_separase,la_securin,ld_securin,kd_p,kd,kp,kp_p,Jnet,l_a_net,l_d_net,ks_polo,kd_polo,kd_polo_p,ka_polo,ka_polo_p,ki_polo,J_polo,ka_tem,ka_tem_p,ki_tem,kitem_p,J_tem1,ka_cdc15,ka_cdc15_p,ki_cdc15,ki_cdc15_p,J_cdc15,la_men,ld_men,kpp,ki,nucleus,R1_Clb2_synthesis,R2_Clb2_degradation,R3_Cdc20_synthesis,R4_Cdc20_degradation,R5_Cdh1_activation,R6_Cdh1_inactivation,R7_Securin_synthesis,R8_Securin_degradation,R9_Separase_synthesis,R10_Separase_degradation,R11_Securin_separase_association,R12_Securin_separase_dissociation,R13_Net1_dephosphorylation,R14_Net1_phosphorylation,R15_Net1_Cdc14_association,R16_Net1_Cdc14_dissociation,R17_Polo_synthesis,R18_Polo_degradation,R19_Polo_activation,R20_Polo_inactivation,R21_Polo_inactivation,R22_Tem1_activation,R23_Tem1_inactivation,R24_Cdc15_activation,R25_Cdc15_inactivation,R26_MEN_activation,R27_MEN,R28_MEN_inactivation,R29_MEN_inactivation
0.0,0.030000000000000027,0.0,0.0,0.997,8e-06,0.41700000000000004,0.9653846153846154,0.6,0.0020000000000000018,0.25,0.248,0.098,0.015000000000000013,0.485,0.99,0.997,0.945,1.0,0.0257,1.0,1.0,1.0,1.0,1.0,0.352,0.0,0.5,0.03,0.03,0.2,2.0,0.015,0.05,2.0,0.01,1.0,1.0,0.0015,0.03,0.05,2.0,0.001,0.004,500.0,1.0,0.1,0.45,0.4,2.0,0.2,500.0,1.0,0.01,0.01,0.25,0.0,0.5,0.1,0.25,0.0,0.5,0.1,1.0,0.005,0.02,0.5,0.0,0.2,0.2,10.0,0.01,0.1,20.0,1.0,0.03,0.02991,0.015,0.0,0.024962556165751385,0.0,0.03,0.03,0.001,0.001,0.3520000000000003,0.261392,0.29461900012467274,0.049915667943805885,0.25000000000000067,0.2470316219667944,0.01,0.0099,0.07604237288135599,0.0790794979079498,0.00945,0.0,1.0600841944125527,0.022816358681767866,0.022705272485600357,0.25691794464,8e-08,8.480673555300422e-06,7.067789100575986e-06
0.05,0.030252587396176867,0.0007490618382294809,3.870952133107825e-05,0.9969970399507779,0.009483950417946896,0.41738836256339157,0.9739157234535553,0.599977537914251,0.001492379404925026,0.25,0.24850762059507497,0.09773793113469682,0.015126293698088433,0.48487370630191157,0.9900045364276115,0.9969970399507779,0.9443975820522411,0.9638201811073219,0.025706196325844928,1.0,1.0,1.0,1.0,1.0,0.35146991731917604,0.0,0.5,0.03,0.03,0.2,2.0,0.015,0.05,2.0,0.01,1.0,1.0,0.0015,0.03,0.05,2.0,0.001,0.004,500.0,1.0,0.1,0.45,0.4,2.0,0.2,500.0,1.0,0.01,0.01,0.25,0.0,0.5,0.1,0.25,0.0,0.5,0.1,1.0,0.005,0.02,0.5,0.0,0.2,0.2,10.0,0.01,0.1,20.0,1.0,0.03,0.030136460241984304,0.015,3.7511083561884524e-05,0.025088659252398452,0.02508158794754903,0.03,0.030897717450605447,0.001,0.001,0.26226323302892,0.26229932725740296,0.29731179775216754,0.052173584758197514,0.25433261959157133,0.2588309279628648,0.01,0.009909626014706293,0.07690955479970772,0.07906894624062749,0.00945311511510928,0.4148650285517462,1.0683733341412986,0.022868725953216602,0.02271005587127185,0.15481477013059544,9.483950417946896e-05,0.010512749086880178,0.008378565274373268
0.1,0.03071101466749615,0.0014962504391455235,3.9072188314447316e-05,0.9969864796587801,0.014537473381209604,0.418272695489773,0.9738766340740189,0.5999103063808707,0.001494682710773132,0.25,0.24850531728922687,0.09708281184397509,0.015355507333748075,0.4846444926662519,0.9900090517543889,0.9969864796587801,0.9438376681319872,0.9318922137826502,0.02571632863268191,1.0,1.0,1.0,1.0,1.0,0.35140498909164386,0.0,0.5,0.03,0.03,0.2,2.0,0.015,0.05,2.0,0.01,1.0,1.0,0.0015,0.03,0.05,2.0,0.001,0.004,500.0,1.0,0.1,0.45,0.4,2.0,0.2,500.0,1.0,0.01,0.01,0.25,0.0,0.5,0.1,0.25,0.0,0.5,0.1,1.0,0.005,0.02,0.5,0.0,0.2,0.2,10.0,0.01,0.1,20.0,1.0,0.03,0.030285851568326094,0.015,7.492944551512392e-05,0.025317529555539862,0.025310342020310087,0.03,0.03179074743778414,0.001,0.001,0.26261948083735054,0.26266825680309314,0.29751917309316783,0.053137171584680495,0.26073342195927013,0.2652646444333004,0.01,0.009909760972569678,0.07771217572687794,0.07905912950533901,0.009447596132096753,0.43964328186537255,1.0681455765506658,0.022963772821914065,0.022717746747484117,0.1025497585719966,0.00014537473381209606,0.016663019238385646,0.012842371216352328
0.15000000000000002,0.03115486103533227,0.0022415704360846177,3.942441026196374e-05,0.9969684652721422,0.017251085816055008,0.41941769561457265,0.9738335949424368,0.5997985443194234,0.001497218990492516,0.25,0.24850278100950748,0.09615973490309351,0.015577430517666135,0.48442256948233386,0.9900135603839538,0.9969684652721422,0.9433171195844681,0.9007369261441655,0.025730686994318328,1.0,1.0,1.0,1.0,1.0,0.35129576330991585,0.0,0.5,0.03,0.03,0.2,2.0,0.015,0.05,2.0,0.01,1.0,1.0,0.0015,0.03,0.05,2.0,0.001,0.004,500.0,1.0,0.1,0.45,0.4,2.0,0.2,500.0,1.0,0.01,0.01,0.25,0.0,0.5,0.1,0.25,0.0,0.5,0.1,1.0,0.005,0.02,0.5,0.0,0.2,0.2,10.0,0.01,0.1,20.0,1.0,0.03,0.03043461875324306,0.015,0.00011225526698923747,0.025539120326819223,0.025532201211776795,0.03,0.03267890858507719,0.001,0.001,0.26298334405358503,0.26303600415841233,0.29778405645061046,0.05337683005952069,0.2645382250427333,0.2688957201713651,0.01,0.00990989327903191,0.07845540511387131,0.07904999468313553,0.00944246862612709,0.4490398827117755,1.0679056396833204,0.023055777941804054,0.022728574359736117,0.07491607572625204,0.00017251085816055007,0.020452732977750156,0.015238325616528405
0.2,0.03158494029148573,0.002985026451810533,3.9766039022473267e-05,0.99694302821347,0.018692828163567224,0.420689578485326,0.9737874224456962,0.5996424996457397,0.0014999401960339442,0.25,0.24850005980396606,0.09510289166041687,0.015792470145742865,0.48420752985425713,0.9900180624710984,0.99694302821347,0.9428330342976822,0.869934287999351,0.025748953270428233,1.0,1.0,1.0,1.0,1.0,0.3511424398417736,0.0,0.5,0.03,0.03,0.2,2.0,0.015,0.05,2.0,0.01,1.0,1.0,0.0015,0.03,0.05,2.0,0.001,0.004,500.0,1.0,0.1,0.45,0.4,2.0,0.2,500.0,1.0,0.01,0.01,0.25,0.0,0.5,0.1,0.25,0.0,0.5,0.1,1.0,0.005,0.02,0.5,0.0,0.2,0.2,10.0,0.01,0.1,20.0,1.0,0.03,0.0305827600591634,0.015,0.00014948872794725827,0.025753837852710532,0.025747077386047538,0.03,0.03356202242843163,0.001,0.001,0.26334633002605373,0.2634026215369629,0.2980755248698055,0.053226992479105985,0.2667472588062187,0.27100028295570816,0.01,0.00991002289893728,0.07914393460981109,0.07904149258012498,0.009437703526785213,0.4539651406978523,1.0676510334781255,0.02314491121404827,0.02274228879014741,0.06006466236748292,0.00018692828163567225,0.022941292903121493,0.01651009623325851
0.25,0.03200666149739129,0.0037266230990934597,4.0101429062690536e-05,0.9969101995734239,0.019427717869369542,0.42201520730881537,0.9737381416037852,0.5994424291250732,0.0015028449111772757,0.25,0.24849715508882272,0.09398812343988028,0.016003330748695643,0.48399666925130436,0.9900225581204756,0.9969101995734239,0.9423827378091301,0.8393372118222259,0.02577087569445992,1.0,1.0,1.0,1.0,1.0,0.3509452740362504,0.0,0.5,0.03,0.03,0.2,2.0,0.015,0.05,2.0,0.01,1.0,1.0,0.0015,0.03,0.05,2.0,0.001,0.004,500.0,1.0,0.1,0.45,0.4,2.0,0.2,500.0,1.0,0.01,0.01,0.25,0.0,0.5,0.1,0.25,0.0,0.5,0.1,1.0,0.005,0.02,0.5,0.0,0.2,0.2,10.0,0.01,0.1,20.0,1.0,0.03,0.030730282749993284,0.015,0.00018663004077837633,0.025964382612900388,0.02595772128748477,0.03,0.03443991346216205,0.001,0.001,0.2637081595935467,0.2637681119400452,0.29837679107458026,0.05286869028202543,0.2680648436775146,0.2722500361500111,0.01,0.009910150911050988,0.07978203777395435,0.07903357772024217,0.00943327510171884,0.45696996848967775,1.0673796741184634,0.023232295445645278,0.022758691751290718,0.05200815322432951,0.00019427717869369542,0.024706102477278485,0.017156942886309246
0.30000000000000004,0.03242241475309504,0.004466364979926166,4.043253023693888e-05,0.9968700102054496,0.019760831497827015,0.4233538451939202,0.9736857464803391,0.5991985982231194,0.0015059335479414848,0.25,0.24849406645205852,0.09285736218262727,0.01621120737654752,0.4837887926234525,0.9900270473985232,0.9968700102054496,0.9419637632379292,0.8088771165586753,0.025796250862717574,1.0,1.0,1.0,1.0,1.0,0.35070453177106087,0.0,0.5,0.03,0.03,0.2,2.0,0.015,0.05,2.0,0.01,1.0,1.0,0.0015,0.03,0.05,2.0,0.001,0.004,500.0,1.0,0.1,0.45,0.4,2.0,0.2,500.0,1.0,0.01,0.01,0.25,0.0,0.5,0.1,0.25,0.0,0.5,0.1,1.0,0.005,0.02,0.5,0.0,0.2,0.2,10.0,0.01,0.1,20.0,1.0,0.03,0.030877189320447397,0.015,0.00022367942187050843,0.026171947867385154,0.026165363324111193,0.03,0.03531240918140515,0.001,0.001,0.26406885990457546,0.26413247643271154,0.2986785615996702,0.05240039490012977,0.26887618476742353,0.27300714973862117,0.01,0.009910277798617565,0.0803736137891169,0.07902620803497554,0.009429159126964097,0.4589745657628355,1.0670896294214136,0.02331842706600124,0.02277762253582717,0.04762647708006742,0.00019760831497827016,0.02606895154827343,0.017448456492649044
0.35000000000000003,0.032832921831457806,0.005204256685541344,4.0759943783427014e-05,0.9968224909120275,0.01985909220901371,0.4246824086778389,0.9736302337333657,0.5989112809549262,0.001509206369492616,0.25,0.24849079363050738,0.09173405223789005,0.016416460915728903,0.4835835390842711,0.9900315303567729,0.9968224909120275,0.9415738333089483,0.7785164118828655,0.025824898133218997,1.0,1.0,1.0,1.0,1.0,0.3504204873244188,0.0,0.5,0.03,0.03,0.2,2.0,0.015,0.05,2.0,0.01,1.0,1.0,0.0015,0.03,0.05,2.0,0.001,0.004,500.0,1.0,0.1,0.45,0.4,2.0,0.2,500.0,1.0,0.01,0.01,0.25,0.0,0.5,0.1,0.25,0.0,0.5,0.1,1.0,0.005,0.02,0.5,0.0,0.2,0.2,10.0,0.01,0.1,20.0,1.0,0.03,0.03102347960726946,0.015,0.0002606370846969416,0.02637689396203904,0.026370382262054078,0.03,0.03617934012365792,0.001,0.001,0.2644284157353597,0.2644957162346489,0.29897562408106476,0.05187620793809131,0.2693907025181067,0.27346966166847225,0.01,0.00991040371094802,0.08092222575069463,0.0790193445834774,0.009425332957217888,0.4603935163960197,1.0667788760754364,0.023403456380639148,0.02279893802455606,0.04526002332151968,0.0001985909220901371,0.02721234869714938,0.017532158700554447
0.4,0.03323808635157399,0.005940302796612492,4.10836086009834e-05,0.9967676725399042,0.01981486611629739,0.42598751967745296,0.9735715964761603,0.5985807597317727,0.0015126638520784885,0.25,0.2484873361479215,0.09063152349833405,0.016619043175786996,0.483380956824213,0.9900360070438774,0.9967676725399042,0.9412108441759017,0.7482328282014535,0.025856646571940426,1.0,1.0,1.0,1.0,1.0,0.3500934235838512,0.0,0.5,0.03,0.03,0.2,2.0,0.015,0.05,2.0,0.01,1.0,1.0,0.0015,0.03,0.05,2.0,0.001,0.004,500.0,1.0,0.1,0.45,0.4,2.0,0.2,500.0,1.0,0.01,0.01,0.25,0.0,0.5,0.1,0.25,0.0,0.5,0.1,1.0,0.005,0.02,0.5,0.0,0.2,0.2,10.0,0.01,0.1,20.0,1.0,0.03,0.031169152160598956,0.015,0.0002975032379807593,0.0265791727785993,0.026572739270076536,0.03,0.037040539908654795,0.001,0.001,0.26478683335284714,0.26485783233559385,0.29926500438826253,0.05132621645323859,0.26972364422887063,0.2737470877866153,0.01,0.009910528633392342,0.08143113432317553,0.0790129512988984,0.0094217755262423,0.4614413724395564,1.066445170514087,0.023487363968853155,0.022822502515984756,0.04400941406865428,0.00019814866116297388,0.028241835265237995,0.017489693821466066
0.45,0.03363739021684409,0.006674507883509406,4.1403121830873674e-05,0.9967055860262368,0.019679467521320198,0.4272611975584828,0.9735098269828173,0.5982073252060958,0.001516306525633615,0.25,0.24848369347436638,0.08955749754993929,0.016818695108422044,0.48318130489157796,0.9900404775115557,0.9967055860262368,0.9408728508447504,0.7180123425123656,0.025891328569519496,1.0,1.0,1.0,1.0,1.0,0.3497236317317294,0.0,0.5,0.03,0.03,0.2,2.0,0.015,0.05,2.0,0.01,1.0,1.0,0.0015,0.03,0.05,2.0,0.001,0.004,500.0,1.0,0.1,0.45,0.4,2.0,0.2,500.0,1.0,0.01,0.01,0.25,0.0,0.5,0.1,0.25,0.0,0.5,0.1,1.0,0.005,0.02,0.5,0.0,0.2,0.2,10.0,0.01,0.1,20.0,1.0,0.03,0.03131420488469661,0.015,0.00033427808510159447,0.02677852565679615,0.026772180634187466,0.03,0.037895845276427115,0.001,0.001,0.26514411248155423,0.26521882566401855,0.2995449692136501,0.050767310812039494,0.2699388180912635,0.27390018876218797,0.01,0.009910652466742534,0.08190332740286253,0.07900699475828495,0.009418467276765225,0.46224031640603824,1.0660859576803066,0.0235700429403377,0.022848182777355976,0.04337946784833904,0.00019679467521320197,0.029219558964258076,0.01736643485408092
