Time,H,T,b1,u1,b2,u2,bone_marrow,HSC_growth,HSC_death,Tumor_growth,Tumor_death,Tumor_inhibition
0.0,0.5,0.0001,0.2,0.1,0.8,0.1,1.0,1.9998e-05,1e-05,0.19996000000000003,0.05,1e-05
1.0,0.6375030695893095,0.00011051481842057586,0.2,0.1,0.8,0.1,1.0,2.2100520979097064e-05,1.1051481842057586e-05,0.18481796185403143,0.06375030695893096,1.4090707195644454e-05
2.0,0.7383309609308626,0.000122134924608762,0.2,0.1,0.8,0.1,1.0,2.4424001533790566e-05,1.2213492460876202e-05,0.15448654165241762,0.07383309609308626,1.8035199249921144e-05
3.0,0.801265260799341,0.00013497649924383714,0.2,0.1,0.8,0.1,1.0,2.6991656117697804e-05,1.3497649924383715e-05,0.12730487252450928,0.0801265260799341,2.1630395973679045e-05
4.0,0.8366763551879886,0.00014916786654789978,0.2,0.1,0.8,0.1,1.0,2.9829123099097862e-05,1.4916786654789978e-05,0.1092193813043495,0.08366763551879886,2.4961045378893013e-05
5.0,0.8554436871910106,0.00016485081693927355,0.2,0.1,0.8,0.1,1.0,3.29647282294856e-05,1.6485081693927355e-05,0.09881501171630401,0.08554436871910107,2.8204118135796494e-05
6.0,0.8650716959761071,0.00018218201770639622,0.2,0.1,0.8,0.1,1.0,3.642976548376413e-05,1.8218201770639622e-05,0.09325204503207618,0.08650716959761072,3.152010140672427e-05
7.0,0.8699222134879276,0.0002013345546281243,0.2,0.1,0.8,0.1,1.0,4.0258803805047404e-05,2.0133455462812433e-05,0.0903859284534227,0.08699222134879277,3.50290802827408e-05
8.0,0.8723384707778841,0.00022249967454855585,0.2,0.1,0.8,0.1,1.0,4.449003368867633e-05,2.2249967454855587e-05,0.08893597452235401,0.08723384707778842,3.881900516885282e-05
9.0,0.8735290776636486,0.00024588866606376164,0.2,0.1,0.8,0.1,1.0,4.916564096553261e-05,2.4588866606376167e-05,0.08820898979205545,0.08735290776636487,4.295817993492453e-05
10.0,0.8741067484470374,0.0002717349577015941,0.2,0.1,0.8,0.1,1.0,5.433222356287141e-05,2.7173495770159415e-05,0.08784529232485531,0.08741067484470375,4.750507206318674e-05
11.0,0.8743752077567534,0.0003002964088770859,0.2,0.1,0.8,0.1,1.0,6.004124618878029e-05,3.002964088770859e-05,0.0876645056657498,0.08743752077567535,5.251434698010179e-05
12.0,0.8744879212683754,0.0003318579030882058,0.2,0.1,0.8,0.1,1.0,6.634955468407273e-05,3.318579030882058e-05,0.08757487287701039,0.08744879212683754,5.804114556561741e-05
13.0,0.8745239482574406,0.00036673411069527013,0.2,0.1,0.8,0.1,1.0,7.331992335746454e-05,3.6673411069527016e-05,0.0875288755353696,0.08745239482574407,6.414355248918179e-05
14.0,0.8745198322693291,0.00040527261231811795,0.2,0.1,0.8,0.1,1.0,8.102167328556456e-05,4.05272612318118e-05,0.08750438104000466,0.08745198322693291,7.088378738955867e-05
15.0,0.8744915373993996,0.00044785733116700557,0.2,0.1,0.8,0.1,1.0,8.95313509955851e-05,4.478573311670056e-05,0.08749155277613302,0.08744915373993996,7.832948921356534e-05
16.0,0.8744494261319556,0.0004949122798173924,0.2,0.1,0.8,0.1,1.0,9.893346833053567e-05,4.949122798173924e-05,0.08748388120830174,0.08744494261319558,8.655515181439532e-05
17.0,0.874397858843125,0.0005469057491788289,0.2,0.1,0.8,0.1,1.0,0.00010932132865606881,5.469057491788289e-05,0.08747842406208997,0.0874397858843125,9.564264321419265e-05
18.0,0.874338139592553,0.0006043548860637991,0.2,0.1,0.8,0.1,1.0,0.00012079792824709799,6.043548860637992e-05,0.08747403737572128,0.08743381395925531,0.00010568210534693831
19.0,0.8742699715352882,0.0006678306724810881,0.2,0.1,0.8,0.1,1.0,0.00013347693493479632,6.678306724810882e-05,0.0874704992831633,0.08742699715352882,0.00011677286060408666
20.0,0.8741931731723611,0.0007379634956369371,0.2,0.1,0.8,0.1,1.0,0.0001474837811032089,7.379634956369372e-05,0.08746747720101053,0.08741931731723612,0.0001290245299872444
21.0,0.874108025463026,0.0008154493192804505,0.2,0.1,0.8,0.1,1.0,0.00016295687233762712,8.154493192804506e-05,0.08746431559185158,0.08741080254630261,0.00014255815886828066
22.0,0.87401432990579,0.0009010564219953073,0.2,0.1,0.8,0.1,1.0,0.00018004890386393767,9.010564219953074e-05,0.08746059584019628,0.08740143299057901,0.00015750724497550747
23.0,0.8739110230772756,0.0009956327687812854,0.2,0.1,0.8,0.1,1.0,0.00019892829683420288,9.956327687812855e-05,0.08745636189578407,0.08739110230772756,0.00017401889031498275
24.0,0.8737967520015463,0.001100114127961386,0.2,0.1,0.8,0.1,1.0,0.00021978077537336918,0.00011001141279613861,0.08745176963300066,0.08737967520015463,0.0001922552303687345
25.0,0.8736703769929784,0.0012155330144853593,0.2,0.1,0.8,0.1,1.0,0.00024281109879521108,0.00012155330144853594,0.08744677933673,0.08736703769929785,0.0002123950374025671
26.0,0.873530835215331,0.0013430285128185177,0.2,0.1,0.8,0.1,1.0,0.00026824495744645486,0.00013430285128185178,0.08744123065985347,0.0873530835215331,0.00023463536370407274
27.0,0.8733768080955929,0.0014838570420617535,0.2,0.1,0.8,0.1,1.0,0.0002963310420680955,0.00014838570420617537,0.08743503427942456,0.0873376808095593,0.00025919326541321247
28.0,0.873206683937441,0.0016394041491814165,0.2,0.1,0.8,0.1,1.0,0.0003273433006434127,0.00016394041491814165,0.08742818592294321,0.08732066839374411,0.0002863077321479973
29.0,0.8730187237727886,0.0018111974268362123,0.2,0.1,0.8,0.1,1.0,0.0003615833981434468,0.00018111974268362124,0.08742065795907437,0.08730187237727886,0.00031624185321542175
30.0,0.8728111169944684,0.0020009206505772373,0.2,0.1,0.8,0.1,1.0,0.0003993833934254662,0.00020009206505772374,0.08741235620583133,0.08728111169944686,0.00034928515760952343
31.0,0.8725818809140408,0.002210429229022205,0.2,0.1,0.8,0.1,1.0,0.0004411086463291379,0.00022104292290222054,0.08740316921621434,0.08725818809140408,0.00038575609885751377
32.0,0.8723287732153308,0.002441767065046941,0.2,0.1,0.8,0.1,1.0,0.00048716096772939867,0.00024417670650469413,0.08739300877410944,0.08723287732153308,0.00042600473366599944
33.0,0.8720492982636228,0.0026971849317037103,0.2,0.1,0.8,0.1,1.0,0.0005379820250295802,0.00026971849317037103,0.08738179314765318,0.08720492982636228,0.00047041564539588757
34.0,0.87174073396453,0.0029791604687733116,0.2,0.1,0.8,0.1,1.0,0.0005940570143349221,0.0002979160468773312,0.08736941694229276,0.087174073396453,0.000519411106729312
35.0,0.8714001079243509,0.003290419904292022,0.2,0.1,0.8,0.1,1.0,0.0006559186082290922,0.0003290419904292022,0.08735575005925124,0.0871400107924351,0.0005734544519433001
36.0,0.8710241428484277,0.0036339616016820013,0.2,0.1,0.8,0.1,1.0,0.0007241511849519004,0.00036339616016820014,0.08734065370747228,0.08710241428484278,0.0006330536578498329
37.0,0.8706092192080875,0.004013081527421409,0.2,0.1,0.8,0.1,1.0,0.0007993953408151356,0.0004013081527421409,0.08732398469021198,0.08706092192080876,0.0006987651550413504
38.0,0.8701513587206249,0.004431400725002671,0.2,0.1,0.8,0.1,1.0,0.0008823526825234234,0.00044314007250026714,0.08730558582030291,0.0870151358720625,0.0007711978723793274
39.0,0.8696462014542768,0.004892894866559312,0.2,0.1,0.8,0.1,1.0,0.000973790889276822,0.0004892894866559312,0.0872852786524846,0.08696462014542769,0.0008510174869636873
40.0,0.8690889656856986,0.005401925932871934,0.2,0.1,0.8,0.1,1.0,0.0010745490258175401,0.0005401925932871935,0.08726286494988064,0.08690889656856987,0.0009389508443420844
41.0,0.8684744029453303,0.005963276044482745,0.2,0.1,0.8,0.1,1.0,0.0011855430766600087,0.0005963276044482745,0.08723812941740161,0.08684744029453303,0.0010357905204660687
42.0,0.8677967585751539,0.006582183429888895,0.2,0.1,0.8,0.1,1.0,0.0013077716582368382,0.0006582183429888895,0.0872108375494442,0.08677967585751539,0.0011423994889609343
43.0,0.8670497337883578,0.007264380469277968,0.2,0.1,0.8,0.1,1.0,0.0014423218491351082,0.0007264380469277969,0.08718073101909665,0.08670497337883579,0.0012597158304049616
