Time,P,Q,R,body,reaction_0,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5
0.0,0.43,0.8,0.6,1.0,0.08000000000000002,0.06825396825396826,0.9523809523809523,0.8888888888888888,2.5170731707317073,2.459016393442623
0.04,0.43047438445900865,0.8024567502656914,0.6023678592471166,1.0,0.08024567502656915,0.06827785475033787,0.9518172717599741,0.8924305594812311,2.519484121868836,2.459174865854755
0.08,0.43095720385657976,0.804748017337102,0.6048257950810894,1.0,0.0804748017337102,0.06830212908616523,0.9512793987650593,0.8961034867258674,2.5219251618772374,2.4593380755979783
0.12,0.4314478309434344,0.8068685826830622,0.6073752859903084,1.0,0.08068685826830622,0.06832675793641041,0.9507707860650753,0.8999098139275544,2.5243917028430123,2.459505991627283
0.16,0.43194562855772395,0.8088146965723042,0.6100170022382674,1.0,0.08088146965723042,0.06835170765300556,0.9502945800233668,0.9038505023811381,2.5268791729296836,2.459678525089232
0.2,0.43244988711673266,0.8105823615316412,0.6127515028827909,1.0,0.08105823615316413,0.06837694114994987,0.9498539844478868,0.9079263402244901,2.529382541352452,2.459855576607568
0.24,0.4329598554650664,0.8121675375397687,0.6155791620286266,1.0,0.08121675375397687,0.06840241947839643,0.9494521784966902,0.9121378357049295,2.5318965088440706,2.460037032053737
0.28,0.43347477059287426,0.8135664097070351,0.618500031613598,1.0,0.08135664097070351,0.0684281033303318,0.9490922098145953,0.9164850172238591,2.534415703159401,2.4602227545863196
0.32,0.4339938703839538,0.8147751660452155,0.6215141661028408,1.0,0.08147751660452156,0.06845395368272603,0.9487770085525283,0.9209679111351926,2.5369346978352336,2.460412606174334
0.36,0.4345163805485172,0.8157902445809673,0.6246212689369056,1.0,0.08157902445809673,0.06847993115211509,0.9485092807082542,0.9255860209666432,2.5394479935073564,2.460606425873688
0.4,0.43504151211072367,0.8166082243669658,0.6278207996010036,1.0,0.08166082243669659,0.06850599587808857,0.9482914929175931,0.9303384843081769,2.5419499849604787,2.460804037724014
0.44,0.43556847522091957,0.817225703033705,0.6311121901476218,1.0,0.0817225703033705,0.06853210821532939,0.9481258645090614,0.9352243917138967,2.544435001921871,2.4610052649377274
0.48,0.43609645363097316,0.8176395934732875,0.6344943571709183,1.0,0.08176395934732876,0.06855822747346606,0.9480142500186942,0.9402420673493347,2.546897246373848,2.461209900875253
0.52,0.43662462479055114,0.817846899478054,0.6379660562295122,1.0,0.08178468994780541,0.0685843129197524,0.9479581647507275,0.9453895908564312,2.5493308474736884,2.461417732056099
0.56,0.4371521492255769,0.8178448356690062,0.6415256934112704,1.0,0.08178448356690063,0.06861032325746858,0.9479587236969875,0.9506645195437841,2.5517298345958217,2.4616285278496006
0.6,0.43767820902357985,0.8176303452932163,0.6451721283575457,1.0,0.08176303452932164,0.06863621852372181,0.9480167492360354,0.956065071349547,2.554088206138789,2.461842088639099
0.64,0.4382019621975906,0.8172006777670873,0.6489036696602578,1.0,0.08172006777670873,0.0686619578367766,0.9481325977488685,0.9615886439128807,2.556399851482772,2.4620581867257005
0.68,0.43872253984350185,0.8165534257602975,0.652717996658248,1.0,0.08165534257602976,0.0686874992623552,0.948306140652515,0.967231699033432,2.558658557491828,2.4622765638988793
0.72,0.43923908323606337,0.8156860682768784,0.6566129767379991,1.0,0.08156860682768785,0.06871280163479267,0.9485368861032104,0.9729909670621858,2.5608580626505493,2.4624969796982725
0.76,0.4397507116497636,0.8145963948657405,0.660585879158767,1.0,0.08145963948657406,0.06873782297416318,0.9488238715292426,0.9788622876823788,2.562992030623699,2.462719167258097
0.8,0.44025654022485483,0.8132822561324982,0.6646338571955325,1.0,0.08132822561324982,0.06876252135905382,0.9491657447701543,0.9848413205598727,2.5650540589887765,2.462942861919315
0.84,0.4407556817143992,0.8117415995001158,0.6687538379670094,1.0,0.08117415995001159,0.06878685500456554,0.9495607753578853,0.9909233823018321,2.5670377142236886,2.4631677957433293
0.88,0.4412472361394016,0.8099725409080487,0.6729424337006648,1.0,0.08099725409080488,0.06881078175025121,0.950006863830615,0.9971033157508444,2.5689364954335168,2.4633936935730696
0.92,0.4417303065699767,0.8079732445541705,0.6771961185993155,1.0,0.08079732445541705,0.06883425982029864,0.9505016057010263,1.0033757499777443,2.5707438908399007,2.463620283462956
0.96,0.4422039850881438,0.8057420417596795,0.6815110551429024,1.0,0.08057420417596795,0.06885724712957837,0.9510422992271642,1.0097348443659273,2.5724533411666854,2.463847288030943
