Time,H,T,b1,u1,b2,u2,v,k,bone_marrow,HSC_growth,HSC_death,Tumor_growth,Tumor_death,Tumor_inhibition,HSC_inhibition
0.0,0.84,0.0001,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.081937884,0.084,1.8318000000000003e-05,1e-05,5.124e-06,1.5120000000000003e-05
10.0,0.8359341392630837,0.00013799154363856005,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.08359710682591924,0.08359341392630837,2.528746354934718e-05,1.3799154363856005e-05,7.03646237768212e-06,2.076333160627511e-05
20.0,0.8358514955431371,0.00019052780438532906,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.08360687162459661,0.08358514955431372,3.491324170345649e-05,1.9052780438532908e-05,9.714429964519682e-06,2.8665531042844966e-05
30.0,0.8357699857590973,0.00026304900232619616,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.08360699835958517,0.08357699857590974,4.819899229115208e-05,2.6304900232619618e-05,1.3410756116614694e-05,3.9572722967059754e-05
40.0,0.8356579355196557,0.0003631401800928874,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.08360698762254926,0.08356579355196558,6.653244239648474e-05,3.631401800928874e-05,1.8511119365240158e-05,5.46229751761185e-05
50.0,0.8355021178694506,0.0005012533365834322,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.08360746040697588,0.08355021178694506,9.182445184910754e-05,5.012533365834323e-05,2.5546691682579758e-05,7.538368037482552e-05
60.0,0.8352880132535128,0.0006917708293807949,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.08360776087573905,0.08352880132535129,0.00012670189886607817,6.917708293807949e-05,3.5247500783713356e-05,0.00010400901870603942
70.0,0.8349927014703005,0.0009544671402041739,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.08360819464696521,0.08349927014703006,0.00017477176461921457,9.54467140204174e-05,4.861535884768663e-05,0.00014345515725546873
80.0,0.8345856913925298,0.0013164766429450232,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.08360878001986286,0.08345856913925298,0.00024097445505363293,0.00013164766429450234,6.702146672451771e-05,0.00019776826246578998
90.0,0.834025251673025,0.0018149449756086334,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.08360952330222109,0.08340252516730251,0.00033205599126773564,0.00018149449756086334,9.233630634333565e-05,0.0002724677892098429
100.0,0.8332542872929813,0.0025005526282248255,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.08361046948777623,0.08332542872929814,0.00045718804899425936,0.0002500552628224826,0.00012709936808227417,0.0003750473156526123
110.0,0.8321952825214112,0.003442126462518945,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.08361161725424833,0.08321952825214113,0.0006287652175079868,0.0003442126462518945,0.0001747358056409731,0.0005156138527110683
120.0,0.8307435685489644,0.004732537472215096,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.083612894774423,0.08307435685489645,0.000863397610898642,0.00047325374722150963,0.00023982302914553954,0.0007076745122327397
130.0,0.8287589831412462,0.0064959842514517715,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.08361409460119826,0.08287589831412462,0.0011830851819566383,0.0006495984251451772,0.0003283999234668179,0.0009690489544922495
140.0,0.8260561229319905,0.008896498717762474,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.0836147118922039,0.08260561229319906,0.001616490060896179,0.0008896498717762474,0.0004482894415463219,0.001322821302923573
150.0,0.8223938396893524,0.012146947870258001,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.08361367266987643,0.08223938396893525,0.0022000884035484895,0.0012146947870258,0.0006093640810712007,0.0017981235179150186
160.0,0.8174657741431081,0.016516863054942838,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.08360886250735754,0.08174657741431081,0.0029787718530809295,0.0016516863054942838,0.0008236201848610975,0.002430354643852419
170.0,0.8108955499152656,0.022335743358683567,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.08359635055956995,0.08108955499152656,0.0040051324875875986,0.002233574335868357,0.0011048292485099631,0.0032601518808490714
180.0,0.8022432016182579,0.029985845201543793,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.08356920740479645,0.08022432016182579,0.005336220048664251,0.0029985845201543795,0.001467412367920674,0.004330069282388874
190.0,0.7910309828971654,0.0398770912713915,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.08351592579406962,0.07910309828971655,0.007026501478555148,0.003987709127139151,0.0019241848969128166,0.005677922646627984
200.0,0.7767994135584128,0.05239464854498291,0.2,0.1,0.61,0.1,0.1,0.9,1.0,0.08341869902619378,0.07767994135584128,0.009115887224499289,0.005239464854498291,0.002482708068063854,0.007326023807401536
