Time,Pathogen_0,Susceptible,Exposed,Infected_Symptomatic,Infected_Asymptomatic,Recovered,alpha_1,alpha_2,b,mu,mu_p,beta_1,beta_2,delta,psi,omega,sigma,gamma_S,gamma_A,eta_S,eta_A,Human,Pathogen,Birth_Rate,Exposed_to_Susceptible,Susceptible_to_Exposed,Death_rate_Susceptible,Death_rate_Exposed,Symptomatic_infection_from_Exposed,Asymptomatic_infection_from_Exposed,Death_rate_Symptomatic_infected,Death_rate_Asymptomatic_infected,Recovery_from_Symptomatic_infection,Recovery_from_Asymptomatic_infection,Death_rate_Recovered,Rate_of_pathogen_increase,Death_rate_of_Pathogen
0.0,500.0,93000.0,1000.0,50.0,50.0,0.0,0.1,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,5.0,13497.433155080213,4.24359,0.045630000000000004,63.0,27.000000000000004,0.0922815,0.0922815,2.5,3.5700000000000003,0.0,7.5,86.2
0.9,448.55395934831716,81247.13836040148,12201.856882715629,424.3457983128533,207.11189593426803,15.209345053566905,0.1,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,61.00928441357814,12488.040233470372,3.70730692338512,0.5567707295583142,768.7169836110846,329.450135833322,0.7831853357401514,0.38225192849316314,21.217289915642667,14.787789369706738,0.0006940024147942578,52.79017462799874,77.33070259164988
1.8,471.7582924558976,70770.09117348846,21303.583828683004,1344.9611633157754,593.2580309669409,77.91291863259661,0.1,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,106.51791914341503,10965.851475746524,3.2292392602462785,0.9720825301028055,1342.1257812070291,575.1967633744412,2.4823006718504943,1.0949348196935151,67.24805816578878,42.35862341103958,0.0035551664772053835,164.1590178799246,81.33112961939675
2.7,606.4358353084453,61646.60171369751,28397.9191955777,2670.391876552748,1144.3556156432608,222.07939457391328,0.1,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,141.98959597788848,9581.590984968894,2.812934436196018,1.2957970528942104,1789.068909321395,766.7438182805979,4.928555359122048,2.1120570548996715,133.5195938276374,81.70699095692882,0.010133482774407664,324.2569684374379,104.54953800717598
3.6,870.6553303703297,53720.19950183974,33791.512544751415,4279.55502322729,1806.327479055899,471.9133786769157,0.1,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,168.95756272375706,8366.450677296292,2.4512527032689477,1.5419067174170071,2128.8652903193392,912.3708387082883,7.898475137518983,3.333812185169939,213.9777511613645,128.9717820045912,0.021533407469027665,518.2718762755239,150.10097895584482
4.5,1268.7234384360183,46838.66482758991,37762.8186062819,6073.253129067695,2535.4922854545334,843.5393370291858,0.1,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,188.8140930314095,7304.152987219572,2.1372482760829277,1.7231174130046432,2379.05757219576,1019.5961023696115,11.20897817260121,4.6795806268034505,303.6626564533848,181.0341491814537,0.03849069994864175,734.0999271794963,218.72792078636957
5.4,1795.2608573936866,40866.136906113024,40552.91551548751,7971.174072803352,3297.051078383037,1346.5400506569013,0.1,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,202.76457757743756,6377.925018833403,1.8647218270259374,1.8504295349716953,2554.833677475713,1094.928718918163,14.711838003988051,6.085136381796084,398.5587036401676,235.40944699654884,0.06144262251147441,961.9699611994871,309.5029718146716
6.3,2438.384779581198,35682.533826705185,42368.96460455287,9909.062105364736,4063.685368035957,1985.2662828130838,0.1,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,211.84482302276436,5571.78001094756,1.6281940185125576,1.9332958549057475,2669.244770086831,1143.9620443229276,18.28846229352432,7.500059625808203,495.4531052682368,290.14713527776735,0.09058770048476102,1194.0904789382714,420.3775359997985
7.2,3182.156097260292,31182.59194671088,43387.779349319084,11836.2033938212,4814.323445679698,2759.9415564410965,0.1,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,216.93889674659542,4870.760827742712,1.4228616705284176,1.97978437170943,2733.4300990071024,1171.4700424316154,21.845252069738223,8.885459781049821,591.8101696910601,343.7426940215305,0.12593613322040723,1424.336511666105,548.6037111676743
8.1,4008.4349639497705,27274.648954059125,43759.356487777084,13713.226602537392,5533.070280174113,3667.588116482886,0.1,0.1,0.00018,4.563e-05,0.1724,0.00414,0.0115,0.7,0.005,0.09,0.0018,0.05,0.0714,0.1,0.05,1.0,1.0,0.00018,218.79678243888543,4261.316258903788,1.2445422317737178,1.9967394365372684,2756.8394587299563,1181.5026251699815,25.309542414441086,10.212000501197748,685.6613301268696,395.0612180044317,0.1673520457551141,1647.976174262445,691.0541877849404
