Time,x_Cancer,y_Immune_System,a,b,c,d,e,f,compartment,Tumor_Growth,Tumor_Killing,Tumor_Competition,Immune_Growth,Immune_Loss_Tumor,Immune_Growth_Control
0.0,0.00034275,0.005,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,2.1421875e-05,2.1421875000000001e-07,3.671173828125e-09,0.00015625,1.47275390625e-07,7.8125e-07
0.3,0.0003491710108138448,0.0050468153356750065,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,2.18231881758653e-05,2.2027520151855693e-07,3.810012337273816e-09,0.00015771297923984395,1.5143920104400789e-07,7.959482822626384e-07
0.6,0.00035571106685303584,0.00509406356076852,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,2.223194167831474e-05,2.2650184797726813e-07,3.9540738463039045e-09,0.00015918948627401626,1.5572002048437183e-07,8.109213612859268e-07
0.8999999999999999,0.00036237293715141785,0.005141750913041775,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,2.2648308571963616e-05,2.3290392255749153e-07,4.103567049367045e-09,0.00016067971603255546,1.6012144675827545e-07,8.26175076617685e-07
1.2,0.00036915878939361576,0.00518988127947438,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,2.3072424337100985e-05,2.3948628627841895e-07,4.2586941183299985e-09,0.00016218378998357437,1.6464682181641304e-07,8.417146154699571e-07
1.5,0.0003760709711671795,0.0052384588109876,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,2.350443569794872e-05,2.462540365584219e-07,4.419667979832049e-09,0.0001637018378433625,1.6929965013391502e-07,8.575453348254255e-07
1.7999999999999998,0.0003831118470645512,0.005287487641887096,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,2.394449044153445e-05,2.532123946017942e-07,4.586708980037878e-09,0.00016523398880897175,1.7408352128873352e-07,8.736726738471489e-07
2.1,0.0003902838662644872,0.0053369719349739215,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,2.439274164153045e-05,2.6036675511583544e-07,4.760046758323628e-09,0.00016678037296793505,1.7900214414213684e-07,8.901021698343526e-07
2.4,0.0003975894235751038,0.005386915849107238,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,2.484933897344399e-05,2.677225959117672e-07,4.939917179336979e-09,0.00016834112028460117,1.8405928468933997e-07,9.068394489175859e-07
2.6999999999999997,0.0004050308898191776,0.005437323541461636,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,2.53144306136986e-05,2.7528549902912105e-07,5.126563178366088e-09,0.00016991636067067612,1.8925878058252071e-07,9.238902279541534e-07
3.0,0.0004126110047918958,0.005488199377175035,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,2.5788187799493487e-05,2.8306143243930596e-07,5.320245039855558e-09,0.00017150623053671985,1.9460473480202286e-07,9.412603876132639e-07
3.3,0.00042033213746791464,0.005539547507846943,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,2.6270758591744665e-05,2.9105623057229564e-07,5.521222055885809e-09,0.00017311085962021697,2.0010115851845327e-07,9.58955830990415e-07
3.5999999999999996,0.00042819676853580487,0.0055913721529664406,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,2.6762298033487804e-05,2.9927593594766447e-07,5.729764768265802e-09,0.00017473037978020127,2.0575220596401932e-07,9.769825797802678e-07
3.9,0.00043620789565324724,0.005643677903523398,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,2.7262993478327952e-05,3.07727107755084e-07,5.9461665071948195e-09,0.0001763649344851062,2.115623865816202e-07,9.953468837099457e-07
4.2,0.0004443679281033345,0.005696468925784291,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,2.7772995506458407e-05,3.1641601175697413e-07,6.170714235214071e-09,0.0001780146539307591,2.175360080829197e-07,1.0140549444508136e-06
4.5,0.0004526795380253894,0.005749749579289433,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,2.829247112658684e-05,3.253492479143022e-07,6.40371137959e-09,0.00017967967435279477,2.2367760794108275e-07,1.033113132016844e-06
4.8,0.00046114586955202174,0.005803524585403005,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,2.882161684700136e-05,3.345339239252756e-07,6.64548478140282e-09,0.0001813601432938439,2.2999207269862701e-07,1.0525280504180349e-06
5.1,0.00046976946043469144,0.005857798200645346,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,2.9360591277168215e-05,3.439768375065588e-07,6.89635456115941e-09,0.00018305619377016706,2.3648407578575916e-07,1.0723062424838704e-06
5.3999999999999995,0.00047855318836208396,0.005912574941863712,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,2.9909574272630247e-05,3.536851987323303e-07,7.1566610653598815e-09,0.000184767966933241,2.4315857412847714e-07,1.0924544513485839e-06
5.7,0.0004875003092188168,0.005967859615127136,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.046876932617605e-05,3.6366667596862096e-07,7.426767234013813e-09,0.000186495612972723,2.5002083972842693e-07,1.112979637058294e-06
6.0,0.000496613514095758,0.006023656594583948,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.103834463098487e-05,3.7392865864280257e-07,7.7070306994543e-09,0.00018823926858074836,2.570759528169268e-07,1.1338887115460837e-06
6.3,0.0005058959044065265,0.006079970563768284,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.1618494025407904e-05,3.8447902589032684e-07,7.997833315478043e-09,0.00018999908011775888,2.6432933029959967e-07,1.155188814259026e-06
6.6,0.0005153508342588602,0.006136806394364807,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.220942714117876e-05,3.9532603687762635e-07,8.299577574103224e-09,0.00019177519982390022,2.7178665035336817e-07,1.1768872725598995e-06
6.8999999999999995,0.0005249811616956178,0.006194168588699091,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.2811322605976114e-05,4.064777276792193e-07,8.612663129227513e-09,0.0001935677683968466,2.794534377794633e-07,1.1989913907883278e-06
7.199999999999999,0.0005347902322178624,0.006252062004682034,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.34243895136164e-05,4.179427114155474e-07,8.9375185148636e-09,0.00019537693764631357,2.8733561409818886e-07,1.221508728449648e-06
7.5,0.0005447814887696429,0.00631049157044786,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.404884304810268e-05,4.297298740771083e-07,9.27458970331464e-09,0.0001972028615764956,2.9543928842801196e-07,1.2444469956466718e-06
7.8,0.0005549579689702709,0.0063694619220292115,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.468487306064193e-05,4.4184795646035113e-07,9.624323353862755e-09,0.00019904568506341286,3.0377047006649144e-07,1.2678139117556268e-06
8.1,0.000565323286473461,0.0064289781011555615,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.533270540459131e-05,4.543063786013966e-07,9.98720056966109e-09,0.0002009055656611113,3.123356352884602e-07,1.2916174820355552e-06
8.4,0.0005758809612279543,0.006489045084158193,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.5992560076747144e-05,4.67114690064569e-07,1.0363715047026018e-08,0.00020278265887994354,3.2114134941939116e-07,1.3158658157574253e-06
8.7,0.0005866342253255217,0.006549667646468439,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.666463908284511e-05,4.802824007407057e-07,1.0754366072602345e-08,0.00020467711395213872,3.301941505092352e-07,1.340567071224857e-06
9.0,0.0005975869877459187,0.006610851024520133,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.734918673411992e-05,4.938198187725009e-07,1.1159693997601274e-08,0.00020658909451625417,3.395011254060943e-07,1.3657297271374655e-06
9.299999999999999,0.0006087428299485773,0.006672600233080955,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.804642687178608e-05,5.077371936251546e-07,1.1580244781681328e-08,0.00020851875728377983,3.490693206172938e-07,1.3913623084535004e-06
9.6,0.0006201051959262671,0.0067349201938809704,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.8756574745391694e-05,5.220448757967915e-07,1.2016576687961066e-08,0.00021046625605878033,3.5890585211029414e-07,1.4174734380608028e-06
9.9,0.0006316783199055266,0.00679781634968612,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,3.9479894994095416e-05,5.36754151349506e-07,1.2469296869958403e-08,0.00021243176092769126,3.690184790527854e-07,1.4440720976268727e-06
10.2,0.0006434658257907591,0.006861293742445765,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,4.021661411192244e-05,5.51876005496979e-07,1.2939008405018235e-08,0.00021441542945143015,3.794147537791731e-07,1.4711672443789189e-06
10.5,0.0006554713891408003,0.006925357448032257,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,4.096696182130002e-05,5.674217083447865e-07,1.3426335686942828e-08,0.00021641742025100804,3.901024244870407e-07,1.4987679932192456e-06
10.799999999999999,0.0006676996022127068,0.0069900131276426055,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,4.1731225138294174e-05,5.834036230985707e-07,1.3931961212343964e-08,0.00021843791023883142,4.0108999088026736e-07,1.5268838601442487e-06
11.1,0.0006801541086829712,0.0070552658379765334,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,4.25096317926857e-05,5.998335059437932e-07,1.445655036119772e-08,0.00022047705743676667,4.123855353363578e-07,1.55552425139121e-06
11.4,0.0006928389051501509,0.007121120859351113,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,4.330243157188443e-05,6.167236974543408e-07,1.5000804640301868e-08,0.00022253502685472227,4.2399754199985936e-07,1.5846988216714228e-06
11.7,0.0007057587748556281,0.007187583958464827,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,4.410992342847676e-05,6.340875560872628e-07,1.5565482758928662e-08,0.00022461199870202583,4.359351948099931e-07,1.6144175987494033e-06
12.0,0.0007189175576766487,0.007254660318792155,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,4.493234735479054e-05,6.519378347699691e-07,1.6151326710492422e-08,0.00022670813496225483,4.4820726140435376e-07,1.6446905106580463e-06
12.299999999999999,0.0007323195461364602,0.007322355400785407,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,4.576997163352876e-05,6.702879979691284e-07,1.675912242667222e-08,0.00022882360627454396,4.608229986037757e-07,1.6755277692316003e-06
12.6,0.0007459696984618341,0.007390675064061708,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,4.662310615386463e-05,6.891524561209386e-07,1.7389712219476242e-08,0.0002309585957519284,4.737923135831454e-07,1.7069399344544856e-06
12.9,0.0007598720752935074,0.007459624630033491,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,4.749200470584421e-05,7.085450560667639e-07,1.8043924087839432e-08,0.0002331132696885466,4.871247260459002e-07,1.7389374881563219e-06
13.2,0.0007740312912680505,0.0075292097475914265,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,4.8376955704253155e-05,7.284804928945231e-07,1.8722638745690175e-08,0.00023528780461223208,5.008303388649846e-07,1.7715312319758048e-06
13.5,0.0007884524684829489,0.007599436360658418,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,4.9278279280184304e-05,7.489742947050259e-07,1.9426790470526734e-08,0.00023748238627057557,5.149198276097053e-07,1.8047322812405395e-06
13.799999999999999,0.0008031399070512136,0.00767030993526458,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,5.019624419070085e-05,7.700415010577993e-07,2.015730344681975e-08,0.00023969718547701814,5.294035319772371e-07,1.8385517032193291e-06
14.1,0.0008180985754175715,0.007741836319171249,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,5.113116096359822e-05,7.916981579787517e-07,2.0915164971883124e-08,0.00024193238497410152,5.442924836103918e-07,1.8730009247762196e-06
14.399999999999999,0.0008333337452928438,0.007814021531049296,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,5.208335908080274e-05,8.13960978533529e-07,2.17014103451187e-08,0.0002441881728452905,5.595981727418011e-07,1.9080916402406867e-06
14.7,0.0008488499769652494,0.007886871188638171,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,5.305312356032809e-05,8.368463033504251e-07,2.2517071356059513e-08,0.00024646472464494285,5.753318335534172e-07,1.94383553581784e-06
15.0,0.0008646526276123045,0.007960391349509372,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,5.404078922576903e-05,8.603716621469421e-07,2.3363255201151956e-08,0.00024876222967216787,5.915055177260227e-07,1.9802447011669887e-06
15.299999999999999,0.0008807471007584811,0.008034588096545687,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,5.504669379740507e-05,8.845550214776521e-07,2.4241107984202187e-08,0.0002510808780170527,6.081315772658858e-07,2.0173314337860514e-06
15.6,0.0008971382397682107,0.008109467206711737,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,5.607113998551317e-05,9.094141419109245e-07,2.515178191420011e-08,0.00025342085020974177,6.252222225637607e-07,2.055108074272908e-06
15.899999999999999,0.0009138318289992862,0.008185034958831381,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,5.711448931245539e-05,9.349681833564974e-07,2.609651911538065e-08,0.00025578234246348067,6.427906260575919e-07,2.09358741491537e-06
16.2,0.0009308333820182832,0.008261297488461784,0.0625,0.125,0.03125,0.03125,0.0859375,0.03125,1.0,5.81770863761427e-05,9.612364351305038e-07,2.7076587033737348e-08,0.00025816554651443075,6.608500491522213e-07,2.1327823810270306e-06
