Time,H,T,b1,u1,b2,u2,v,k,bone_marrow,HSC_growth,HSC_death,Tumor_growth,Tumor_death,Tumor_inhibition,HSC_inhibition
0.0,0.85,0.01,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.09588000000000002,0.085,0.0018100000000000002,0.001,0.00068,0.0015300000000000001
10.0,0.8625408999284807,0.011247247146862926,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08786640501668119,0.08625408999284807,0.0020301251021805984,0.0011247247146862927,0.000776096854061855,0.0017462179216391736
20.0,0.8610447618670595,0.012609862382867622,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08789983165679116,0.08610447618670596,0.0022730176316578996,0.0012609862382867622,0.0008686124762106115,0.001954378071473876
30.0,0.8593714464987317,0.014119447781837359,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.087945358563018,0.08593714464987318,0.002541340789953848,0.001411944778183736,0.0009707080211232705,0.0021840930475273586
40.0,0.8575222827823358,0.015787379633455927,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08799487237913466,0.08575222827823359,0.002836867059104364,0.0015787379633455927,0.0010830423857945985,0.002436845368037847
50.0,0.8554842823053243,0.017624786679725883,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08804877587898223,0.08554842823053244,0.003161276155174213,0.0017624786679725883,0.001206218238679179,0.002713991037028153
60.0,0.8532456475363223,0.019642288340314527,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.0881070281328162,0.08532456475363223,0.0035160998291335586,0.001964228834031453,0.001340775762722146,0.0030167454661248283
70.0,0.8507952469386898,0.021849628066155258,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.0881696727918135,0.08507952469386898,0.0039026531697839264,0.002184962806615526,0.0014871647764850473,0.003346120747091356
80.0,0.848123370962424,0.02425524786870534,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08823665620993328,0.0848123370962424,0.0043219573121878905,0.002425524786870534,0.0016457154068748418,0.003702859665468394
90.0,0.8452223282976167,0.026865742510864148,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08830781692155473,0.08452223282976168,0.004774644369311282,0.002686574251086415,0.0018166020349181485,0.004087354578565834
100.0,0.8420867737318793,0.029685541779391613,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08838289387565781,0.08420867737318793,0.0052609060356613065,0.0029685541779391617,0.001999824168279264,0.004499604378628344
110.0,0.8387144286106103,0.032716273342565036,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08846150911879008,0.08387144286106103,0.005780391550172362,0.0032716273342565036,0.002195168840222238,0.004939129890500036
120.0,0.8351066059604711,0.035956295011725155,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08854316568041107,0.08351066059604711,0.006332141182347885,0.0035956295011725157,0.0024021871592124176,0.005404921108227938
130.0,0.8312686494606975,0.03940031206560654,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08862724968423157,0.08312686494606975,0.006914540610965737,0.003940031206560654,0.002620179535928542,0.005895403955839219
140.0,0.8272103274917523,0.04303903777102016,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08871303896495544,0.08272103274917524,0.0075252890691630625,0.004303903777102016,0.0028481869223596387,0.006408420575309187
150.0,0.8229460624713097,0.04685900530701148,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08879972017313786,0.08229460624713097,0.008161399107555246,0.004685900530701149,0.003084994712698185,0.0069412381035709155
160.0,0.8184950556859761,0.05084248334260211,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08888640831387375,0.08184950556859762,0.008819218621337539,0.005084248334260211,0.0033291456987773146,0.007490577822248958
170.0,0.8138811715280558,0.05496760970685856,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08897217426743338,0.08138811715280558,0.009494492266308307,0.005496760970685856,0.0035789682067451987,0.008052678465176696
180.0,0.8091325694404454,0.059208734096082,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08905608869913373,0.08091325694404455,0.010182457677514715,0.005920873409608201,0.003832617212198316,0.00862338872744621
190.0,0.8042811030352577,0.06353699483369565,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08913725318087656,0.08042811030352577,0.010877976938471912,0.006353699483369566,0.004088128343071217,0.00919828877191024
200.0,0.7993615267447294,0.06792106222374544,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08921483256599795,0.07993615267447295,0.011575688626082771,0.006792106222374545,0.004343478719783754,0.009772827119513447
210.0,0.7944105195465379,0.07232802085027272,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.0892880955368348,0.07944105195465379,0.012270172837602289,0.0072328020850272725,0.004596651249715039,0.010342465311858836
220.0,0.789465602375068,0.07672434619134184,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08935644486170893,0.0789465602375068,0.012956119534914975,0.007672434619134185,0.004845698574622476,0.01090282179290057
230.0,0.7845640227078806,0.08107691768629417,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.0894194300483725,0.07845640227078807,0.013628489567182515,0.008107691768629417,0.0050888026150971745,0.011449805883968642
240.0,0.7797416546218187,0.08535399541620611,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08947675809317841,0.07797416546218187,0.014282656864250964,0.008535399541620612,0.005324325249153255,0.011979731810594824
250.0,0.7750320118771851,0.08952607418929255,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.089528301110267,0.07750320118771852,0.014914519778021298,0.008952607418929255,0.005550845871551483,0.012489403210990837
