Time,BMAL1,CRY,DBP,E4BP4,PERCRY,PER,REV,ROR,V_R,k_R,k_R_r,V_E,k_E,k_E_r,V_D,k_D,k_D_r,gamma_ror,gamma_rev,gamma_p,gamma_c,gamma_db,gamma_E4,gamma_pc,gamma_cp,gamma_bp,E_box,R_box,D_box,ModelValue_6,ModelValue_3,ModelValue_0,ModelValue_8,ModelValue_4,ModelValue_5,ModelValue_1,ModelValue_2,compartment,v4_1,v4_2,v5_1,v5_2,v5_3,v8_1,v6_1,v6_2,v6_3,v7_1,v7_2,v8_2,v9_1,v9_3,v9_4,v9_5,v10_1,v10_2,v10_5,v11_3
150.0,3.758771524872198,2.7730956921547585,2.7538469350489065,79.68309944303114,1.1880433888885513,23.261932101058555,106.9175616618321,3.936917804335933,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.49370941125718676,8.404413173305835,37.415903930222406,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,8.404413173305835,11.52120584400474,0.49370941125718676,8.404413173305835,10.03914040105663,16.80882634661167,0.9874188225143735,37.415903930222406,25.767132360501535,0.49370941125718676,0.4296001218676294,23.506514335694185,0.49370941125718676,12.320944666822616,0.1675141178332857,6.489043919642135,0.49370941125718676,37.415903930222406,19.63307069329342,11.52120584400474
150.1,3.452347273865872,2.6426598059023814,2.7583899558927105,78.99926287558651,1.2544937349631486,23.870355177447884,108.17197661053348,3.823447904302244,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.457263864575897,8.16453030310121,37.60401544434969,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,8.16453030310121,11.173845907033153,0.457263864575897,8.16453030310121,9.749792155970722,16.32906060620242,0.914527729151794,37.60401544434969,26.069446363138567,0.457263864575897,0.4303088331192628,23.304782548298018,0.457263864575897,12.048514582390569,0.17688361662980395,6.183823945811572,0.457263864575897,37.60401544434969,20.146579769766014,11.173845907033153
150.2,3.157427136689828,2.5192075100718245,2.7592754706555,78.28857755148448,1.3278366587885668,24.47003928508653,109.40670482190816,3.711401847277069,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.42141558976431964,7.930135389824579,37.76648490441897,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,7.930135389824579,10.816772548840477,0.42141558976431964,7.930135389824579,9.464074710556526,15.860270779649158,0.8428311795286393,37.76648490441897,26.367015862079867,0.42141558976431964,0.430446973422258,23.09513037768792,0.42141558976431964,11.77421538709983,0.1872249688891879,5.894945573568069,0.42141558976431964,37.76648490441897,20.65271315661303,10.816772548840477
150.3,2.875485074097765,2.402539763059388,2.756633237839016,77.55291383608878,1.4087660964381754,25.05952930573051,110.61983978530331,3.601020375836658,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.38647281234029074,7.70140975657028,37.903856368654075,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,7.70140975657028,10.451285578663601,0.38647281234029074,7.70140975657028,9.182601958383477,15.40281951314056,0.7729456246805815,37.903856368654075,26.659381388258097,0.38647281234029074,0.4300347851028865,22.87810958164619,0.38647281234029074,11.499444479708789,0.1986360195977827,5.621943045558968,0.38647281234029074,37.903856368654075,21.15024273403655,10.451285578663601
150.4,2.6078728445263204,2.292441290379782,2.7506219519463877,76.79413293561105,1.4979637658339209,25.637462867636998,111.80965316675811,3.492530425297655,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.35272817221607544,7.478507571883502,38.01683710729575,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,7.478507571883502,10.078767489666879,0.35272817221607544,7.478507571883502,8.90595258450902,14.957015143767004,0.7054563444321509,38.01683710729575,26.946126413188704,0.35272817221607544,0.42909702450363646,22.654269216005257,0.35272817221607544,11.225524285544756,0.21121289098258283,5.36431261948869,0.35272817221607544,38.01683710729575,21.638018660285624,10.078767489666879
150.5,2.3558040635792783,2.1886864327304685,2.741425720454936,76.0140682825665,1.5960785015708072,26.20257676487737,112.97459206613624,3.3861451817161945,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.32045368852611084,7.261560301343797,38.10628951633372,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,7.261560301343797,9.700924407063445,0.32045368852611084,7.261560301343797,8.634670213376296,14.523120602687595,0.6409073770522217,38.10628951633372,27.226876687938834,0.32045368852611084,0.42766241239097,22.424150143357117,0.32045368852611084,10.95370183516235,0.2250470687214838,5.1215262525892955,0.32045368852611084,38.10628951633372,22.1149747895565,9.700924407063445
150.6,2.1203104698460846,2.091040919494008,2.7292526282186524,75.21452272264575,1.7036818505015119,26.753722202416338,114.11329246656626,3.2820626657543643,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.28989249304462916,7.050677686157507,38.17324042716899,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,7.050677686157507,9.319822919455177,0.28989249304462916,7.050677686157507,8.369259797673628,14.101355372315014,0.5797849860892583,38.17324042716899,27.50130348444247,0.28989249304462916,0.42576341000210977,22.188284203180498,0.28989249304462916,10.68513742393933,0.24021914092071314,4.893035751615979,0.28989249304462916,38.17324042716899,22.58014153883939,9.319822919455177
150.7,1.9022056187677088,1.9992645588843736,2.7143295979562656,74.3972669372285,1.821219842356232,27.28986921217814,115.22457354321813,3.1804651969637097,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.2612517822826261,6.845950841279204,38.218857337651365,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,6.845950841279204,8.937983312224466,0.2612517822826261,6.845950841279204,8.11018625225746,13.691901682558408,0.5225035645652522,38.218857337651365,27.769122223915566,0.2612517822826261,0.42343541728117745,21.947193746482405,0.2612517822826261,10.420896651507038,0.25679199777222866,4.678279067789434,0.2612517822826261,38.218857337651365,23.03264961507835,8.937983312224466
150.8,1.702037678652084,1.9131127072726035,2.6968981951344264,73.56403649489411,1.9489601842528608,27.810114190886207,116.30743954904409,3.0815176876641255,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.23469467998976426,6.647452760478347,38.24443325143609,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,6.647452760478347,8.55838546290098,0.23469467998976426,6.647452760478347,7.85787010354352,13.294905520956695,0.4693893599795285,38.24443325143609,28.030092931319626,0.23469467998976426,0.4207161184409705,21.70139076599376,0.23469467998976426,10.161941624213734,0.27480338597965337,4.476683735017892,0.23469467998976426,38.24443325143609,23.47173637710796,8.55838546290098
150.9,1.5200405069934095,1.832336684074431,2.6772093497984146,72.71652873933957,2.086937657085078,28.31368457397907,117.36107821052622,2.9853653445527977,44.4,3.54,80.1,30.3,214.0,1.24,202.0,5.32,94.7,2.55,0.241,0.844,2.34,0.156,0.295,0.191,0.141,2.58,0.21033221342458236,6.45523771020867,38.25136024083577,202.0,30.3,44.4,94.7,214.0,1.24,3.54,80.1,1.0,6.45523771020867,8.18435281779524,0.21033221342458236,6.45523771020867,7.612681628609634,12.91047542041734,0.4206644268491647,38.25136024083577,28.28401984873682,0.21033221342458236,0.4176446585685527,21.451375978105172,0.21033221342458236,9.909118755086908,0.294258209648996,4.287667840734168,0.21033221342458236,38.25136024083577,23.896749780438334,8.18435281779524
