Time,P,D,I,S,f_D,alpha,k_p,beta,gamma,theta,epsilon,delta,omega,rho,compartment,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6
0.0,0.01,0.0,0.0,0.01,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,0.03618761609907121,0.0,0.0051,0.0,0.0,0.0
0.22,0.022007938182047083,0.0017084362543687928,0.0,0.022007938182047083,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,0.07934448491501665,0.001174682332247362,0.011224048472844013,1.708436254368793e-05,0.0,0.0
0.44,0.04771615786818439,0.005433163356403434,0.0,0.04771615786818439,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,0.170650860755077,0.004491804202037681,0.02433524051277404,5.4331633564034344e-05,0.0,0.0
0.66,0.10173670239001054,0.013431612747400781,0.0,0.10173670239001054,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,0.35767209515379,0.012229535680501268,0.05188571821890538,0.00013431612747400782,0.0,0.0
0.88,0.2117542049215631,0.030268122270408655,0.0,0.2117542049215631,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,0.7182749987921697,0.028903182097972473,0.10799464450999718,0.0003026812227040866,0.0,0.0
1.1,0.42275192207291995,0.06456702920053001,0.0,0.42275192207291995,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.3337378823731996,0.06307501897695322,0.21560348025718917,0.0006456702920053001,0.0,0.0
1.32,0.784623614163673,0.13052310240825243,0.0,0.784623614163673,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.1563099721296592,0.1288805247138351,0.40015804322347326,0.0013052310240825244,0.0,0.0
1.54,1.300003204686833,0.24591950722170303,0.0,1.300003204686833,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.819714343269671,0.24404226366732187,0.6630016343902849,0.0024591950722170305,0.0,0.0
1.76,1.866013740984016,0.42309263707273703,0.0,1.866013740984016,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.8604142661514147,0.42083736234937164,0.9516670079018482,0.00423092637072737,0.0,0.0
1.98,2.3281716328766033,0.6587406634620938,0.0,2.3281716328766033,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.3596249956898556,0.6559233310892275,1.1873675327670676,0.006587406634620938,0.0,0.0
2.2,2.6103961208458717,0.9357388732752294,0.0,2.6103961208458717,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.817710208128829,0.9321678907591465,1.3313020216313947,0.009357388732752294,0.0,0.0
2.42,2.7350296619449512,1.234453133496172,0.0,2.7350296619449512,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.521406674798584,1.2299560850649303,1.394865127591925,0.012344531334961719,0.0,0.0
2.64,2.7561305952568396,1.5401886684662156,0.0,2.7561305952568396,0.0,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.4677854029054611,1.53462064260689,1.4056266035809881,0.015401886684662157,0.0,0.0
2.86,2.7169220793857605,1.843920105023457,1.7148475543225655e-17,2.7169220793857605,1.1102230246251565e-16,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.5666234097190854,1.8371581952536011,1.3856302604867379,0.018439201050234572,7.560618797697316e-16,3.1210225488670694e-17
3.08,2.643240238418529,2.140484326394873,4.011629938531201e-15,2.643240238418533,1.1879386363489175e-14,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.7430147535331684,2.1324168913567605,1.3480525215934498,0.02140484326394873,8.089862113536128e-14,7.301166488126786e-15
3.3,2.5486439459317634,2.426880198947082,3.3560238223042134e-13,2.548643945932099,9.690026558928366e-13,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,1.9515846301785233,2.417395173870397,1.2998084124251994,0.02426880198947082,6.598908086630217e-12,6.107963356593668e-13
3.52,2.4396466955319136,2.701197996194479,2.392649969555826e-11,2.4396466955558402,6.594047530228409e-11,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.166967078637867,2.6901711081084487,1.244219814721276,0.02701197996194479,4.490546368085546e-10,4.3546229445916035e-11
3.74,2.3188454667996545,2.962023204621004,1.266793949854715e-09,2.3188454680664483,3.646227542120073e-09,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.3744769067127067,2.9493043563897756,1.1826111880678238,0.02962023204621004,2.4830809561837696e-08,2.3055649887355814e-09
3.96,2.1865084231683776,3.2080954824531034,5.8398876753453746e-08,2.1865084815672544,1.606808918142022e-07,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.5641545924949747,3.1934900502652974,1.1151192958158727,0.032080954824531036,1.0942368732547169e-06,1.0628595569128582e-07
4.18,2.0411802966925365,3.4380881129888694,2.137973598090172e-06,2.0411824346661347,5.529019855177175e-06,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.727102519381162,3.421326601977221,1.0410019513131936,0.03438088112988869,3.765262521375656e-05,3.891111948524113e-06
4.4,1.879634115229537,3.6504180893925033,6.0315097929535454e-05,1.8796944303274665,0.00014497420859360677,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.8525211887788693,3.631099968175428,0.9586133987670639,0.036504180893925035,0.000987274360522462,0.00010977347823175452
4.62,1.6961592191955988,3.843015525739951,0.0012745265204091303,1.6974337457160078,0.0028024900349037374,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.9238224760175244,3.8204911594176107,0.8650412017897554,0.03843015525739951,0.01908495713769445,0.0023196382671446174
4.84,1.480742817496686,4.0129588499809286,0.01928091777473374,1.5000237352714196,0.03761624421591714,3.63,3.23,1.0,0.51,0.01,6.81,4.27,0.13,1.82,1.0,2.9109678119117546,3.9860396604139474,0.7551788369233098,0.040129588499809285,0.2561666231103957,0.035091270350015406
