Time,C,M,X,kd,vi,Kc,Kd,VM1,V2,VM3,V4,vd,kj,j,V1C,V3M,epislon,compartment,Production_of_Cyclin,Cdc2_kinase_activation,activation_of_cyclin_protease
0.0,0.3,0.0,0.0,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.1249999999999998,0.0,0.001,1.0,0.175,1.123876123876124,0.0
0.13333333333333333,0.3229485857801377,0.0035595461347511827,5.095365014702329e-06,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.177285888913665,0.0035595461347511827,0.001,1.0,0.16926157971371192,0.0050856943958679235,7.3164041473855294e-06
0.26666666666666666,0.3451447870166542,0.00431268930964461,6.179877020475848e-06,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.2251561826524744,0.00431268930964461,0.001,1.0,0.16371225827658134,0.006269834375248973,9.036408026114225e-06
0.4,0.36661327047666437,0.005249606100219043,7.532018985564218e-06,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.2691241282574024,0.005249606100219043,0.001,1.0,0.15834479937608753,0.007864714539322248,1.1363451277557335e-05
0.5333333333333333,0.38737788331052797,0.006435657941039763,9.2485720706933e-06,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.309626565850423,0.006435657941039763,0.001,1.0,0.1531532170293503,0.010040416953368103,1.4554777090443165e-05
0.6666666666666666,0.40746168705375857,0.007963200905990049,1.1467547662915657e-05,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.347037653049545,0.007963200905990049,0.001,1.0,0.14813171134964465,0.013032099107063155,1.8971802833367066e-05
0.8,0.4268869818036528,0.009960489375129286,1.4383150825579295e-05,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.3816797199145985,0.009960489375129286,0.001,1.0,0.1432746587613804,0.01714075087445721,2.5092307782604087e-05
0.9333333333333333,0.4456753290417077,0.012598854200784744,1.8259987581945996e-05,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.4138319421740517,0.012598854200784744,0.001,1.0,0.13857660274267758,0.022704929664636886,3.348996157201585e-05
1.0666666666666667,0.46384757344228245,0.01609341137182853,2.3440584668802514e-05,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.4437373280477281,0.01609341137182853,0.001,1.0,0.13403224649326217,0.030024575367970874,4.4737813564003914e-05
1.2,0.48142386388178127,0.020691142222518364,3.033781910751208e-05,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.4716083893995424,0.020691142222518364,0.001,1.0,0.1296364495747778,0.03925987285309951,5.929585590472991e-05
1.3333333333333333,0.498423674288337,0.02664590755279436,3.94113325903824e-05,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.497631778343818,0.02664590755279436,0.001,1.0,0.12538422859476817,0.05035230602882024,7.740533747370784e-05
1.4666666666666666,0.5148658247085951,0.03418894784587846,5.11389458950103e-05,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.5219721036219693,0.03418894784587846,0.001,1.0,0.12127075908637747,0.06302490531965832,9.910127151880471e-05
1.6,0.5307685025562868,0.04350450861875927,6.599532885798238e-05,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.5447750913226121,0.04350450861875927,0.001,1.0,0.1172913755287138,0.07686619191929878,0.00012433491904022265
1.7333333333333334,0.5461492835594765,0.05471872629518419,8.44491190634438e-05,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.5661702172214687,0.05471872629518419,0.001,1.0,0.11344156683036502,0.09143606952236882,0.00015307844695204575
1.8666666666666667,0.5610251517429417,0.06790216444583332,0.00010697978985727814,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.5862729101794089,0.06790216444583332,0.001,1.0,0.10971696711680026,0.1063429013758006,0.00018552422755727105
2.0,0.5754125180839258,0.08307801279699076,0.00013410448763412426,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.6051864054246212,0.08307801279699076,0.001,1.0,0.10611334435711,0.12127826163933197,0.00022208549729726967
2.1333333333333333,0.5893272376389844,0.10023441088543998,0.00016641546573726245,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.6230033105101542,0.10023441088543998,0.001,1.0,0.10262658672381958,0.13601860236373176,0.0002634768305673496
2.2666666666666666,0.602784623944596,0.11933429538068895,0.00020462095664321034,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.6398069328944869,0.11933429538068895,0.001,1.0,0.0992526887746902,0.15041231072635797,0.00031070774867909823
2.4,0.6157994631630903,0.14032458468761633,0.00024959619140625737,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.6556724129013556,0.14032458468761633,0.001,1.0,0.09598773516137585,0.16436258777676716,0.00036533003415392673
2.533333333333333,0.6283860243710818,0.16314201262032751,0.0003024462597250633,0.25,0.25,0.5,0.0,3.0,1.5,1.0,0.7,0.25,0.001,1.0,1.670667690309226,0.16314201262032751,0.001,1.0,0.09282788234229827,0.17781214375476262,0.0004291821954182373
