Time,CycE,E2F,miR449,Myc,CycD,RE,RB,S,PRB,ksE1,JM,JE,ksE2,kP1,JCD,kP2,JCE,kdE,kRE,ksmiR,kdmiR,ksM,JS,kdM1,kdM2,ksCD1,ksCD2,kdCD1,kdCD2,ksCE,kdCE1,kdCE2,ksR,kP,JP,kdR,kdP,kdRE,compartment,reaction,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,reaction_15,reaction_16,reaction_17,reaction_18,reaction_19,reaction_20,reaction_21,reaction_22,reaction_23,reaction_24
0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.55,3.0,0.0,0.4,0.15,0.15,0.003,18.0,0.92,18.0,0.92,0.25,180.0,1.5,0.02,1.0,0.5,0.7,0.6,0.45,0.03,1.5,1.0,0.35,1.5,0.7,0.18,3.6,0.01,0.06,0.06,0.03,1.0,0.0,0.0,0.0,0.0,0.3,118.80000000000001,1.3333333333333333,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.38571428571428573,0.0,0.0,0.3111111111111111,0.0,0.18,0.0,0.033,0.0,0.0,0.0,0.0
0.2,0.048443397864648345,0.6141708441305673,0.23523866019125195,0.1544336637863637,0.0673144543616624,0.5712085400536754,0.008395934153757943,3.0,0.002859061469257002,0.4,0.15,0.15,0.003,18.0,0.92,18.0,0.92,0.25,180.0,1.5,0.02,1.0,0.5,0.7,0.6,0.45,0.03,1.5,1.0,0.35,1.5,0.7,0.18,3.6,0.01,0.06,0.06,0.03,1.0,0.16308274910548562,0.0015218454674060372,0.46412733230653086,0.33401303229739004,0.15354271103264183,0.9281768339660718,1.2055632235537683,0.004704773203825039,0.07159937775414514,0.016038418140834943,0.008236962556348624,0.8571428571428571,0.10810356465045458,0.38571428571428573,0.015218454674060373,0.10097168154249361,0.28129808549587926,0.07266509679697251,0.18,0.8004177687409341,0.0005037560492254765,0.010957629930566981,0.007885748037532276,0.00017154368815542012,0.017136256201610262
0.4,0.08143270796312559,0.5954359967456448,0.44035872540869475,0.27139510758186747,0.11395351705516665,0.5941764921335769,0.014134371556382893,3.0,0.0064647309807254446,0.4,0.15,0.15,0.003,18.0,0.92,18.0,0.92,0.25,180.0,1.5,0.02,1.0,0.5,0.7,0.6,0.45,0.03,1.5,1.0,0.35,1.5,0.7,0.18,3.6,0.01,0.06,0.06,0.03,1.0,0.20577719452307053,0.0019321185939194245,0.8048949543688282,0.5751887037271421,0.1488589991864112,1.514900450888665,1.1981632212795141,0.008807174508173895,0.17016505627135944,0.04853257394894452,0.02506581045341551,0.8571428571428571,0.18997657530730722,0.38571428571428573,0.019321185939194244,0.17093027558274998,0.27957141829855325,0.12214906194468839,0.18,1.4135081561828333,0.0008480622933829735,0.03103611770066232,0.022178824966005182,0.0003878838588435267,0.017825294764007307
0.6000000000000001,0.10253114453920387,0.5820560098900425,0.6141570728147164,0.35545019493330293,0.14306400818381232,0.6180687498336308,0.018297927289264448,3.0,0.010475197667285491,0.4,0.15,0.15,0.003,18.0,0.92,18.0,0.92,0.25,180.0,1.5,0.02,1.0,0.5,0.7,0.6,0.45,0.03,1.5,1.0,0.35,1.5,0.7,0.18,3.6,0.01,0.06,0.06,0.03,1.0,0.2236561512429088,0.0021097045673127497,1.0348178964630754,0.7416335153820737,0.14551400247251062,1.9170753385045294,1.1926464683572562,0.01228314145629433,0.2591379963129272,0.08265144131953198,0.04310788923856395,0.8571428571428571,0.24881513645331205,0.38571428571428573,0.021097045673127496,0.21459601227571848,0.2782841759500264,0.1537967168088058,0.18,1.841775215800751,0.0010978756373558668,0.050218534411959684,0.03599063017809553,0.0006285118600371294,0.018542062495008924
0.8,0.11499623587597083,0.5705902932010498,0.7599911255191517,0.41320875221514014,0.15932176770408568,0.6430745162549436,0.02121451822386533,3.0,0.014382355573149083,0.4,0.15,0.15,0.003,18.0,0.92,18.0,0.92,0.25,180.0,1.5,0.02,1.0,0.5,0.7,0.6,0.45,0.03,1.5,1.0,0.35,1.5,0.7,0.18,3.6,0.01,0.06,0.06,0.03,1.0,0.2323785725706752,0.0022010067346607846,1.1798566334073457,0.8516041070241062,0.14264757330026245,2.17886367122538,1.18775599376937,0.015199822510383034,0.3345491171100165,0.11218445988974614,0.05910870106876663,0.8571428571428571,0.28924612655059806,0.38571428571428573,0.022010067346607844,0.23898265155612852,0.27714306521285303,0.17249435381395622,0.18,2.1235224754229747,0.0012728710934319198,0.06463863510553225,0.04665526774158417,0.0008629413343889449,0.01929223548764831
1.0,0.12154127851322273,0.5595325618780982,0.8823498594854601,0.4505910862674319,0.16693754117198423,0.6693455049958081,0.023248853646382905,3.0,0.017679746134686106,0.4,0.15,0.15,0.003,18.0,0.92,18.0,0.92,0.25,180.0,1.5,0.02,1.0,0.5,0.7,0.6,0.45,0.03,1.5,1.0,0.35,1.5,0.7,0.18,3.6,0.01,0.06,0.06,0.03,1.0,0.23665557486405467,0.002250738130669453,1.2654895137974862,0.9213578466066185,0.13988314046952455,2.3415283154681266,1.1828898177633511,0.0176469971897092,0.39718769466695175,0.13551589711137033,0.07207525285952902,0.8571428571428571,0.3154137603872023,0.38571428571428573,0.022507381306694527,0.25040631175797634,0.2760076241447819,0.1823119177698341,0.18,2.2994100370419366,0.0013949312187829742,0.07406308108431653,0.05392269169906163,0.0010607847680811663,0.020080365149874244
1.2000000000000002,0.12422283681727773,0.54819696353053,0.9855032178146631,0.4724798377922198,0.16914986853771596,0.6968780873879818,0.024701717540755237,3.0,0.020080555150036438,0.4,0.15,0.15,0.003,18.0,0.92,18.0,0.92,0.25,180.0,1.5,0.02,1.0,0.5,0.7,0.6,0.45,0.03,1.5,1.0,0.35,1.5,0.7,0.18,3.6,0.01,0.06,0.06,0.03,1.0,0.23838375289818273,0.0022770850191774286,1.3122715189124334,0.9637257904074134,0.1370492408826325,2.4374531789695535,1.1777413656137143,0.01971006435629326,0.44881492272738394,0.15305307795763076,0.08206620346270059,0.8571428571428571,0.3307358864545538,0.38571428571428573,0.022770850191774286,0.25372480280657395,0.2748063186432,0.1863342552259166,0.18,2.4032135769955567,0.0014821030524453142,0.07961164836232781,0.0584664054945028,0.0012048333090021862,0.020906342621639453
1.4000000000000001,0.12450380909686137,0.5363881189246665,1.0730779788097977,0.48278097345521803,0.16823396457112944,0.7254696096546093,0.02579000121592237,3.0,0.021580133892700065,0.4,0.15,0.15,0.003,18.0,0.92,18.0,0.92,0.25,180.0,1.5,0.02,1.0,0.5,0.7,0.6,0.45,0.03,1.5,1.0,0.35,1.5,0.7,0.18,3.6,0.01,0.06,0.06,0.03,1.0,0.23848777252541434,0.0022888534597637574,1.3351053717766908,0.9880626944483549,0.13409702973116663,2.4900210430692233,1.1721971231779222,0.021461559576195954,0.49122364887902115,0.16589094675086016,0.08953687507823532,0.8571428571428571,0.3379466814186526,0.38571428571428573,0.022888534597637573,0.2523509468566941,0.27351266207484853,0.18675571364529206,0.18,2.4600428319171375,0.001547400072955342,0.08257390606252571,0.061109930227223226,0.0012948080335620038,0.021764088289638276
1.6,0.12337659346278647,0.5241756986420778,1.14800400987903,0.48457424861954546,0.1656845555756934,0.7547969856960729,0.026660667788661215,3.0,0.02236245425405395,0.4,0.15,0.15,0.003,18.0,0.92,18.0,0.92,0.25,180.0,1.5,0.02,1.0,0.5,0.7,0.6,0.45,0.03,1.5,1.0,0.35,1.5,0.7,0.18,3.6,0.01,0.06,0.06,0.03,1.0,0.23748799828616485,0.002290863124403596,1.344071953481043,1.0008598472752968,0.13104392466051945,2.5154773495894496,1.166259106560509,0.022960080197580602,0.5259840105798663,0.17519502621556807,0.09502396108513222,0.8571428571428571,0.3392019740336818,0.38571428571428573,0.02290863124403596,0.2485268333635401,0.2721271248641188,0.1850648901941797,0.18,2.487599818067247,0.0015996400673196729,0.08399070416246572,0.06254346958350969,0.0013417472552432368,0.022643909570882186
1.8,0.12148868249010318,0.5117169801897744,1.212597599922607,0.4802696789435286,0.16242805471626823,0.7845282590213148,0.027411841799723155,3.0,0.022667100459940737,0.4,0.15,0.15,0.003,18.0,0.92,18.0,0.92,0.25,180.0,1.5,0.02,1.0,0.5,0.7,0.6,0.45,0.03,1.5,1.0,0.35,1.5,0.7,0.18,3.6,0.01,0.06,0.06,0.03,1.0,0.23570907033708197,0.00228601991332615,1.345668028412093,1.006497529791976,0.1279292450474436,2.52487888329495,1.159975477831214,0.02425195199845214,0.5544044520549152,0.18196116448651445,0.09901386457424231,0.8571428571428571,0.33618877526047003,0.38571428571428573,0.022860199133261504,0.24364208207440236,0.27066094482728326,0.18223302373515476,0.18,2.4979738179044584,0.0016447105079833893,0.08459271351590952,0.06327144243192909,0.001360026027596444,0.023535847770639443
