Time,Normal_cells,Tumor_cells,Vitamins,r,beta1,gamma,alpha1,alpha2,beta2,k1,k2,c1,c2,Whole_organism,Normal_cell_growth,Normal_cell_death_inhibition,Tumor_cell_growth,Tumor_cell_inhibition,Vitamin_intake,Vitamin_decay
0.0,1.0,1.0,5.0,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,1.538698710712,0.9817,0.49466,2.4875,0.8976,4.805499999999999
0.03,1.0173254547613695,0.9429825099179207,4.8844378459098845,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,1.5393168457980209,0.9417645527078292,0.47971749313836665,2.291454881088407,0.8976,4.69443321370399
0.06,1.035826268724917,0.8910976174420198,4.772159244749038,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,1.5415497345418658,0.906131011685984,0.465284728231901,2.1155987171922637,0.8976,4.586522250128301
0.09,1.0554273983627145,0.8437929150062827,4.663071832057124,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,1.5452185885184586,0.8742648734949039,0.4514404482527403,1.957496819592446,0.8976,4.481678337790101
0.12,1.0760633215391524,0.8005853449739772,4.557084803183093,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,1.5501691772467932,0.8457154318718308,0.4382327942571435,1.8150468163429225,0.8976,4.3798142043392705
0.15,1.0976766445833717,0.7610516079287273,4.454110029266843,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,1.5562683358530196,0.8201009644171536,0.4256874759612531,1.6864292808333383,0.8976,4.280845149128363
0.18,1.120217019061541,0.7248211796100891,4.354061911698832,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,1.5634009383101406,0.7970982076879726,0.4138144566102214,1.5700683547391212,0.8976,4.184688903333747
0.21,1.143640199874475,0.6915704216317529,4.25685731397701,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,1.571467330500182,0.7764341236676463,0.40261317225826176,1.4645985122080127,0.8976,4.091265564463304
0.24,1.1679062751235458,0.6610105148622815,4.162415410333848,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,1.5803798308819745,0.7578707588236898,0.39207311604532397,1.368821675844097,0.8976,4.000497450871861
0.27,1.1929794468420425,0.6328852988221811,4.070657666798604,0.4312,2.99e-06,0.9817,0.4426,0.4,0.2291,0.8976,0.9611,0.2215,0.4975,1.0,1.5900616239176468,0.7412023031905752,0.38217764676072763,1.281689048442682,0.8976,3.912309083560138
