Time,N,T,I,u,a1,a2,a3,b1,b2,alpha,c1,c2,c3,c4,d1,d2,r1,r2,s,p,v,compartment,Presence_of_Normal_Cell,Normal_cells_attacked_and_removed,Induction_of_tumor_cell,Tumor_cells_removed_by_immune_system,Initiation_immune_response_against_tumor,Removal_of_immune_response_components,Increase_in_amount_of_drug_at_tumor_site,Decrease_of_chemotherapeutic_drug_at_tumor_site
0.0,1.0,0.25,0.15,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.0,0.25,0.28125,0.26875,0.3306818181818182,0.0675,0.0,0.0
0.15,0.9656028846371983,0.25212764855574293,0.18816103948303683,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.03321395381751977,0.24345518474221914,0.2828389460842421,0.26717548495955035,0.3308592324720336,0.08507280833126976,0.0,0.0
0.3,0.9365022007173852,0.2546444025200547,0.2237805978493401,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.05946582876887955,0.2384750433603949,0.2847009461778886,0.2669672816778578,0.3310274056021482,0.10174059620479387,0.0,0.0
0.44999999999999996,0.9115920487344219,0.2574081846286338,0.25698947501187946,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.08059198541860127,0.2346512543866246,0.28672381667223745,0.26772685150236136,0.33118676395603247,0.11754908923384944,0.0,0.0
0.6,0.8900528998901014,0.2603140643555083,0.2879127498212977,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.09785873528732254,0.23169328786179863,0.2888259783813369,0.26916715690467496,0.33133760229938114,0.1325302880500122,0.0,0.0
0.75,0.871264332109715,0.26328385671798943,0.3166713283660808,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.11216279570312725,0.22938983357866896,0.290948201264536,0.2710770579007843,0.3314801497974754,0.14670871431744675,0.0,0.0
0.8999999999999999,0.8547469357725923,0.2662591028257251,0.3433828103658226,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.12415461155995627,0.22758415226184814,0.29304778948224763,0.27329855176873813,0.3316146106712905,0.16010536108694454,0.0,0.0
1.05,0.8401251545612611,0.2691964355940756,0.368161784541609,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.13431487923467822,0.22615869706081332,0.2950945719862804,0.2757126171210909,0.3317411886990669,0.172740197028877,0.0,0.0
1.2,0.8271030597490926,0.27206450198425985,0.39111979597162366,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.14300358830278156,0.2250253820402944,0.2970681131164748,0.27823028829389695,0.33186010165179125,0.18463377170152984,0.0,0.0
1.3499999999999999,0.815444371363552,0.27484113099531077,0.4123652544607184,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.15049484857505352,0.22411765328931882,0.29895522556279386,0.2807851197488953,0.33197158704915425,0.19580798381129666,0.0,0.0
1.5,0.8049564184178977,0.27751108502844907,0.4320032337646407,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.15700158286572813,0.22338432907576503,0.300748024072173,0.2833271721446771,0.3320759027704536,0.20628633289075232,0.0,0.0
1.65,0.7954810473120038,0.2800647029032505,0.45013522035982945,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.1626909506794014,0.22278616318060288,0.30244269763644677,0.2858196565587853,0.3321733262880054,0.21609403082833073,0.0,0.0
1.7999999999999998,0.7868877680096744,0.282496668941491,0.46685881598957807,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.16769540856642723,0.22229317329353776,0.304038451467679,0.2882362034850499,0.33226415132334897,0.22525782358093993,0.0,0.0
1.95,0.7790674285614281,0.2848049511471736,0.48226752727443856,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.17212137031611224,0.22188226093179167,0.30553663642384454,0.29055835070442404,0.3323486835957156,0.23380568500015242,0.0,0.0
2.1,0.7719290776264687,0.2869902522013479,0.4964506635404781,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.17605457674121797,0.2215361206695741,0.3069402710141319,0.2927743712370783,0.3324272379413575,0.24176663384310393,0.0,0.0
2.25,0.7653961420604423,0.2890552557793955,0.5094931831627908,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.17956488777943355,0.22124177761584368,0.3082534723285556,0.29487761880433316,0.33250013357714836,0.24917031900953707,0.0,0.0
2.4,0.759403466876763,0.2910039599868785,0.5214755695531583,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.18270984137231613,0.22098941608890235,0.30948098288825054,0.29686514397709335,0.3325676893227543,0.25604656968701367,0.0,0.0
2.55,0.7538946044489175,0.29284142704396016,0.5324739812323677,0.0,0.2,0.3,0.1,1.0,1.0,0.3,1.0,0.5,1.0,1.0,0.2,1.0,1.5,1.0,0.33,0.01,0.0,1.0,0.1855375298317277,0.22077157180756288,0.31062798847622575,0.29873679207149556,0.33263022173240103,0.26242523677433893,0.0,0.0
