Time,AR_Central,AR_A1,AR_A2,AR_Dose,F1,F2,Lag_time_1,Lag_time_2,k_a_1,k_a_2,base,CL_V,compartment,A1,A2,Central,reaction,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5
0.0,0.01,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.2
0.025,0.012360796565554548,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.24721593131109096
0.05,0.013792635055250389,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.27585270110500776
0.07500000000000001,0.014661273453027028,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.2932254690605406
0.1,0.01518808389156238,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3037616778312476
0.125,0.01550758497240299,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.31015169944805976
0.15000000000000002,0.015701358354120464,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3140271670824093
0.17500000000000002,0.015818878865297443,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.31637757730594884
0.2,0.01589015803108041,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3178031606216082
0.225,0.01593339445668178,0.0,0.0,485.0,0.0,0.0,0.9,4.7,0.3,1.8,0.32,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32,0.3186678891336356
