Time,I,U,V,m,K,xi,gamma,compartment,Tumor_Growth,Conversion_Uninfected_to_Infected,Tumor_Cell_Death,Viral_Decay
16.0,109.27334493615531,7.149169985126507,56.14975182159235,0.1,100.0,0.06,0.1,1.0,1.8860753818827192,3.447993892475612,6.556400696169319,5.6149751821592355
17.0,105.99323111260527,5.73051922724199,56.9519999879863,0.1,100.0,0.06,0.1,1.0,1.6385640630635998,2.921174145768362,6.359593866756316,5.69519999879863
18.0,102.42267983841262,4.569989987855621,57.48181572314786,0.1,100.0,0.06,0.1,1.0,1.4101431521634853,2.455227285804705,6.145360790304757,5.748181572314786
19.0,98.63710152314104,3.627689816013455,57.75075927475789,0.1,100.0,0.06,0.1,1.0,1.2031502284805595,2.0486214125571784,5.918226091388462,5.77507592747579
20.0,94.70510876589185,2.8678185376675907,57.77340489657582,0.1,100.0,0.06,0.1,1.0,1.018539747809291,1.6980493065573077,5.682306525953511,5.777340489657583
21.0,90.68750835952842,2.2588930651369363,57.566634215114085,0.1,100.0,0.06,0.1,1.0,0.8561871738353198,1.399052236758117,5.441250501571705,5.7566634215114085
22.0,86.6368770954655,1.773707870359716,57.14895647190844,0.1,100.0,0.06,0.1,1.0,0.715176393628751,1.1465318764291779,5.19821262572793,5.714895647190844
23.0,82.59763411518124,1.3891010255953624,56.539883232241316,0.1,100.0,0.06,0.1,1.0,0.5940509139147778,0.9351430276852908,4.955858046910874,5.653988323224132
24.0,78.60643028338947,1.0856151152566,55.75937783420275,0.1,100.0,0.06,0.1,1.0,0.4910262605670079,0.7595892801007559,4.716385817003368,5.575937783420276
25.0,74.69275171518298,0.8470997801992524,54.82738534063817,0.1,100.0,0.06,0.1,1.0,0.40416036681414663,0.6148313128970534,4.481565102910978,5.4827385340638175
26.0,70.87966113349206,0.6602920697258654,53.76344915069312,0.1,100.0,0.06,0.1,1.0,0.3314826771701309,0.49622032900233537,4.252779668009524,5.376344915069312
27.0,67.18459034423837,0.514405332004459,52.58640450106237,0.1,100.0,0.06,0.1,1.0,0.2710871823056615,0.39957353275452656,4.031075420654302,5.258640450106237
28.0,63.62013052897567,0.40073676155949994,51.31412333824048,0.1,100.0,0.06,0.1,1.0,0.22119149276361738,0.321199266412802,3.81720783173854,5.1314123338240485
29.0,60.19480738651105,0.31232889136706404,49.96339570384374,0.1,100.0,0.06,0.1,1.0,0.18017843634449487,0.25790366143672144,3.611688443190663,4.996339570384374
30.0,56.91378315088554,0.24365427530845882,48.549803219416425,0.1,100.0,0.06,0.1,1.0,0.14661104503114683,0.20696111744110576,3.4148269890531324,4.8549803219416425
31.0,53.779483890676886,0.1903447847450438,47.08764511625234,0.1,100.0,0.06,0.1,1.0,0.11923365544591051,0.1660721905883277,3.226769033440613,4.708764511625234
32.0,50.792154853730715,0.1489709483654514,45.589937116130635,0.1,100.0,0.06,0.1,1.0,0.09696778470130364,0.13332206662444449,3.0475292912238428,4.558993711613064
33.0,47.950337717920064,0.11685132343706942,44.06842006822825,0.1,100.0,0.06,0.1,1.0,0.07889828325537497,0.10713031715506761,2.8770202630752038,4.406842006822825
34.0,45.25126816564477,0.0918968991424972,42.533592429295275,0.1,100.0,0.06,0.1,1.0,0.0642566844546015,0.08620274407527993,2.715076089938686,4.253359242929528
35.0,42.69120930089987,0.07248628740391087,40.99476684413254,0.1,100.0,0.06,0.1,1.0,0.05240416487702884,0.0694878777579937,2.561472558053992,4.099476684413254
36.0,40.265723551392554,0.05736374673743107,39.46013519524415,0.1,100.0,0.06,0.1,1.0,0.042813506669969234,0.05613610844896171,2.415943413083553,3.9460135195244153
37.0,37.96989101372926,0.04555868332248763,37.93684110509083,0.1,100.0,0.06,0.1,1.0,0.035052505734991274,0.04546447678340644,2.2781934608237555,3.793684110509083
38.0,35.79848487271391,0.0363219371480778,36.43105791801247,0.1,100.0,0.06,0.1,1.0,0.02876880331079922,0.036926293560256174,2.147909092362834,3.643105791801247
39.0,33.746107976202865,0.029075707367293802,34.94806764964936,0.1,100.0,0.06,0.1,1.0,0.0236764137486948,0.030085396353533096,2.0247664785721717,3.4948067649649364
40.0,31.80729930095604,0.023374453148950723,33.49233910942056,0.1,100.0,0.06,0.1,1.0,0.01954403893431981,0.024594676110522483,1.9084379580573623,3.3492339109420564
41.0,29.9766155610948,0.018874538103122663,32.067604242068406,0.1,100.0,0.06,0.1,1.0,0.016185127141587728,0.02017840735861031,1.798596933665688,3.206760424206841
42.0,28.248691235236265,0.015310767261545503,30.676931068562773,0.1,100.0,0.06,0.1,1.0,0.013449543146497607,0.016617864372063473,1.6949214741141758,3.0676931068562774
43.0,26.61828442837887,0.012478265781837833,29.322792678660278,0.1,100.0,0.06,0.1,1.0,0.011216634587405995,0.013739659081948914,1.5970970657027321,2.932279267866028
44.0,25.08030864779478,0.010218538056752415,28.007131919244014,0.1,100.0,0.06,0.1,1.0,0.009389530481341982,0.011406374256602427,1.5048185188676868,2.8007131919244017
