Time,N,S,a,d,u1,r1,e1,Q1,tme,nutrient_supply,nutrient_decay,nutrient_consumption_N,normal_cell_growth,normal_cell_death
302.40000000000003,0.00019128278853011997,0.99512011622452,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.0199024023244904,3.806987015076866e-05,3.0455896120614927e-05,3.06052461648192e-05
303.2,0.0001911639294721867,0.9951673664385874,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019903347328771748,3.8048020850177574e-05,3.0438416680142066e-05,3.058622871554987e-05
304.0,0.00019104629151592864,0.9952138836963796,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019904277673927592,3.802638434907161e-05,3.042110747925729e-05,3.056740664254858e-05
304.8,0.00019092985462893853,0.9952596794977354,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019905193589954708,3.8004957184909314e-05,3.0403965747927456e-05,3.054877674063017e-05
305.6,0.00019081459907319712,0.9953047651790031,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019906095303580063,3.798373594465482e-05,3.038698875572386e-05,3.053033585171154e-05
306.40000000000003,0.00019070050539350276,0.9953491519175697,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019906983038351395,3.7962717262734985e-05,3.0370173810187992e-05,3.0512080862960444e-05
307.20000000000005,0.00019058755440590065,0.995392850736388,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019907857014727758,3.794189781899318e-05,3.0353518255194546e-05,3.0494008704944104e-05
308.0,0.00019047572718611222,0.9954358725085056,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019908717450170112,3.7921274336639944e-05,3.0337019469311957e-05,3.0476116349777958e-05
308.8,0.00019036500505796445,0.9954782279615928,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019909564559231856,3.7900843580200424e-05,3.032067486416034e-05,3.0458400809274312e-05
309.6,0.00019025536958181937,0.9955199276824708,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019910398553649417,3.788060235345892e-05,3.030448188276714e-05,3.0440859133091102e-05
310.40000000000003,0.00019014680254300325,0.9955609821216397,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019911219642432795,3.786054749740036e-05,3.0288437997920297e-05,3.042348840688052e-05
311.20000000000005,0.0001900392909965857,0.9956013999378772,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019912027998757544,3.784067683188047e-05,3.027254146550438e-05,3.040628655945371e-05
312.0,0.00018993282468082962,0.9956411888480975,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01991282377696195,3.7820988673299696e-05,3.025679093863976e-05,3.038925194893274e-05
312.8,0.00018982737870133686,0.995680361312635,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.0199136072262527,3.78014786024755e-05,3.0241182881980404e-05,3.03723805922139e-05
313.6,0.00018972293640888085,0.9957189270254991,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019914378540509984,3.778214373463557e-05,3.0225714987708463e-05,3.035566982542094e-05
314.40000000000003,0.0001896194813773327,0.9957568955486399,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019915137910972797,3.776298122236719e-05,3.021038497789375e-05,3.033911702037323e-05
315.20000000000005,0.00018951699739339659,0.9957942763160468,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019915885526320936,3.77439882537895e-05,3.0195190603031603e-05,3.0322719582943455e-05
316.0,0.00018941546844634578,0.9958310786378486,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019916621572756973,3.772516205072358e-05,3.018012964057887e-05,3.0306474951415325e-05
316.8,0.00018931487871775784,0.9958673117044125,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019917346234088248,3.7706499866860084e-05,3.0165199893488067e-05,3.0290380594841256e-05
317.6,0.0001892152125712506,0.9959029845904432,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019918059691808866,3.7687998985924724e-05,3.0150399188739787e-05,3.0274434011400097e-05
318.40000000000003,0.00018911645454221756,0.9959381062590831,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019918762125181663,3.766965671984163e-05,3.013572537587331e-05,3.025863272675481e-05
319.20000000000005,0.00018901858932756364,0.9959726855660105,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01991945371132021,3.7651470406894484e-05,3.012117632551559e-05,3.0242974292410184e-05
320.0,0.00018892160177544077,0.99600673126354,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.0199201346252708,3.7633437409885795e-05,3.0106749927908637e-05,3.0227456284070525e-05
320.8,0.0001888254768749835,0.9960402520047211,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019920805040094424,3.761555511429405e-05,3.0092444091435242e-05,3.021207629999736e-05
321.6,0.00018873019974604465,0.996073256347438,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01992146512694876,3.759782092642903e-05,3.0078256741143223e-05,3.0196831959367145e-05
322.40000000000003,0.00018863577218573166,0.9961057473211264,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01992211494642253,3.7580235364913204e-05,3.0064188291930562e-05,3.0181723549717067e-05
323.20000000000005,0.00018854217774335818,0.9961377338971601,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019922754677943202,3.756279553626088e-05,3.005023642900871e-05,3.016674843893731e-05
324.0,0.00018844939588935655,0.996169226336398,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019923384526727962,3.754549778133238e-05,3.003639822506591e-05,3.015190334229705e-05
324.8,0.00018835741342018323,0.996200232444453,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01992400464888906,3.7528339806364494e-05,3.00226718450916e-05,3.0137186147229317e-05
325.6,0.00018826621730767487,0.9962307599207472,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019924615198414944,3.751131934716589e-05,3.000905547773272e-05,3.012259476922798e-05
326.40000000000003,0.0001881757946918718,0.9962608163615979,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01992521632723196,3.749443416784333e-05,2.999554733427467e-05,3.010812715069949e-05
327.20000000000005,0.00018808613287384177,0.996290409263302,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019925808185266042,3.747768205952633e-05,2.9982145647621068e-05,3.0093781259814683e-05
328.0,0.00018799721930850364,0.9963195460252218,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019926390920504435,3.7461060839090485e-05,2.996884867127239e-05,3.0079555089360583e-05
328.8,0.000187909041597451,0.9963482339528699,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.0199269646790574,3.7444568347879335e-05,2.9955654678303475e-05,3.0065446655592162e-05
329.6,0.00018782158748177584,0.9963764802609943,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019927529605219887,3.742820245042485e-05,2.9942561960339884e-05,3.0051453997084136e-05
330.40000000000003,0.00018773484483489218,0.9964042920766646,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019928085841533293,3.7411961033166646e-05,2.992956882653332e-05,3.003757517358275e-05
331.20000000000005,0.0001876488016553599,0.9964316764423554,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01992863352884711,3.739584200316986e-05,2.9916673602535898e-05,3.0023808264857588e-05
332.0,0.0001875634460597082,0.9964586403190333,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019929172806380666,3.737984328684184e-05,2.9903874629473472e-05,3.0010151369553314e-05
332.8,0.00018747876627525937,0.9964851905892412,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019929703811784823,3.7363962828647534e-05,2.9891170262918028e-05,2.99966026040415e-05
333.6,0.00018739477140679404,0.9965113268181798,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019930226536363595,3.7348202458674766e-05,2.9878561966939814e-05,2.9983163425087045e-05
334.40000000000003,0.00018731143589015455,0.9965370606184137,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019930741212368274,3.733255754843781e-05,2.9866046038750254e-05,2.996982974242473e-05
335.20000000000005,0.00018722874887157015,0.9965623984362458,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019931247968724915,3.7317026206333905e-05,2.9853620965067124e-05,2.9956599819451225e-05
336.0,0.0001871466999898121,0.996587346508807,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01993174693017614,3.730160663014533e-05,2.9841285304116267e-05,2.9943471998369938e-05
336.8,0.00018706527903770975,0.996611910982639,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01993223821965278,3.72862970440545e-05,2.9829037635243607e-05,2.993044464603356e-05
337.6,0.00018698447595758203,0.9966360979158713,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019932721958317426,3.727109569784172e-05,2.981687655827338e-05,2.9917516153213125e-05
338.40000000000003,0.00018690428083666891,0.9966599132803963,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019933198265607927,3.7256000866081855e-05,2.980480069286549e-05,2.9904684933867026e-05
339.20000000000005,0.00018682468390256293,0.9966833629640458,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019933667259280915,3.7241010847340256e-05,2.9792808677872203e-05,2.9891949424410068e-05
340.0,0.0001867456755186407,0.9967064527727675,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01993412905545535,3.722612396336773e-05,2.9780899170694183e-05,2.9879308082982512e-05
340.8,0.00018666724617949422,0.9967291884328002,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019934583768656006,3.7211338558294606e-05,2.976907084663569e-05,2.9866759388719077e-05
341.6,0.00018658938650636267,0.9967515755928509,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019935031511857017,3.719665299782408e-05,2.9757322398259273e-05,2.9854301841018027e-05
342.40000000000003,0.00018651208724256358,0.99677361982627,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019935472396525402,3.7182065668424634e-05,2.9745652534739714e-05,2.9841933958810173e-05
343.20000000000005,0.00018643533924892448,0.996795326633228,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01993590653266456,3.716757497652167e-05,2.9734059981217344e-05,2.982965427982792e-05
344.0,0.00018635913633641236,0.9968167004084146,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019936334008168292,3.715317987476489e-05,2.972254389981192e-05,2.9817461813825976e-05
344.8,0.0001862834753961632,0.9968377443941383,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019936754887882765,3.713887988636246e-05,2.9711103909089968e-05,2.9805356063386112e-05
345.6,0.00018620834232874807,0.9968584658111982,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019937169316223965,3.7124672491016445e-05,2.969973799281316e-05,2.979333477259969e-05
346.40000000000003,0.00018613372891136177,0.9968788697094118,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019937577394188236,3.711055625839128e-05,2.9688445006713026e-05,2.9781396625817884e-05
347.20000000000005,0.0001860596270544156,0.9968989610622413,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019937979221244826,3.709652978123501e-05,2.9677223824988007e-05,2.9769540328706497e-05
348.0,0.00018598602879826829,0.9969187447684965,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01993837489536993,3.7082591674809416e-05,2.9666073339847535e-05,2.9757764607722927e-05
348.8,0.0001859129263099569,0.9969382256540364,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01993876451308073,3.7068740576319614e-05,2.9654992461055694e-05,2.9746068209593104e-05
349.6,0.00018584031187992789,0.9969574084734721,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019939148169469442,3.705497514434295e-05,2.964398011547436e-05,2.9734449900788462e-05
350.40000000000003,0.00018576817791876783,0.9969762979118689,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019939525958237378,3.704129405825731e-05,2.963303524660585e-05,2.9722908467002852e-05
351.20000000000005,0.00018569651695393455,0.9969948985864485,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01993989797172897,3.702769601766894e-05,2.9622156814135155e-05,2.971144271262953e-05
352.0,0.00018562532162648792,0.9970132150482912,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019940264300965824,3.701417974183957e-05,2.9611343793471656e-05,2.970005146023807e-05
352.8,0.0001855545846878209,0.9970312517840386,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019940625035680774,3.70007439691131e-05,2.9600595175290486e-05,2.9688733550051347e-05
353.6,0.0001854842989963904,0.9970490132175959,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01994098026435192,3.698738745634171e-05,2.9589909965073376e-05,2.9677487839422464e-05
354.40000000000003,0.0001854144575144482,0.9970665037118334,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01994133007423667,3.697410897831143e-05,2.957928718264915e-05,2.9666313202311715e-05
355.20000000000005,0.00018534505496865748,0.9970837265238893,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019941674530477786,3.6960907620184825e-05,2.9568726096147863e-05,2.9655208794985197e-05
356.0,0.0001852760845823271,0.9971006858598798,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019942013717197594,3.694778220209429e-05,2.9558225761675434e-05,2.9644173533172335e-05
356.8,0.00018520753883554552,0.9971173863965054,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019942347727930108,3.693473141292569e-05,2.9547785130340553e-05,2.9633206213687286e-05
357.6,0.00018513941120985595,0.9971338321834893,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019942676643669787,3.6921754117575705e-05,2.953740329406057e-05,2.962230579357695e-05
358.40000000000003,0.00018507169528482508,0.9971500272113814,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019943000544227627,3.6908849197863965e-05,2.9527079358291176e-05,2.9611471245572012e-05
359.20000000000005,0.00018500438473512658,0.9971659754130402,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019943319508260806,3.689601555201837e-05,2.9516812441614706e-05,2.9600701557620253e-05
360.0,0.00018493747332762485,0.9971816806651123,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019943633613302245,3.688325209416007e-05,2.9506601675328055e-05,2.9589995732419977e-05
360.8,0.00018487095491845847,0.9971971467895132,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019943942935790264,3.68705577537879e-05,2.9496446203030328e-05,2.9579352786953356e-05
361.6,0.000184804823450124,0.9972123775549082,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019944247551098165,3.685793147526265e-05,2.948634518021012e-05,2.9568771752019843e-05
362.40000000000003,0.00018473907294855945,0.9972273766781924,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01994454753356385,3.684537221729064e-05,2.9476297773832512e-05,2.9558251671769512e-05
363.20000000000005,0.00018467369752022794,0.9972421478259713,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019944842956519427,3.683287895240717e-05,2.9466303161925745e-05,2.954779160323647e-05
364.0,0.00018460869134920134,0.9972566946160417,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019945133892320836,3.682045066645952e-05,2.9456360533167618e-05,2.9537390615872213e-05
364.8,0.00018454404869424376,0.9972710206188715,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01994542041237743,3.6808086358089446e-05,2.9446469086471556e-05,2.9527047791079003e-05
365.6,0.00018447976388589535,0.9972851293590811,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019945702587181622,3.679578503821558e-05,2.9436628030572467e-05,2.951676222174326e-05
366.40000000000003,0.0001844158346304953,0.9972990225684834,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019945980451369666,3.678354632462881e-05,2.9426837059703048e-05,2.950653354087925e-05
367.20000000000005,0.00018435225338643083,0.9973127047455586,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019946254094911173,3.6771368890151984e-05,2.9417095112121588e-05,2.9496360541828933e-05
368.0,0.00018428901462877524,0.9973261793144444,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01994652358628889,3.6759251769868034e-05,2.9407401415894433e-05,2.9486242340604038e-05
368.8,0.00018422611312149566,0.9973394495383915,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01994678899076783,3.674719405023799e-05,2.939775524019039e-05,2.9476178099439307e-05
369.6,0.000184163543699137,0.9973525186351277,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019947050372702554,3.6735194829820943e-05,2.9388155863856754e-05,2.946616699186192e-05
370.40000000000003,0.00018410130126434723,0.9973653897781074,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01994730779556215,3.672325321883449e-05,2.9378602575067597e-05,2.9456208202295557e-05
371.20000000000005,0.0001840393807854028,0.9973780660977561,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019947561321955125,3.6711368338714714e-05,2.936909467097178e-05,2.944630092566445e-05
372.0,0.0001839777772937339,0.9973905506827193,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019947811013654386,3.669953932167599e-05,2.9359631457340797e-05,2.9436444366997423e-05
372.8,0.00018391648588144996,0.9974028465811084,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01994805693162217,3.668776531027049e-05,2.9350212248216397e-05,2.9426637741031993e-05
373.6,0.0001838555016988648,0.997414956801748,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01994829913603496,3.667604545694739e-05,2.9340836365557916e-05,2.9416880271818366e-05
374.40000000000003,0.0001837948199520222,0.9974268843154226,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019948537686308453,3.6664378923611916e-05,2.9331503138889538e-05,2.9407171192323553e-05
375.20000000000005,0.0001837344359002211,0.9974386320561237,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019948772641122475,3.665276488118402e-05,2.9322211904947218e-05,2.9397509744035376e-05
376.0,0.000183674344853541,0.9974502029222972,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019949004058445945,3.6641202509156895e-05,2.9312962007325522e-05,2.9387895176566562e-05
376.8,0.00018361454342684695,0.9974615992686625,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01994923198537325,3.662969122710561e-05,2.9303752981684492e-05,2.9378326948295513e-05
377.6,0.00018355503063699743,0.9974728224616045,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01994945644923209,3.6618230897302425e-05,2.9294584717841942e-05,2.9368804901919588e-05
378.40000000000003,0.00018349579886760652,0.9974838765426642,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019949677530853284,3.6606820156750634e-05,2.9285456125400513e-05,2.9359327818817046e-05
379.20000000000005,0.00018343684387228098,0.9974947641730697,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019949895283461395,3.6595458263806627e-05,2.9276366611045306e-05,2.9349895019564958e-05
380.0,0.0001833781614638565,0.9975054879762959,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01995010975952592,3.658414448704003e-05,2.926731558963203e-05,2.934050583421704e-05
380.8,0.000183319747512626,0.9975160505390264,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01995032101078053,3.6572878104921236e-05,2.9258302483936997e-05,2.9331159602020162e-05
381.6,0.00018326159794456847,0.9975264544121156,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019950529088242314,3.656165840550881e-05,2.9249326724407055e-05,2.9321855671130955e-05
382.40000000000003,0.00018320370873957706,0.9975367021115502,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019950734042231005,3.655048468613654e-05,2.9240387748909235e-05,2.931259339833233e-05
383.20000000000005,0.00018314607592968775,0.9975467961194114,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019950935922388228,3.6539356253100496e-05,2.92314850024804e-05,2.930337214875004e-05
384.0,0.00018308869559730768,0.9975567388848368,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019951134777696736,3.652827242134576e-05,2.9222617937076616e-05,2.929419129556923e-05
384.8,0.00018303156387344376,0.9975665328249818,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019951330656499636,3.6517232514153096e-05,2.9213786011322482e-05,2.9285050219751004e-05
385.6,0.00018297467693593103,0.997576180325982,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019951523606519642,3.650623586282533e-05,2.920498869026027e-05,2.9275948309748964e-05
386.40000000000003,0.00018291803100766113,0.9975856837439152,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019951713674878305,3.649528180637366e-05,2.9196225445098936e-05,2.926688496122578e-05
387.20000000000005,0.0001828616223548108,0.9975950454057626,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.01995190090811525,3.6484369691203775e-05,2.9187495752963024e-05,2.9257859576769726e-05
388.0,0.0001828054496910567,0.9976042666044437,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019952085332088875,3.647349931406843e-05,2.9178799451254753e-05,2.9248871950569075e-05
388.8,0.00018274950987849298,0.9976133493964562,0.02,0.02,0.2,0.8,0.14,1.0,1.0,0.02,0.019952266987929124,3.646267013008883e-05,2.9170136104071068e-05,2.9239921580558878e-05
