Time,C,M,X,V1,V3,VM1,VM3,Kc,cell,reaction1,reaction2,reaction3,reaction4,reaction5,reaction6,reaction7
0.0,0.01,0.01,0.01,0.0588235294117647,0.01,3.0,1.0,0.5,1.0,0.025,0.0001,0.0008333333333333334,0.058527933786579944,1.0,0.009949748743718593,0.33333333333333337
0.1,0.0124715046391167,0.0002525599870757288,5.915865077031185e-06,0.07300798889042126,0.0002525599870757288,3.0,1.0,0.5,1.0,0.025,0.000124715046391167,5.680344934163011e-07,0.07264467376274358,0.07212482704543194,0.0002513034623306447,0.0005908873856932224
0.2,0.014957758729708807,0.0003047825797957934,2.9823906119671553e-06,0.08713972248873235,0.0003047825797957934,3.0,1.0,0.5,1.0,0.025,0.00014957758729708807,3.190270259920987e-07,0.0867060600158857,0.08618145283369726,0.00030326624405322176,0.0002980612741675418
0.30000000000000004,0.01744152256292712,0.00035748347372184736,3.506803971488484e-06,0.1011217024671963,0.00035748347372184736,3.0,1.0,0.5,1.0,0.025,0.00017441522562927118,4.0839685732385665e-07,0.10061843040373215,0.1000890088066394,0.0003557049427710328,0.0003504346160481874
0.4,0.0199227946436967,0.00041066909969232005,4.036315465411032e-06,0.11495626763594659,0.00041066909969232005,3.0,1.0,0.5,1.0,0.025,0.000199227946436967,5.035637212540274e-07,0.11438411210880732,0.11384981010454129,0.00040862596163738336,0.0004033059725142728
0.5,0.022401576932198256,0.00046434612508923544,4.570831429235387e-06,0.12864572727987222,0.00046434612508923544,3.0,1.0,0.5,1.0,0.025,0.00022401576932198257,6.037147631906349e-07,0.12800540293307758,0.12746615453875162,0.00046203593485546796,0.00045666567455995236
0.6000000000000001,0.024877871453476336,0.000518521328193542,5.1104217380468105e-06,0.14219234305640624,0.000518521328193542,3.0,1.0,0.5,1.0,0.025,0.00024877871453476334,7.082355454624142e-07,0.14148455328588494,0.1409402892613112,0.0005159416069752026,0.0005105203789162551
0.7000000000000001,0.02735168027330376,0.0005732016121969274,5.655155479996254e-06,0.15559833008853916,0.0005732016121969274,3.0,1.0,0.5,1.0,0.025,0.0002735168027330376,8.166447509988606e-07,0.15482376727152608,0.1542744149814565,0.0005703498468355731,0.0005648766549374871
0.8,0.02982300549984907,0.0006283940157593794,6.205108895370369e-06,0.1688658581654826,0.0006283940157593794,3.0,1.0,0.5,1.0,0.025,0.0002982300549984907,9.285619908776554e-07,0.16802520388394301,0.16747068897448097,0.0006252676580696413,0.0006197417764950045
0.9,0.032291849279769705,0.0006841057568124848,6.760358038102193e-06,0.18199705287689247,0.0006841057568124848,3.0,1.0,0.5,1.0,0.025,0.00032291849279769707,1.0436830301970774e-06,0.18109097813526925,0.18053123554023617,0.0006807022226899259,0.0006751229891848905
1.0,0.03475821378936131,0.0007403441372111688,7.3209785579082174e-06,0.19499399668717796,0.0007403441372111688,3.0,1.0,0.5,1.0,0.025,0.00034758213789361307,1.1617624108501435e-06,0.1940231621248772,0.1934581236372137,0.0007366608062145091,0.0007310274884771452
1.1,0.03722210123286283,0.0007971165989856455,7.887047981381659e-06,0.20785873001562516,0.0007971165989856455,3.0,1.0,0.5,1.0,0.025,0.0003722210123286283,1.2826010058454259e-06,0.20682378611409177,0.20625338098041401,0.0007931508136391108,0.0007874626470020757
1.2000000000000002,0.03968351381409116,0.0008544305813197512,8.45864363504866e-06,0.2205932521468197,0.0008544305813197512,3.0,1.0,0.5,1.0,0.025,0.0003968351381409116,1.4060361064929332e-06,0.21949483943224427,0.21891896302760638,0.0008501796471269788,0.0008444358071917241
1.3,0.042142453783485814,0.0009122942463899292,9.035851414954609e-06,0.23319952250215858,0.0009122942463899292,3.0,1.0,0.5,1.0,0.025,0.00042142453783485813,1.5319356070807593e-06,0.23203827174106528,0.23145691208120597,0.0009077554282366595,0.0009019551549428577
1.4000000000000001,0.04459892334068563,0.0009707149644261006,9.618747799138992e-06,0.24567946113686573,0.0009707149644261006,3.0,1.0,0.5,1.0,0.025,0.00044598923340685633,1.6601894178049136e-06,0.24445599353089764,0.2438690266265469,0.0009658854905200089,0.0009600279266126558
1.5,0.047052924703815974,0.001029700472900419,1.0207413442871294e-05,0.2580349500697282,0.001029700472900419,3.0,1.0,0.5,1.0,0.025,0.00047052924703815975,1.7907073340561115e-06,0.25674987744262323,0.2561571202902,0.001024577532943734,0.0010186617639305526
1.6,0.04950446013834636,0.0010892598439141252,1.0801943414586993e-05,0.27026783436416246,0.0010892598439141252,3.0,1.0,0.5,1.0,0.025,0.0004950446013834637,1.9234174904736454e-06,0.268921759341984,0.26832321296063083,0.0010838405824632534,0.0010778657325284404
1.7000000000000002,0.051953531879873595,0.0011494011416961782,1.1402422197891602e-05,0.2823799226517896,0.0011494011416961782,3.0,1.0,0.5,1.0,0.025,0.000519535318798736,2.058259301832969e-06,0.2809734388434772,0.2803690429063002,0.001143682663175793,0.0011376478316114502
1.8,0.05440014219044208,0.001210132804090824,1.200893898338082e-05,0.2943729883014085,0.001210132804090824,3.0,1.0,0.5,1.0,0.025,0.0005440014219044208,2.195183937216269e-06,0.29290668047184387,0.2922963587736003,0.0012041121709347338,0.0011980165168876049
1.9000000000000001,0.05684429332137463,0.0012714633740513828,1.2621583093864166e-05,0.30624877009506013,0.0012714633740513828,3.0,1.0,0.5,1.0,0.025,0.0005684429332137464,2.3341517650737226e-06,0.30472321433511074,0.30410686427161904,0.0012651376061792816,0.0012589802446321848
