Time,Normal_cells,Tumor_cells,Immune_cells,r,beta_1,eta,gamma,alpha_1,alpha_2,beta_2,alpha_3,sigma,delta,mu,rho,m,mu_1,rho_1,m_1,Whole_organism,Normal_cell_growth,Normal_cell_death_inhibition,Tumor_cell_growth,Tumor_cell_death_inhibition,Immune_cell_increase,Immune_cell_decrease
0.0,1.0,1.0,1.22,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,0.431198710712,1.0996380000000001,1.45456,0.179218,1.3953242082039075,2.1306079999999996
0.3,0.7771026545547067,1.4015004888800695,1.046384507070681,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,0.33508588605774714,1.1265299551640715,1.5675130005040583,0.21543008369794361,1.3458204496001733,1.790457789761335
0.6,0.5434008142873575,1.7805552129359619,0.9423133102314749,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,0.2343140504140171,0.9717930909160284,1.3772132932664054,0.24647482479480928,1.299392673272079,1.563145717179566
0.8999999999999999,0.3471861640053166,2.063253188545195,0.8810979657384371,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,0.14970651851059588,0.7093768215027234,1.0112540415782458,0.2670536507041627,1.2579954001555511,1.4115617272774599
1.2,0.2087688444824546,2.2300487387335215,0.8458653586440644,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,0.09002106954795129,0.4579787670111461,0.6601352976252665,0.2771005514012201,1.2244487649458322,1.3112002383170047
1.5,0.12160517761527964,2.3045122739765316,0.8265689908011901,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,0.052436133521950715,0.2748771455666169,0.4129633064922559,0.2798207586962324,1.2001047152217814,1.2450813447629074
1.7999999999999998,0.0700350224725784,2.3205122945894665,0.817453870633361,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,0.030199095366341456,0.15926328572107856,0.26697063514125724,0.2786563371127694,1.1842113939869683,1.2018310141409252
2.1,0.04036307173879713,2.3045665912250133,0.8151186838827654,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,0.017404554433290243,0.09117526241499613,0.19033697322414816,0.27595095762497407,1.1748862098879758,1.1740111011730139
2.4,0.023423092867558788,2.273223807324589,0.8173929291450934,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,0.010100036937134732,0.05223347692904158,0.15457584218500992,0.2729573970646497,1.1701955838256548,1.1567193042756863
2.6999999999999997,0.013723873273068569,2.2357122483684937,0.8227941648838006,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,0.005917733912516609,0.030134959206674517,0.14108951511792633,0.27022710277134365,1.1686151753089506,1.146658569867687
3.0,0.008125692343170829,2.196834060810605,0.8302737300627459,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,0.0035037984532476025,0.017556582076519042,0.13913416993238284,0.26794172330872235,1.169067525997251,1.141572980257548
3.3,0.004861506694558022,2.1589393661256713,0.8390805805341283,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,0.0020962816562220678,0.010338214395340065,0.1428391117881789,0.26611288980033987,1.1708222489812257,1.139900173866942
3.5999999999999996,0.002937631164822151,2.123079450250153,0.8486765971935121,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,0.0012667065471451727,0.006152776534843077,0.14908870587164474,0.2646855721968955,1.1733901231823092,1.1405495200366997
3.9,0.0017916538157390707,2.0896385889439766,0.8586781807346044,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,0.0007725611212080427,0.0036992296093100382,0.15626455409705106,0.2635866454000495,1.1764434870563456,1.1427557804640625
4.2,0.001102142135667679,2.058669903733961,0.8688142021357294,0.4312,2.99e-06,0.1379,0.9314,0.4426,0.4,1.189,0.1469,0.7,0.57,0.813,0.271,0.813,0.3634,0.7829,0.862,1.0,0.00047524368733378286,0.0022453441652938,0.1635479985800858,0.2627455823664113,1.1797622639720593,1.1459804284111965
