Time,Mdm2_p_nuc,p53_total,Mdm2_cyt,Mdm2_p_cyt,DNA_damage,kd2_0,IR,p53_ub,p53_ub_ub,p53,MDM2_total,Kf,Kr,ks53,kDNA,kdDNA,Jdna,vratio,kd53,ks2,ks2_0,kd2,kd2_,kph,kdeph,kin,kout,kd53_0,m,Js,Jdam,Jph,ampl,step,t_on,t_off,ModelValue_6,Cyt,Nuc,DNA_Damage,DNA_Repair,p53_total_production,p53_total_degradation,p53_ubiquitination_1,p53_ubiquitination_2,p53_ub_degradation,p53_ub_ub_degradation,p53_deubiquitination_1,p53_deubiquitination_2,Mdm2_cyt_production,Mdm2_cyt_phosphorylation,Mdm2_cyt_degradation,Mdm2_p_cyt_degradation,Mdm2_p_nuc_translocation_out,Mdm2_p_cyt_dephosphorylation,Mdm2_p_cyt_translocation_out,Mdm2_p_nuc_degradation,p53_total_degradation_2,Mdm2_p_cyt_translocation_in,Mdm2_p_nuc_translocation_in
0.0,0.331800000000002,0.07118,0.1161,0.01187,0.0,0.01,0.0,0.02456,0.006826,0.039793999999999996,0.1500900000000001,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.0,0.055,0.0003914899999999999,0.11619211296000069,0.07171127040000043,0.00013508,0.05464554299999999,0.061399999999999996,0.017065,0.001501251961096576,0.07150776053215079,0.001161,0.00011870000000000001,2.488500000000015,0.07122,0.16618,0.0033180000000000197,0.054608,0.165900000000001,2.4927
1.2,0.3317159216607428,0.07118533422126257,0.11611342450968584,0.011862600610946843,0.0,0.01,0.0,0.024561541072456266,0.006824787771043291,0.03979900537776301,0.15009041989801555,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.0,0.055,0.0003915193382169441,0.11617728100057655,0.07169759726147058,0.00013508847589850946,0.05463583850108707,0.061403852681140667,0.01706196942760823,0.0015012522425243962,0.07151132998555518,0.0011611342450968585,0.00011862600610946843,2.487869412455571,0.07117560366568106,0.16607640855325578,0.0033171592166074283,0.05459830216834633,0.1658579608303714,2.491146128298837
2.4,0.3316746318901313,0.07119731927085919,0.11611802359828405,0.011861169714436954,0.0,0.01,0.0,0.024565052623496196,0.006824879512751235,0.03980738713461176,0.15009083543872975,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.0,0.055,0.0003915852559897255,0.11618728417454668,0.07169892211908628,0.00013510778942922908,0.05463657293933001,0.061412631558740494,0.017062198781878087,0.0015012528749965824,0.07150360667138275,0.0011611802359828404,0.00011861169714436954,2.487559739175985,0.07116701828662172,0.16605637600211734,0.003316746318901313,0.05459903610200988,0.16583731594506565,2.4908456400317602
3.5999999999999996,0.33164047728617047,0.07120771232612944,0.11612191119495577,0.011859970382146645,0.0,0.01,0.0,0.024568181500793956,0.006825048060038463,0.03981448276529702,0.15009124672951377,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.0,0.055,0.0003916424177937119,0.11619602779122899,0.07170067026299384,0.00013512499825436676,0.05463792224463791,0.06142045375198489,0.01706262015009616,0.0015012534236287292,0.07149684917154865,0.0011612191119495577,0.00011859970382146645,2.4873035796462784,0.07115982229287987,0.16603958535005303,0.0033164047728617045,0.054600384480307705,0.16582023864308523,2.4905937802507956
4.8,0.33161157533635566,0.07121654351255395,0.11612525971090522,0.011858955652847994,0.0,0.01,0.0,0.02457084380662942,0.006825195398788373,0.039820504307136156,0.15009165371951028,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.0,0.055,0.0003916909893190467,0.1162034734430025,0.0717021907541273,0.0001351396409364618,0.054639101765000316,0.061427109516573555,0.01706298849697093,0.0015012538899382068,0.0714911363427793,0.0011612525971090523,0.00011858955652847994,2.4870868150226673,0.07115373391708796,0.16602537913987192,0.0033161157533635566,0.054601563190306984,0.16580578766817783,2.4903806870980785
6.0,0.3315871646653296,0.0712240158370315,0.11612814579290648,0.011858099597779195,0.0,0.01,0.0,0.024573095191794847,0.00682531917255972,0.039825601472676934,0.15009205636837433,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.0,0.055,0.00039173208710367323,0.11620979280606364,0.07170348206294679,0.00013515202355487166,0.05464009263592683,0.06143273797948712,0.0170632979313993,0.0015012542845865397,0.07148633602770078,0.0011612814579290648,0.00011858099597779195,2.4869037349899723,0.07114859758667516,0.16601339436890872,0.003315871646653296,0.05460255338047776,0.1657935823326648,2.490200915533631
7.199999999999999,0.3315666580160938,0.07123032341291478,0.11613062993266668,0.01185738084729983,0.0,0.01,0.0,0.02457499767619295,0.006825426182156844,0.03982989955456499,0.1500924546477061,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.0,0.055,0.00039176677877103127,0.11621514682292962,0.0717045986821874,0.00013516248721906122,0.05464094930125661,0.061437494190482375,0.01706356545539211,0.0015012546177834809,0.07148231414907989,0.0011613062993266667,0.0001185738084729983,2.4867499351207036,0.07114428508379898,0.16600333186219762,0.003315666580160938,0.054603409457254753,0.1657833290080469,2.4900499779329643
8.4,0.3315495279196896,0.07123562769930881,0.11613276600540258,0.01185678067425276,0.0,0.01,0.0,0.024576600635433123,0.00682551975420876,0.03983350730966693,0.15009284854096797,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.0,0.055,0.00039179595234619844,0.11621966878636908,0.07170557097922765,0.00013517130349488218,0.05464169839231823,0.06144150158858281,0.0170637993855219,0.0015012548980274276,0.0714789614448875,0.0011613276600540257,0.0001185678067425276,2.4866214593976723,0.07114068404551656,0.16599492943953864,0.0033154952791968964,0.05460415803367008,0.1657747639598448,2.4899239415930796
9.6,0.33153532679448405,0.07124005725355853,0.11613459942449955,0.01185628350034556,0.0,0.01,0.0,0.02457794162855185,0.006825600765712051,0.03983651485929463,0.15009323804447738,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.0,0.055,0.00039182031489457187,0.11622346535562018,0.07170641200586768,0.00013517867895703516,0.054642346929907826,0.06144485407137962,0.01706400191428013,0.0015012551320881854,0.07147619250318325,0.0011613459942449956,0.00011856283500345561,2.4865149509586306,0.07113770100207337,0.16598796900483784,0.0033153532679448404,0.05460480612569641,0.16576766339724203,2.489819535072568
10.799999999999999,0.3315238328069617,0.0712436766716864,0.11613615225347168,0.011855881553484741,0.0,0.01,0.0,0.024579039813436884,0.006825669932052131,0.03983896692619739,0.15009362266075388,8.8,2.5,0.055,0.18,0.017,1.0,15.0,0.0055,0.0015,0.006,0.01,0.01,0.05,6.0,14.0,0.5,8.0,3.0,1.2,0.2,0.01,1.0,0.0,10.0,20.0,15.0,1.0,1.0,0.0,0.0,0.055,0.0003918402216942752,0.11622658969189613,0.07170712987385644,0.00013518471897390285,0.05464290064104333,0.06144759953359221,0.017064174830130327,0.0015012553233623776,0.07147396388939238,0.0011613615225347167,0.00011855881553484742,2.4864287460522125,0.07113528932090844,0.16598234174878637,0.003315238328069617,0.05460535945641705,0.16576191640348084,2.4897351262317957
