Time,H,T,b1,u1,b2,u2,v,k,bone_marrow,HSC_growth,HSC_death,Tumor_growth,Tumor_death,Tumor_inhibition,HSC_inhibition
0.0,0.5,0.0001,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.19996400000000003,0.05,1.8998e-05,1e-05,4.000000000000001e-06,9e-06
10.0,0.8742722047101661,0.00012150042247431558,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08785977182670775,0.08742722047101661,2.2172643179734102e-05,1.2150042247431558e-05,8.49795537838692e-06,1.912039960137057e-05
20.0,0.874847039810776,0.00013767372099148697,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.087505038114045,0.0874847039810776,2.5122084442224325e-05,1.3767372099148698e-05,9.635475781530967e-06,2.1679820508444673e-05
30.0,0.8748278792190125,0.0001559843104262814,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08750499798323512,0.08748278792190126,2.846280739460317e-05,1.559843104262814e-05,1.091675387853311e-05,2.45626962266995e-05
40.0,0.8748046643710042,0.00017672714165022552,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08750585760854877,0.08748046643710043,3.224714727679449e-05,1.7672714165022553e-05,1.2368138226925797e-05,2.7828311010583042e-05
50.0,0.8747787670074367,0.00020022440784390292,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08750659115666307,0.08747787670074368,3.6533822393711626e-05,2.0022440784390293e-05,1.4012164849478685e-05,3.152737091132704e-05
60.0,0.8747492673981084,0.00022684081165720162,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08750752050731937,0.08747492673981085,4.1389294304411075e-05,2.2684081165720163e-05,1.5874306705050355e-05,3.571719008636329e-05
70.0,0.8747159676869243,0.0002569888746933547,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08750850441236876,0.08747159676869243,4.688872083808428e-05,2.569888746933547e-05,1.798338177697372e-05,4.0462608998190865e-05
80.0,0.8746782103242885,0.0002911355068310976,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08750964305001523,0.08746782103242885,5.3117151708014376e-05,2.911355068310976e-05,2.037199072615033e-05,4.583697913383824e-05
90.0,0.8746354627006189,0.0003298085265559461,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08751092326175122,0.08746354627006189,6.017070591381404e-05,3.2980852655594614e-05,2.3076978658149546e-05,5.1923201980836466e-05
100.0,0.8745870562735529,0.0003736046470096341,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08751236997017571,0.0874587056273553,6.815801754670788e-05,3.7360464700963414e-05,2.6139983075062065e-05,5.8814961918889644e-05
110.0,0.8745322325114708,0.00042319886358939743,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.0875140126941596,0.08745322325114709,7.720193232282777e-05,4.231988635893975e-05,2.9608083757692254e-05,6.661818845480758e-05
120.0,0.8744701501867621,0.0004793541368036043,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.0875158750588007,0.08744701501867622,8.744125360296085e-05,4.793541368036043e-05,3.353447072026348e-05,7.545255912059284e-05
130.0,0.8743998690771095,0.0005429321670860083,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08751797776064582,0.08743998690771096,9.90326820332352e-05,5.4293216708600836e-05,3.797918526542057e-05,8.545316684719627e-05
140.0,0.874320316835027,0.0006149056389697405,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08752035068859691,0.0874320316835027,0.0001121530161432274,6.149056389697406e-05,4.300995944701347e-05,9.677240875578028e-05
150.0,0.8742302683432318,0.0006963723604520845,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.0875230363518099,0.08742302683432318,0.00012700168928663988,6.963723604520846e-05,4.870318364358685e-05,0.00010958216319807041
160.0,0.8741283515374099,0.0007885710211689529,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08752607641422092,0.08741283515374099,0.00014380358964661335,7.88571021168953e-05,5.514498294436711e-05,0.000124076211624826
170.0,0.8740130230519454,0.0008928980306385354,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08752951562497041,0.08740130230519455,0.00016281206260837316,8.928980306385354e-05,6.24323605628412e-05,0.0001404728112663927
180.0,0.8738825443330692,0.0010109267870701962,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.0875334039179945,0.08738825443330693,0.0001843123373638889,0.00010109267870701962,7.067450182554864e-05,0.00015901762910748446
190.0,0.8737349577467373,0.0011444286658308313,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08753779740740726,0.08737349577467374,0.0002086252431322541,0.00011444286658308314,7.999418655870851e-05,0.00017998691975709417
200.0,0.8735680578498882,0.0012953960294240757,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08754276097603933,0.08735680578498883,0.0002361112638387967,0.00012953960294240758,9.052932748563572e-05,0.00020369098684268038
210.0,0.8733793676094443,0.0014660677797853424,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08754836626258246,0.08733793676094444,0.00026717501800245345,0.00014660677797853424,0.00010243466803052038,0.00023047800306867083
220.0,0.8731661067127259,0.0016589563272197845,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08755469344573283,0.0873166106712726,0.00030226994947593356,0.00016589563272197846,0.00011588355499559538,0.00026073799874008963
230.0,0.8729251589007674,0.0018768782202771095,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08756183124962554,0.08729251589007675,0.00034190362531121607,0.00018768782202771095,0.00013106993749382282,0.00029490735936110144
240.0,0.8726530338944818,0.0021229862501504822,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.0875698791810713,0.08726530338944818,0.0003866432280642291,0.00021229862501504824,0.00014821043136880704,0.0003334734705798158
250.0,0.872345830948069,0.0024008034930007517,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08757894747948143,0.0872345830948069,0.0004371213087568541,0.00024008034930007518,0.0001675464734435814,0.00037697956524805815
260.0,0.8719991985455751,0.002714259470571476,0.2,0.1,0.8,0.1,0.1,0.9,1.0,0.08758915792541207,0.08719991985455751,0.0004940418115599166,0.0002714259470571476,0.00018934656663864514,0.00042602977493695155
