Time,N,S,T,a,d,u1,u2,r1,e1,r2,e2,Q1,Q2,tme,nutrient_supply,nutrient_decay,nutrient_consumption_N,nutrient_consumption_T,normal_cell_growth,normal_cell_death,tumor_growth,tumor_death
0.0,0.2,0.1,0.1,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002,0.004000000000000001,0.005000000000000001,0.003200000000000001,0.006,0.004000000000000001,0.0028000000000000004
0.8,0.19786088278047273,0.10688895000542452,0.10107759895989421,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0021377790001084903,0.004229828401510222,0.0054020392109462405,0.0033838627212081783,0.005935826483414182,0.004321631368756992,0.002830172770877038
1.6,0.1959097064873528,0.11318160715631144,0.1023823343363726,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002263632143126229,0.00443467508755197,0.00579389857230273,0.003547740070041576,0.005877291194620584,0.004635118857842184,0.0028667053614184327
2.4000000000000004,0.19412726510736922,0.11891286106080685,0.10390365941987849,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002378257221216137,0.004616845700765404,0.006177740708152703,0.003693476560612323,0.005823817953221076,0.004942192566522163,0.0029093024637565977
3.2,0.19249562316426724,0.12411491459500221,0.1056321255121179,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002482298291900044,0.004778315565788951,0.006555261118212533,0.003822652452631162,0.005774868694928017,0.005244208894570027,0.002957699514339301
4.0,0.19099866107380575,0.12881640210355663,0.10755956333662245,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0025763280420711327,0.004920752065224858,0.0069277179804266625,0.003936601652179888,0.005729959832214172,0.00554217438434133,0.0030116677734254287
4.800000000000001,0.18962160289128926,0.13304344955724054,0.10967865776352675,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002660868991144811,0.005045582431846068,0.00729601348583381,0.004036465945476855,0.005688648086738678,0.005836810788667049,0.0030710024173787494
5.6000000000000005,0.18835085521936787,0.13682013159855064,0.1119827270995679,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0027364026319710126,0.005154037759562694,0.007660745729263731,0.004123230207650156,0.005650525656581036,0.006128596583410985,0.0031355163587879014
6.4,0.18717388533492849,0.14016885570878507,0.11446552562740572,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0028033771141757016,0.005247189865192855,0.008022250872649036,0.004197751892154285,0.005615216560047855,0.0064178006981192295,0.0032050347175673604
7.2,0.18607911015664164,0.14311066024296829,0.11712110318729743,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0028622132048593658,0.005325980862388203,0.008380639202759476,0.004260784689910562,0.005582373304699249,0.0067045113622075814,0.003279390889244328
8.0,0.18505579292228472,0.14566549951349408,0.11994366832237442,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002913309990269882,0.005391248902778065,0.008735827179829764,0.004312999122222453,0.0055516737876685415,0.006988661743863811,0.003358422713026484
8.8,0.18409393940700652,0.14785254472266884,0.12292743966670532,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002957050894453377,0.005443751481869344,0.009087567385482363,0.004355001185495476,0.005522818182210195,0.007270053908385889,0.003441968310667749
9.600000000000001,0.18318424295372038,0.14969036464951976,0.12606654930120156,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.002993807292990395,0.005484183225157725,0.009435473867501761,0.004387346580126181,0.005495527288611611,0.00754837909400141,0.003529863380433644
10.4,0.18231803464045263,0.15119706999541702,0.12935497170085433,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0030239413999083404,0.005513190528991877,0.009779046355254629,0.004410552423193502,0.005469541039213578,0.007823237084203705,0.0036219392076239213
11.200000000000001,0.18148724941168667,0.15239041911863063,0.13278646805452268,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0030478083823726127,0.005531383600506877,0.010117692760055684,0.004425106880405502,0.0054446174823506,0.008094154208044548,0.0037180211055266353
12.0,0.180684392837005,0.15328790937382195,0.13635454165056743,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.003065758187476439,0.0055393465668925725,0.010450751311620605,0.004431477253514059,0.00542053178511015,0.008360601049296484,0.003817927166215888
12.8,0.17990251413688346,0.1539068429485614,0.14005240791341173,0.02,0.02,0.2,0.5,0.8,0.01,0.8,0.008,5.333333333333334,14.285714285714285,1.0,0.02,0.0030781368589712283,0.005537645597863334,0.010777511974648659,0.004430116478290668,0.005397075424106504,0.008622009579718927,0.0039214674215755285
